	city_orig	city0	city1	city2	city3	city4	city5
0	Abakan	абакан	abakan				
1	Almetyevsk	альметьевск	almetyevsk				
2	Anadyr	анадырь	anadyr				
3	Anapa	анапа	anapa				
4	Arkhangelsk	архангельск	arkhangelsk				
5	Astrakhan	астрахань	astrakhan				
6	Barnaul	барнаул	barnaul				
7	Belgorod	белгород	belgorod				
8	Beslan	беслан	beslan				
9	Biysk	бийск	biysk				
10	Birobidzhan	биробиджан	birobidzhan				
11	Blagoveshchensk	благовещенск	blagoveshchensk				
12	Bologoye	бологое	bologoye				
13	Bryansk	брянск	bryansk				
14	Veliky Novgorod	великий новгород	veliky novgorod				
15	Veliky Ustyug	великий устюг	veliky ustyug				
16	Vladivostok	владивосток	vladivostok				
17	Vladikavkaz	владикавказ	vladikavkaz				
18	Vladimir	владимир	vladimir				
19	Volgograd	волгоград	volgograd				
20	Vologda	вологда	vologda				
21	Vorkuta	воркута	vorkuta				
22	Voronezh	воронеж	voronezh				
23	Gatchina	гатчина	gatchina				
24	Gdov	гдов	gdov				
25	Gelendzhik	геленджик	gelendzhik				
26	Gorno-Altaysk	горно-алтайск	gorno-altaysk				
27	Grozny	грозный	grozny				
28	Gudermes	гудермес	gudermes				
29	Gus-Khrustalny	гусь-хрустальный	gus-khrustalny				
30	Dzerzhinsk	дзержинск	dzerzhinsk				
31	Dmitrov	дмитров	dmitrov				
32	Dubna	дубна	dubna				
33	Yeysk	ейск	yeysk				
34	Yekaterinburg	екатеринбург	yekaterinburg				
35	Yelabuga	елабуга	yelabuga				
36	Yelets	елец	yelets				
37	Yessentuki	ессентуки	yessentuki				
38	Zlatoust	златоуст	zlatoust				
39	Ivanovo	иваново	ivanovo				
40	Izhevsk	ижевск	izhevsk				
41	Irkutsk	иркутск	irkutsk				
42	Yoshkar-Ola	йошкар-ола	yoshkar-ola				
43	Kazan	казань	kazan				
44	Kaliningrad	калининград	kaliningrad				
45	Kaluga	калуга	kaluga				
46	Kemerovo	кемерово	kemerovo				
47	Kislovodsk	кисловодск	kislovodsk				
48	Komsomolsk-on-Amur	комсомольск-на-амуре	komsomolsk-on-amur				
49	Kotlas	котлас	kotlas				
50	Krasnodar	краснодар	krasnodar				
51	Krasnoyarsk	красноярск	krasnoyarsk				
52	Kurgan	курган	kurgan				
53	Kursk	курск	kursk				
54	Kyzyl	кызыл	kyzyl				
55	Leninogorsk	лениногорск	leninogorsk				
56	Lensk	ленск	lensk				
57	Lipetsk	липецк	lipetsk				
58	Luga	луга	luga				
59	Lyuban	любань	lyuban				
60	Lyubertsy	люберцы	lyubertsy				
61	Magadan	магадан	magadan				
62	Maykop	майкоп	maykop				
63	Makhachkala	махачкала	makhachkala				
64	Miass	миасс	miass				
65	Mineralnye Vody	минеральные воды	mineralnye vody				
66	Mirny	мирный	mirny				
67	Moscow	москва	moscow				
68	Murmansk	мурманск	murmansk				
69	Murom	муром	murom				
70	Mytishchi	мытищи	mytishchi				
71	Naberezhnye Chelny	набережные челны	naberezhnye chelny				
72	Nadym	надым	nadym				
73	Nalchik	нальчик	nalchik				
74	Nazran	назрань	nazran				
75	Naryan-Mar	нарьян-мар	naryan-mar				
76	Nakhodka	находка	nakhodka				
77	Nizhnevartovsk	нижневартовск	nizhnevartovsk				
78	Nizhnekamsk	нижнекамск	nizhnekamsk				
79	Nizhny Novgorod	нижний новгород	nizhny novgorod				
80	Nizhny Tagil	нижний тагил	nizhny tagil				
81	Novokuznetsk	новокузнецк	novokuznetsk				
82	Novosibirsk	новосибирск	novosibirsk				
83	Novy Urengoy	новый уренгой	novy urengoy				
84	Norilsk	норильск	norilsk				
85	Obninsk	обнинск	obninsk				
86	Oktyabrsky	октябрьский	oktyabrsky				
87	Omsk	омск	omsk				
88	Orenburg	оренбург	orenburg				
