	city	city_ascii
0	Kabul	Kabul
1	Kandahār	Kandahar
2	Herāt	Herat
3	Mazār-e Sharīf	Mazar-e Sharif
4	Kunduz	Kunduz
5	Jalālābād	Jalalabad
6	Lashkar Gāh	Lashkar Gah
7	Maīmanah	Maimanah
8	Shibirghān	Shibirghan
9	Khōst	Khost
10	Ghaznī	Ghazni
11	Pul-e Khumrī	Pul-e Khumri
12	Tāluqān	Taluqan
13	Farāh	Farah
14	Gardēz	Gardez
15	Faīẕābād	Faizabad
16	Bāmyān	Bamyan
17	Chārīkār	Charikar
18	Sar-e Pul	Sar-e Pul
19	Zaranj	Zaranj
20	Asadābād	Asadabad
21	Maīdān Shahr	Maidan Shahr
22	Mehtar Lām	Mehtar Lam
23	Fayrōz Kōh	Fayroz Koh
24	Qalāt	Qalat
25	Tarīn Kōṯ	Tarin Kot
26	Maḩmūd-e Rāqī	Mahmud-e Raqi
27	Qal‘ah-ye Now	Qal`ah-ye Now
28	Aībak	Aibak
29	Pul-e ‘Alam	Pul-e `Alam
30	Sharan	Sharan
31	Nīlī	Nili
32	Bāzārak	Bazarak
33	Pārūn	Parun
34	Balkh	Balkh
35	Baghlān	Baghlan
36	Kōṯah-ye ‘As̲h̲rō	Kotah-ye `Ashro
37	Khulm	Khulm
38	Khānābād	Khanabad
39	Barakī Barak	Baraki Barak
40	Qal‘ah-ye Zāl	Qal`ah-ye Zal
41	Karukh	Karukh
42	Zarghūn Shahr	Zarghun Shahr
43	Andkhōy	Andkhoy
44	Buynī Qarah	Buyni Qarah
