	city	city_ascii
0	Tirana	Tirana
1	Durrës	Durres
2	Vlorë	Vlore
3	Kamëz	Kamez
4	Fier	Fier
5	Shkodër	Shkoder
6	Elbasan	Elbasan
7	Korçë	Korce
8	Berat	Berat
9	Gjirokastër	Gjirokaster
10	Lezhë	Lezhe
11	Kukës	Kukes
12	Peshkopi	Peshkopi
13	Sarandë	Sarande
14	Lushnjë	Lushnje
15	Kavajë	Kavaje
16	Pogradec	Pogradec
17	Fushë-Krujë	Fushe-Kruje
18	Laç	Lac
19	Sukth	Sukth
20	Patos	Patos
21	Librazhd-Qendër	Librazhd-Qender
22	Kuçovë	Kucove
23	Krujë	Kruje
24	Burrel	Burrel
25	Vorë	Vore
26	Gramsh	Gramsh
27	Shijak	Shijak
28	Libonik	Libonik
29	Belsh	Belsh
30	Rrëshen	Rreshen
31	Ballsh	Ballsh
32	Mamurras	Mamurras
33	Divjakë	Divjake
34	Bulqizë	Bulqize
35	Shëngjin	Shengjin
36	Vau i Dejës	Vau i Dejes
37	Rrogozhinë	Rrogozhine
38	Peqin	Peqin
39	Bilisht	Bilisht
40	Librazhd	Librazhd
41	Cërrik	Cerrik
42	Roskovec	Roskovec
43	Përmet	Permet
44	Prrenjas	Prrenjas
45	Krumë	Krume
46	Delvinë	Delvine
47	Bajram Curri	Bajram Curri
48	Tepelenë	Tepelene
49	Ersekë	Erseke
50	Çorovodë	Corovode
51	Pukë	Puke
