	city	city_ascii
0	Algiers	Algiers
1	Oran	Oran
2	Constantine	Constantine
3	Blida	Blida
4	Batna	Batna
5	Sétif	Setif
6	Djelfa	Djelfa
7	Annaba	Annaba
8	Sidi Bel Abbès	Sidi Bel Abbes
9	Biskra	Biskra
10	Tébessa	Tebessa
11	Tiaret	Tiaret
12	Bejaïa	Bejaia
13	Tlemcen	Tlemcen
14	Bordj Bou Arreridj	Bordj Bou Arreridj
15	Skikda	Skikda
16	Béchar	Bechar
17	El Eulma	El Eulma
18	Chlef	Chlef
19	Souk Ahras	Souk Ahras
20	M’Sila	M'Sila
21	Mostaganem	Mostaganem
22	Touggourt	Touggourt
23	Médéa	Medea
24	Tizi Ouzou	Tizi Ouzou
25	El Oued	El Oued
26	Laghouat	Laghouat
27	Jijel	Jijel
28	Ouargla	Ouargla
29	Relizane	Relizane
30	Saïda	Saida
31	Guelma	Guelma
32	Ghardaïa	Ghardaia
33	Khenchela	Khenchela
34	Bou Saâda	Bou Saada
35	Mascara	Mascara
36	Messaad	Messaad
37	Aïn Oussera	Ain Oussera
38	Oum el Bouaghi	Oum el Bouaghi
39	El Bayadh	El Bayadh
40	Tamanrasset	Tamanrasset
41	Tissemsilt	Tissemsilt
42	Bouira	Bouira
43	Adrar	Adrar
44	Tindouf	Tindouf
45	Boumerdes	Boumerdes
46	El Tarf	El Tarf
47	Tipasa	Tipasa
48	Illizi	Illizi
49	Naama	Naama
50	Aïn Temouchent	Ain Temouchent
51	Aïn Defla	Ain Defla
52	Mila	Mila
53	Es Senia	Es Senia
54	El Milia	El Milia
55	Bordj Menaïel	Bordj Menaiel
56	Mecheria	Mecheria
57	Aïn Sefra	Ain Sefra
58	Lakhdaria	Lakhdaria
59	Boufarik	Boufarik
60	Azzaba	Azzaba
61	Akbou	Akbou
62	’Aïn Azel	'Ain Azel
63	Ouled Moussa	Ouled Moussa
64	Hassi Messaoud	Hassi Messaoud
65	’Aïn Arnat	'Ain Arnat
66	Draa el Mizan	Draa el Mizan
67	Souma	Souma
68	Azazga	Azazga
69	Didouche Mourad	Didouche Mourad
70	Timimoun	Timimoun
71	Dellys	Dellys
72	I-n-Salah	I-n-Salah
73	Draa Ben Khedda	Draa Ben Khedda
74	El Golea	El Golea
75	Boghni	Boghni
76	Tizi Gheniff	Tizi Gheniff
77	L’Arbaa Naït Irathen	L'Arbaa Nait Irathen
78	Timizart	Timizart
79	Freha	Freha
80	Mekla	Mekla
81	Beni Amrane	Beni Amrane
82	Makouda	Makouda
83	Tadmaït	Tadmait
84	Amoucha	Amoucha
85	Naciria	Naciria
86	Kadiria	Kadiria
87	Djinet	Djinet
88	Beni Douala	Beni Douala
89	Thenia	Thenia
90	Tizi-n-Bechar	Tizi-n-Bechar
91	’Aïn el Hammam	'Ain el Hammam
92	Aomar	Aomar
93	Tala Yfassene	Tala Yfassene
94	Reggane	Reggane
95	Arbaoun	Arbaoun
96	Tirmitine	Tirmitine
97	Timoktene	Timoktene
98	Beni Fouda	Beni Fouda
99	Tizi Rached	Tizi Rached
100	Aïn Zaouïa	Ain Zaouia
101	Sidi Daoud	Sidi Daoud
102	Azeffoun	Azeffoun
103	’Aïn Abessa	'Ain Abessa
104	Tichi	Tichi
105	Chorfa	Chorfa
106	Bordj Mokhtar	Bordj Mokhtar
107	Ouadhia	Ouadhia
108	Boudjima	Boudjima
109	Tizi-n-Tleta	Tizi-n-Tleta
110	Aït Yaïch	Ait Yaich
111	Djanet	Djanet
112	Iflissen	Iflissen
113	Abadla	Abadla
114	Takerbouzt	Takerbouzt
115	Moudjbara	Moudjbara
116	Afir	Afir
117	Mechtras	Mechtras
118	Sali	Sali
119	Arhribs	Arhribs
120	Iferhounene	Iferhounene
121	Si Mustapha	Si Mustapha
122	El Adjiba	El Adjiba
123	Yakouren	Yakouren
124	Tigzirt	Tigzirt
125	Bechloul	Bechloul
126	’Aïn Roua	'Ain Roua
127	Charouine	Charouine
128	Bir Ghbalou	Bir Ghbalou
129	Sidi Namane	Sidi Namane
130	Beni Abbès	Beni Abbes
131	Ben N’Choud	Ben N'Choud
132	Bordj Okhriss	Bordj Okhriss
133	Ben Nasseur	Ben Nasseur
134	Souama	Souama
135	Bou Nouh	Bou Nouh
136	Toudja	Toudja
137	Ouled Rached	Ouled Rached
138	Ifigha	Ifigha
139	Seddouk Oufella	Seddouk Oufella
140	I-n-Amenas	I-n-Amenas
141	Abalessa	Abalessa
142	Boukhralfa	Boukhralfa
143	Tifra	Tifra
144	Amalou	Amalou
145	Taourga	Taourga
146	Beni Aïssi	Beni Aissi
147	Souk el Had	Souk el Had
148	In Guezzam	In Guezzam
149	Aït Bou Madhi	Ait Bou Madhi
150	El Maïn	El Main
151	Beni Ounif	Beni Ounif
152	Tassamert	Tassamert
153	I-n-Amguel	I-n-Amguel
