	city	city_ascii
0	Luanda	Luanda
1	Huambo	Huambo
2	Lubango	Lubango
3	Cabinda	Cabinda
4	Belas	Belas
5	Lobito	Lobito
6	Saurimo	Saurimo
7	Cubal	Cubal
8	Uíge	Uige
9	Menongue	Menongue
10	Vila Teixeira da Silva	Vila Teixeira da Silva
11	Sumbe	Sumbe
12	Caála	Caala
13	Matala	Matala
14	Moçâmedes	Mocamedes
15	Ganda	Ganda
16	Catumbela	Catumbela
17	Catape	Catape
18	Ndalatando	Ndalatando
19	Lucapa	Lucapa
20	Benguela	Benguela
21	Negage	Negage
22	Porto Amboim	Porto Amboim
23	Chinguar	Chinguar
24	Catabola	Catabola
25	Malanje	Malanje
26	Ondjiva	Ondjiva
27	Cassongue	Cassongue
28	Cuito	Cuito
29	Quilengues	Quilengues
30	Mbanza Kongo	Mbanza Kongo
31	Caxito	Caxito
32	Luena	Luena
33	Dundo	Dundo
34	Luau	Luau
35	Capenda Camulemba	Capenda Camulemba
36	Soio	Soio
37	Cuito Cuanavale	Cuito Cuanavale
38	Porto Alexandre	PortoAlexandre
39	Mavinga	Mavinga
40	Caluquembe	Caluquembe
41	Longonjo	Longonjo
42	Camacupa	Camacupa
43	Ambriz	Ambriz
44	Camabatela	Camabatela
45	Uacu Cungo	Uacu Cungo
46	Nzeto	Nzeto
47	Songo	Songo
48	Quibala	Quibala
49	Dondo	Dondo
50	Chibemba	Chibemba
51	Chibia	Chibia
52	Xangongo	Xangongo
53	Cazombo	Cazombo
54	Quipungo	Quipungo
55	Muconda	Muconda
56	Cangamba	Cangamba
57	Cacolo	Cacolo
58	Calulo	Calulo
59	Calenga	Calenga
60	Tchitado	Tchitado
