	city	city_ascii
0	Yerevan	Yerevan
1	Gyumri	Gyumri
2	Vanadzor	Vanadzor
3	Hrazdan	Hrazdan
4	Kapan	Kapan
5	Armavir	Armavir
6	Ashtarak	Ashtarak
7	Artashat	Artashat
8	Gavarr	Gavarr
9	Ijevan	Ijevan
10	Kasakh	Kasakh
11	Yeghegnadzor	Yeghegnadzor
12	Ejmiatsin	Ejmiatsin
13	Abovyan	Abovyan
14	Charentsavan	Charentsavan
15	Stepanavan	Stepanavan
16	Sevan	Sevan
17	Ararat	Ararat
18	Goris	Goris
19	Artik	Artik
20	Dilijan	Dilijan
21	Spitak	Spitak
22	Sisian	Sisian
23	Vedi	Vedi
24	Alaverdi	Alaverdi
25	Vardenis	Vardenis
26	Martuni	Martuni
27	Yeghvard	Yeghvard
28	Nor Hachn	Nor Hachn
29	Metsamor	Metsamor
30	Berd	Berd
31	Vardenik	Vardenik
32	Akhuryan	Akhuryan
33	Ayntap	Ayntap
34	Parakar	Parakar
35	Tashir	Tashir
36	Byureghavan	Byureghavan
37	Garrni	Garrni
38	Nor Kharberd	Nor Kharberd
39	Jermuk	Jermuk
40	Jrvezh	Jrvezh
41	K’ajaran	K'ajaran
42	Zolakar	Zolakar
43	Metsavan	Metsavan
44	Sardarapat	Sardarapat
45	Aparan	Aparan
46	Karmir Gyukh	Karmir Gyukh
47	Arrinj	Arrinj
48	Nor Geghi	Nor Geghi
49	Geghahovit	Geghahovit
50	Yeranos	Yeranos
51	Mrgashat	Mrgashat
52	Oshakan	Oshakan
53	Chambarak	Chambarak
54	Azatan	Azatan
55	Aragatsavan	Aragatsavan
56	Vayk	Vayk
57	Gugark	Gugark
58	Maralik	Maralik
59	Lichk	Lichk
60	Arzakan	Arzakan
61	Odzun	Odzun
62	Noyemberyan	Noyemberyan
63	Zovuni	Zovuni
64	Nalbandyan	Nalbandyan
65	Prroshyan	Prroshyan
66	Malishka	Malishka
