	city	city_ascii
0	Sydney	Sydney
1	Melbourne	Melbourne
2	Brisbane	Brisbane
3	Perth	Perth
4	Adelaide	Adelaide
5	Canberra	Canberra
6	Gold Coast	Gold Coast
7	Cranbourne	Cranbourne
8	Newcastle	Newcastle
9	Wollongong	Wollongong
10	Geelong	Geelong
11	Hobart	Hobart
12	Townsville	Townsville
13	Ipswich	Ipswich
14	Cairns	Cairns
15	Darwin	Darwin
16	Toowoomba	Toowoomba
17	Ballarat	Ballarat
18	Caloundra	Caloundra
19	Campbelltown	Campbelltown
20	Leopold	Leopold
21	Corinda	Corinda
22	Bendigo	Bendigo
23	Launceston	Launceston
24	Mackay	Mackay
25	Rockhampton	Rockhampton
26	Maitland	Maitland
27	Bunbury	Bunbury
28	Coffs Harbour	Coffs Harbour
29	Bundaberg	Bundaberg
30	Wagga Wagga	Wagga Wagga
31	Hervey Bay	Hervey Bay
32	Shepparton	Shepparton
33	Albury	Albury
34	Port Macquarie	Port Macquarie
35	Pakenham	Pakenham
36	Tamworth	Tamworth
37	Orange	Orange
38	Dubbo	Dubbo
39	Bathurst	Bathurst
40	Geraldton	Geraldton
41	Sunbury	Sunbury
42	Nowra	Nowra
43	Frankston	Frankston
44	Warrnambool	Warrnambool
45	Queanbeyan	Queanbeyan
46	Wodonga	Wodonga
47	Albany	Albany
48	Gladstone	Gladstone
49	Mildura	Mildura
50	Southport	Southport
51	Dandenong	Dandenong
52	Alice Springs	Alice Springs
53	Mount Gambier	Mount Gambier
54	Kalgoorlie	Kalgoorlie
55	Lismore	Lismore
56	Quakers Hill	Quakers Hill
57	Ballina	Ballina
58	Taree	Taree
59	Gawler	Gawler
60	Maryborough	Maryborough
61	Caboolture	Caboolture
62	Traralgon	Traralgon
63	Armidale	Armidale
64	Busselton	Busselton
65	Goulburn	Goulburn
66	Cessnock	Cessnock
67	Devonport	Devonport
68	Whyalla	Whyalla
69	Bacchus Marsh	Bacchus Marsh
70	Gympie	Gympie
71	Griffith	Griffith
72	Grafton	Grafton
73	Kwinana	Kwinana
74	Burnie	Burnie
75	Yeppoon	Yeppoon
76	Wangaratta	Wangaratta
77	Mount Eliza	Mount Eliza
78	Murray Bridge	Murray Bridge
79	Narangba	Narangba
80	Mount Isa	Mount Isa
81	Broken Hill	Broken Hill
82	Banora Point	Banora Point
83	Nerang	Nerang
84	Lara	Lara
85	Horsham	Horsham
86	Mount Barker	Mount Barker
87	Port Lincoln	Port Lincoln
88	Karratha	Karratha
89	Singleton	Singleton
90	Warwick	Warwick
91	Echuca	Echuca
92	Ulladulla	Ulladulla
93	Kempsey	Kempsey
94	Ulverstone	Ulverstone
95	Barwon Heads	Barwon Heads
96	Australind	Australind
97	Sale	Sale
98	Rochedale	Rochedale
99	Port Pirie	Port Pirie
100	Morwell	Morwell
101	Warragul	Warragul
102	Broome	Broome
103	Port Augusta	Port Augusta
104	Penrith	Penrith
105	Forster	Forster
106	Goonellabah	Goonellabah
107	Port Hedland	Port Hedland
108	Torquay	Torquay
109	Emerald	Emerald
110	Gisborne	Gisborne
111	Lithgow	Lithgow
112	Rutherford	Rutherford
113	Bowral	Bowral
114	Jimboomba	Jimboomba
115	Colac	Colac
116	Dalby	Dalby
117	Raymond Terrace	Raymond Terrace
118	Esperance	Esperance
119	Muswellbrook	Muswellbrook
120	Nelson Bay	Nelson Bay
121	Inverell	Inverell
122	Parkes	Parkes
123	Drouin	Drouin
124	Swan Hill	Swan Hill
125	Nambour	Nambour
126	Somerville	Somerville
127	Kingston	Kingston
128	Casino	Casino
129	Mudgee	Mudgee
130	Mareeba	Mareeba
131	Batemans Bay	Batemans Bay
132	Gracemere	Gracemere
133	Samford	Samford
134	Portland	Portland
135	Young	Young
136	Kingaroy	Kingaroy
