	city	city_ascii
0	Vienna	Vienna
1	Graz	Graz
2	Linz	Linz
3	Salzburg	Salzburg
4	Innsbruck	Innsbruck
5	Klagenfurt	Klagenfurt
6	Bregenz	Bregenz
7	Mödling	Modling
8	Hall in Tirol	Hall in Tirol
9	Eisenstadt	Eisenstadt
10	Sankt Pölten	Sankt Polten
11	Wels	Wels
12	Dornbirn	Dornbirn
13	Wiener Neustadt	Wiener Neustadt
14	Steyr	Steyr
15	Leonding	Leonding
16	Klosterneuburg	Klosterneuburg
17	Traun	Traun
18	Wolfsberg	Wolfsberg
19	Krems an der Donau	Krems an der Donau
20	Leoben	Leoben
21	Amstetten	Amstetten
22	Lustenau	Lustenau
23	Kapfenberg	Kapfenberg
24	Hallein	Hallein
25	Kufstein	Kufstein
26	Traiskirchen	Traiskirchen
27	Schwechat	Schwechat
28	Stockerau	Stockerau
29	Braunau am Inn	Braunau am Inn
30	Hohenems	Hohenems
31	Saalfelden am Steinernen Meer	Saalfelden am Steinernen Meer
32	Ansfelden	Ansfelden
33	Bruck an der Mur	Bruck an der Mur
34	Perchtoldsdorf	Perchtoldsdorf
35	Telfs	Telfs
36	Spittal an der Drau	Spittal an der Drau
37	Bludenz	Bludenz
38	Ternitz	Ternitz
39	Wörgl	Worgl
40	Feldkirchen	Feldkirchen
41	Korneuburg	Korneuburg
42	Hard	Hard
43	Bad Ischl	Bad Ischl
44	Marchtrenk	Marchtrenk
45	Schwaz	Schwaz
46	Feldbach	Feldbach
47	Knittelfeld	Knittelfeld
48	Neunkirchen	Neunkirchen
49	Brunn am Gebirge	Brunn am Gebirge
50	Gmunden	Gmunden
51	Vöcklabruck	Vocklabruck
52	Sankt Veit an der Glan	Sankt Veit an der Glan
53	Leibnitz	Leibnitz
54	Lienz	Lienz
55	Rankweil	Rankweil
56	Ried im Innkreis	Ried im Innkreis
57	Enns	Enns
58	Götzis	Gotzis
59	Bad Vöslau	Bad Voslau
60	Weiz	Weiz
61	Gänserndorf	Ganserndorf
62	Hollabrunn	Hollabrunn
63	Deutschlandsberg	Deutschlandsberg
64	Mistelbach	Mistelbach
65	Gerasdorf bei Wien	Gerasdorf bei Wien
66	Waidhofen an der Ybbs	Waidhofen an der Ybbs
67	Sankt Johann im Pongau	Sankt Johann im Pongau
