	city	city_ascii
0	Baku	Baku
1	Sumqayıt	Sumqayit
2	Gəncə	Ganca
3	Mingəçevir	Mingacevir
4	Xırdalan	Xirdalan
5	Naxçıvan	Naxcivan
6	Şəki	Saki
7	Yevlax	Yevlax
8	M.Ə. Rəsulzadə	M.A. Rasulzada
9	Lənkəran	Lankaran
10	Şəmkir	Samkir
11	Xaçmaz	Xacmaz
12	Ağcabədi	Agcabadi
13	Bərdə	Barda
14	Göyçay	Goycay
15	Zaqatala	Zaqatala
16	İmişli	Imisli
17	Salyan	Salyan
18	Ağdaş	Agdas
19	Cəlilabad	Calilabad
20	Hacı Zeynalabdin	Haci Zeynalabdin
21	Biləsuvar	Bilasuvar
22	Hacıqabul	Haciqabul
23	Quba	Quba
24	İsmayıllı	Ismayilli
25	Ağsu	Agsu
26	Ağstafa	Agstafa
27	Əhmədli	Ahmadli
28	Siyəzən	Siyazan
29	Sabirabad	Sabirabad
30	Saatlı	Saatli
31	Füzuli	Fuzuli
32	Astara	Astara
33	Kürdəmir	Kurdamir
34	Göygöl	Goygol
35	Masallı	Masalli
36	Neftçala	Neftcala
37	Qusar	Qusar
38	Tovuz	Tovuz
39	Tərtər	Tartar
40	Beyləqan	Beylaqan
41	Qax	Qax
42	Daşkəsən	Daskasan
43	Ordubad	Ordubad
44	Naftalan	Naftalan
45	Lerik	Lerik
46	Zərdab	Zardab
47	Balakən	Balakan
48	Qobustan	Qobustan
49	Yardımlı	Yardimli
50	Goranboy	Goranboy
51	Oğuz	Oguz
52	Cəbrayıl	Cabrayil
53	Qubadlı	Qubadli
54	Gədəbəy	Gadabay
55	Şuşa	Susa
56	Ağdam	Agdam
57	Laçın	Lacin
58	Xocalı	Xocali
59	Heydərabad	Heydarabad
60	Ucar	Ucar
61	Qazax	Qazax
62	Şərur	Sarur
63	Qəbələ	Qabala
64	Samux	Samux
65	Dəvəçi	Davaci
66	Qıvraq	Qivraq
67	Kəlbəcər	Kalbacar
68	Xocavənd	Xocavand
69	Şahbuz	Sahbuz
70	Xızı	Xizi
71	Qaraçuxur	Qaracuxur
72	Şirvan	Sirvan
73	Xankəndi	Xankandi
74	Maştağa	Mastaga
75	Qəzyan	Qazyan
76	Lökbatan	Lokbatan
77	Buzovna	Buzovna
78	Əmircan	Amircan
79	Şamaxı	Samaxi
80	Corat	Corat
81	Pirallahı	Pirallahi
82	Ələt	Alat
83	Culfa	Culfa
84	Qazmalar	Qazmalar
85	Xudat	Xudat
86	Qovlar	Qovlar
87	Göytəpə	Goytapa
88	Aşağı Ayıblı	Asagi Ayibli
89	Liman	Liman
90	Ağdərə	Agdara
91	Xaçmaz	Xacmaz
92	Kiş	Kis
93	Babək	Babak
94	Ağdam	Agdam
