	city	city_ascii
0	Minsk	Minsk
1	Homyel’	Homyel'
2	Vitsyebsk	Vitsyebsk
3	Mahilyow	Mahilyow
4	Hrodna	Hrodna
5	Brest	Brest
6	Babruysk	Babruysk
7	Baranavichy	Baranavichy
8	Horad Barysaw	Horad Barysaw
9	Pinsk	Pinsk
10	Orsha	Orsha
11	Mazyr	Mazyr
12	Lida	Lida
13	Salihorsk	Salihorsk
14	Navapolatsk	Navapolatsk
15	Maladzyechna	Maladzyechna
16	Polatsk	Polatsk
17	Svyetlahorsk	Svyetlahorsk
18	Slutsk	Slutsk
19	Kobryn	Kobryn
20	Slonim	Slonim
21	Vawkavysk	Vawkavysk
22	Kalinkavichy	Kalinkavichy
23	Smarhon’	Smarhon'
24	Horki	Horki
25	Asipovichy	Asipovichy
26	Dzyarzhynsk	Dzyarzhynsk
27	Byaroza	Byaroza
28	Navahrudak	Navahrudak
29	Vilyeyka	Vilyeyka
30	Krychaw	Krychaw
31	Luninyets	Luninyets
32	Mar’’ina Horka	Mar''ina Horka
33	Pastavy	Pastavy
34	Pruzhany	Pruzhany
35	Dobrush	Dobrush
36	Hlybokaye	Hlybokaye
37	Zaslawye	Zaslawye
38	Fanipal’	Fanipal'
39	Stowbtsy	Stowbtsy
40	Ashmyany	Ashmyany
41	Ivanava	Ivanava
42	Klimavichy	Klimavichy
43	Lahoysk	Lahoysk
44	Masty	Masty
45	Drahichyn	Drahichyn
46	Astravyets	Astravyets
47	Khoyniki	Khoyniki
48	Stolin	Stolin
49	Malaryta	Malaryta
50	Mikashevichy	Mikashevichy
51	Novalukoml’	Novalukoml'
52	Haradok	Haradok
53	Lyuban’	Lyuban'
54	Klyetsk	Klyetsk
55	Byerazino	Byerazino
56	Staryya Darohi	Staryya Darohi
57	Byelaazyorsk	Byelaazyorsk
58	Uzda	Uzda
59	Baran’	Baran'
60	Kapyl’	Kapyl'
61	Mstsislaw	Mstsislaw
62	Skidal’	Skidal'
63	Byarozawka	Byarozawka
64	Valozhyn	Valozhyn
65	Pyetrykaw	Pyetrykaw
66	Byalynichy	Byalynichy
67	Talachyn	Talachyn
68	Braslaw	Braslaw
69	Buda-Kashalyova	Buda-Kashalyova
70	Krupki	Krupki
71	Vyetka	Vyetka
72	Narowlya	Narowlya
73	Kamyanyets	Kamyanyets
74	Kirawsk	Kirawsk
75	Dzyatlava	Dzyatlava
76	Slawharad	Slawharad
77	Cherykaw	Cherykaw
78	Myory	Myory
79	Kruhlaye	Kruhlaye
80	Syanno	Syanno
81	Iwye	Iwye
82	Klichaw	Klichaw
83	Myadzyel	Myadzyel
84	Vyerkhnyadzvinsk	Vyerkhnyadzvinsk
85	Dubrowna	Dubrowna
86	Svislach	Svislach
87	Davyd-Haradok	Davyd-Haradok
