	city	city_ascii
0	Brussels	Brussels
1	Antwerp	Antwerp
2	Gent	Gent
3	Charleroi	Charleroi
4	Liège	Liege
5	Anderlecht	Anderlecht
6	Bruges	Bruges
7	Namur	Namur
8	Moortebeek	Moortebeek
9	Mechelen	Mechelen
10	Forest	Forest
11	Etterbeek	Etterbeek
12	Jette	Jette
13	Evere	Evere
14	Vilvoorde	Vilvoorde
15	Wilrijk	Wilrijk
16	Koekelberg	Koekelberg
17	Ganshoren	Ganshoren
18	Sint-Joost-ten-Node	Sint-Joost-ten-Node
19	Mortsel	Mortsel
20	Saint-Nicolas	Saint-Nicolas
21	Ekeren	Ekeren
22	Assebroek	Assebroek
23	Boom	Boom
24	Wondelgem	Wondelgem
25	Drogenbos	Drogenbos
26	Mons	Mons
27	Aalst	Aalst
28	La Louvière	La Louviere
29	Sint-Niklaas	Sint-Niklaas
30	Hasselt	Hasselt
31	Seraing	Seraing
32	Roeselare	Roeselare
33	Beveren	Beveren
34	Dendermonde	Dendermonde
35	Heist-op-den-Berg	Heist-op-den-Berg
36	Lokeren	Lokeren
37	Herstal	Herstal
38	Braine-l’Alleud	Braine-l'Alleud
39	Halle	Halle
40	Ninove	Ninove
41	Mechelen-aan-de-Maas	Mechelen-aan-de-Maas
42	Lierre	Lierre
43	Mol	Mol
44	Schoten	Schoten
45	Ieper	Ieper
46	Zaventem	Zaventem
47	Sint-Pieters-Leeuw	Sint-Pieters-Leeuw
48	Menen	Menen
49	Binche	Binche
50	Geraardsbergen	Geraardsbergen
51	Knokke-Heist	Knokke-Heist
52	Asse	Asse
53	Louvain-la-Neuve	Louvain-la-Neuve
54	Wevelgem	Wevelgem
55	Waterloo	Waterloo
56	Oudenaarde	Oudenaarde
57	Deinze	Deinze
58	Temse	Temse
59	Arlon	Arlon
60	Brecht	Brecht
61	Ans	Ans
62	Herentals	Herentals
63	Harelbeke	Harelbeke
64	Andenne	Andenne
65	Soignies	Soignies
66	Kapellen	Kapellen
67	Willebroek	Willebroek
68	Ronse	Ronse
69	Flémalle-Haute	Flemalle-Haute
70	Tubize	Tubize
71	Lanaken	Lanaken
72	Wetteren	Wetteren
73	Beersel	Beersel
74	Maaseik	Maaseik
75	Westerlo	Westerlo
76	Merelbeke	Merelbeke
77	Zwevegem	Zwevegem
78	Manage	Manage
79	Diest	Diest
80	Maldegem	Maldegem
81	Oostkamp	Oostkamp
82	Zemst	Zemst
83	Nijlen	Nijlen
84	Balen	Balen
85	Zedelgem	Zedelgem
86	Tervuren	Tervuren
87	Rixensart	Rixensart
88	Frameries	Frameries
89	Lochristi	Lochristi
90	Herent	Herent
91	Kontich	Kontich
92	Bornem	Bornem
93	Hoogstraten	Hoogstraten
94	Eeklo	Eeklo
95	Sint-Katelijne-Waver	Sint-Katelijne-Waver
96	Wuustwezel	Wuustwezel
97	Boussu	Boussu
98	Tielt	Tielt
99	Schilde	Schilde
100	Zwijndrecht	Zwijndrecht
101	Poperinge	Poperinge
102	Eupen	Eupen
103	Sint-Gillis-Waas	Sint-Gillis-Waas
104	Diepenbeek	Diepenbeek
105	Lede	Lede
106	Bredene	Bredene
107	Londerzeel	Londerzeel
108	Sint-Genesius-Rode	Sint-Genesius-Rode
109	Wervik	Wervik
110	Lessines	Lessines
111	Stekene	Stekene
112	Wemmel	Wemmel
113	Puurs	Puurs
114	Fléron	Fleron
115	Neerpelt	Neerpelt
116	Aubange	Aubange
117	Dour	Dour
118	Rotselaar	Rotselaar
119	Sint-Kruis	Sint-Kruis
120	Riemst	Riemst
121	Lille	Lille
122	Machelen	Machelen
123	Landen	Landen
124	Bastogne	Bastogne
125	Rumst	Rumst
126	Genappe	Genappe
127	Berlare	Berlare
128	Amay	Amay
129	Lubbeek	Lubbeek
130	Kuurne	Kuurne
131	Liedekerke	Liedekerke
132	Wanze	Wanze
133	Oosterzele	Oosterzele
134	Couvin	Couvin
135	Blegny	Blegny
136	Beyne-Heusay	Beyne-Heusay
137	Zelzate	Zelzate
138	Grez-Doiceau	Grez-Doiceau
139	Keerbergen	Keerbergen
140	Esneux	Esneux
141	Olen	Olen
142	Herk-de-Stad	Herk-de-Stad
143	De Haan	De Haan
144	Gerpinnes	Gerpinnes
145	Niel	Niel
146	Nevele	Nevele
147	Farciennes	Farciennes
148	Kampenhout	Kampenhout
149	Rijkevorsel	Rijkevorsel
150	Vosselaar	Vosselaar
151	Chaumont-Gistoux	Chaumont-Gistoux
152	Veurne	Veurne
153	De Panne	De Panne
154	Grobbendonk	Grobbendonk
155	Florennes	Florennes
156	Retie	Retie
157	Écaussinnes-Lalaing	Ecaussinnes-Lalaing
158	De Pinte	De Pinte
159	Villers-la-Ville	Villers-la-Ville
160	Braine-le-Château	Braine-le-Chateau
161	Borgloon	Borgloon
162	Court-Saint-Étienne	Court-Saint-Etienne
163	Raeren	Raeren
164	Welkenraedt	Welkenraedt
165	Houthulst	Houthulst
166	Wielsbeke	Wielsbeke
167	Hoeselt	Hoeselt
168	Chimay	Chimay
169	Halen	Halen
170	Awans	Awans
171	Oudenburg	Oudenburg
172	Gooik	Gooik
173	La Bruyère	La Bruyere
174	Sint-Martens-Lennik	Sint-Martens-Lennik
175	Sint-Martens-Latem	Sint-Martens-Latem
176	Sint-Amands	Sint-Amands
177	Koekelare	Koekelare
178	Dentergem	Dentergem
179	Kortessem	Kortessem
180	Zomergem	Zomergem
181	Zoutleeuw	Zoutleeuw
182	Gingelom	Gingelom
183	Trooz	Trooz
184	Habay-la-Vieille	Habay-la-Vieille
185	Messancy	Messancy
186	Vorselaar	Vorselaar
187	Antoing	Antoing
188	Wachtebeke	Wachtebeke
189	Zingem	Zingem
190	Chastre-Villeroux-Blanmont	Chastre-Villeroux-Blanmont
191	Ruisbroek	Ruisbroek
192	Neufchâteau	Neufchateau
193	Beauvechain	Beauvechain
194	Stavelot	Stavelot
195	Beaumont	Beaumont
196	Saint-Georges	Saint-Georges
197	Hensies	Hensies
198	Quiévrain	Quievrain
199	Ittre	Ittre
200	Villers-le-Bouillet	Villers-le-Bouillet
201	Ramillies-Offus	Ramillies-Offus
202	Bekkevoort	Bekkevoort
203	Lendelede	Lendelede
204	Hastière-par-delà	Hastiere-par-dela
205	Desselgem	Desselgem
206	Étalle	Etalle
207	Butgenbach	Butgenbach
208	Hotton	Hotton
209	Attert	Attert
210	Incourt	Incourt
211	Amblève	Ambleve
212	Nassogne	Nassogne
213	Glabbeek-Zuurbemde	Glabbeek-Zuurbemde
214	Léglise	Leglise
215	Momignies	Momignies
216	Houffalize	Houffalize
217	Gouvy	Gouvy
218	Chiny	Chiny
