	city	city_ascii
0	Santa Cruz	Santa Cruz
1	La Paz	La Paz
2	Sucre	Sucre
3	Cochabamba	Cochabamba
4	Oruro	Oruro
5	Oruro	Oruro
6	Warnes	Warnes
7	Potosí	Potosi
8	Tarija	Tarija
9	Sacaba	Sacaba
10	Quillacollo	Quillacollo
11	Montero	Montero
12	Trinidad	Trinidad
13	Cobija	Cobija
14	Riberalta	Riberalta
15	Villa Tunari	Villa Tunari
16	Puerto Villarroel	Puerto Villarroel
17	Villamontes	Villamontes
18	Guayaramerín	Guayaramerin
19	Camiri	Camiri
20	Tiquipaya	Tiquipaya
21	Viacha	Viacha
22	Bermejo	Bermejo
23	Llallagua	Llallagua
24	Villazón	Villazon
25	Camiri	Camiri
26	Uyuni	Uyuni
27	San Borja	San Borja
28	San Ignacio de Velasco	San Ignacio de Velasco
29	Tupiza	Tupiza
30	Patacamaya	Patacamaya
31	Puerto Suárez	Puerto Suarez
32	Capinota	Capinota
33	San José de Chiquitos	San Jose de Chiquitos
34	Vallegrande	Vallegrande
35	Mapiri	Mapiri
36	Portachuelo	Portachuelo
37	Comarapa	Comarapa
38	Punata	Punata
39	Villa Yapacaní	Villa Yapacani
40	Ascensión	Ascension
41	Vinto	Vinto
42	Chulumani	Chulumani
43	Santa Ana de Yacuma	Santa Ana de Yacuma
44	Rurrenabaque	Rurrenabaque
45	Torotoro	Torotoro
46	Puerto Quijarro	Puerto Quijarro
47	Roboré	Robore
48	Challapata	Challapata
49	Achacachi	Achacachi
50	Aiquile	Aiquile
51	Reyes	Reyes
52	Cliza	Cliza
53	Charagua	Charagua
54	San Ramón	San Ramon
55	San Carlos	San Carlos
56	Uncia	Uncia
57	Camargo	Camargo
58	Sicasica	Sicasica
59	Magdalena	Magdalena
60	Samaipata	Samaipata
61	Padilla	Padilla
62	Tarabuco	Tarabuco
63	Baures	Baures
64	Coroico	Coroico
65	Sorata	Sorata
66	Cuevo	Cuevo
67	San Matías	San Matias
68	Betanzos	Betanzos
69	San Javier	San Javier
70	Apolo	Apolo
71	Quime	Quime
72	San Lorenzo	San Lorenzo
73	Entre Ríos	Entre Rios
74	Corocoro	Corocoro
75	San Rafael	San Rafael
76	Puerto Acosta	Puerto Acosta
77	Sabaya	Sabaya
78	Llica	Llica
79	Charaña	Charana
80	Villa Martín Colchak	Villa Martin Colchak
81	Puerto Heath	Puerto Heath
82	Piso Firme	Piso Firme
