	city	city_ascii
0	Sarajevo	Sarajevo
1	Banja Luka	Banja Luka
2	Mostar	Mostar
3	Bijeljina	Bijeljina
4	Tuzla	Tuzla
5	Brčko	Brcko
6	Prijedor	Prijedor
7	Zenica	Zenica
8	Doboj	Doboj
9	Zvornik	Zvornik
10	Sanski Most	Sanski Most
11	Lukavac	Lukavac
12	Bihać	Bihac
13	Bugojno	Bugojno
14	Žepče	Zepce
15	Trebinje	Trebinje
16	Bosanska Krupa	Bosanska Krupa
17	Čapljina	Capljina
18	Breza	Breza
19	Derventa	Derventa
20	Goražde	Gorazde
21	Foča	Foca
22	Sapna	Sapna
23	Jablanica	Jablanica
24	Vareš	Vares
25	Livno	Livno
26	Bosanski Petrovac	Bosanski Petrovac
27	Mrkonjić Grad	Mrkonjic Grad
28	Drvar	Drvar
29	Velika Kladuša	Velika Kladusa
30	Višegrad	Visegrad
31	Tomislavgrad	Tomislavgrad
