	city	city_ascii
0	Gaborone	Gaborone
1	Francistown	Francistown
2	Molepolole	Molepolole
3	Maun	Maun
4	Selibe Phikwe	Selibe Phikwe
5	Serowe	Serowe
6	Kanye	Kanye
7	Mochudi	Mochudi
8	Lobatse	Lobatse
9	Tshabong	Tshabong
10	Kasane	Kasane
11	Ghanzi	Ghanzi
12	Ramotswa	Ramotswa
13	Masunga	Masunga
14	Sowa Town	Sowa Town
15	Jwaneng	Jwaneng
16	Mahalapye	Mahalapye
17	Palapye	Palapye
18	Lekala	Lekala
19	Gweta	Gweta
20	Nata	Nata
21	Mopipi	Mopipi
22	Lehututu	Lehututu
23	Nokaneng	Nokaneng
24	Lokwabe	Lokwabe
25	Tsau	Tsau
26	Muhembo	Muhembo
