	city	city_ascii
0	São Paulo	Sao Paulo
1	Rio de Janeiro	Rio de Janeiro
2	Belo Horizonte	Belo Horizonte
3	Brasília	Brasilia
4	Salvador	Salvador
5	Fortaleza	Fortaleza
6	Curitiba	Curitiba
7	Manaus	Manaus
8	Recife	Recife
9	Belém	Belem
10	Porto Alegre	Porto Alegre
11	Goiânia	Goiania
12	Guarulhos	Guarulhos
13	Vila Velha	Vila Velha
14	Campinas	Campinas
15	São Gonçalo	Sao Goncalo
16	São Luís	Sao Luis
17	Maceió	Maceio
18	Natal	Natal
19	Campo Grande	Campo Grande
20	Natal	Natal
21	Teresina	Teresina
22	São Bernardo do Campo	Sao Bernardo do Campo
23	Iguaçu	Iguacu
24	João Pessoa	Joao Pessoa
25	Abaeté	Abaete
26	Jaboatão	Jaboatao
27	Santo André	Santo Andre
28	Osasco	Osasco
29	Uberlândia	Uberlandia
30	Aracaju	Aracaju
31	São José dos Campos	Sao Jose dos Campos
32	Ribeirão Prêto	Ribeirao Preto
33	Contagem	Contagem
34	Sorocaba	Sorocaba
35	Cuiabá	Cuiaba
36	Feira de Santana	Feira de Santana
37	Joinvile	Joinvile
38	Londrina	Londrina
39	Ananindeua	Ananindeua
40	Caxias do Sul	Caxias do Sul
41	Niterói	Niteroi
42	Serra	Serra
43	Juiz de Fora	Juiz de Fora
44	Americana	Americana
45	Florianópolis	Florianopolis
46	Vila Velha	Vila Velha
47	Macapá	Macapa
48	Mauá	Maua
49	Betim	Betim
50	São José do Rio Prêto	Sao Jose do Rio Preto
51	Diadema	Diadema
52	Santos	Santos
53	Maringá	Maringa
54	Porto Velho	Porto Velho
55	Mogi das Cruzes	Mogi das Cruzes
56	Montes Claros	Montes Claros
57	Rio Branco	Rio Branco
58	Campina Grande	Campina Grande
59	Carapicuíba	Carapicuiba
60	Jundiaí	Jundiai
61	Campos	Campos
62	Olinda	Olinda
63	Cariacica	Cariacica
64	Bauru	Bauru
65	Anápolis	Anapolis
66	Vitória	Vitoria
67	São Vicente	Sao Vicente
68	Itaquaquecetuba	Itaquaquecetuba
69	Ponta Grossa	Ponta Grossa
70	Canoas	Canoas
71	Piracicaba	Piracicaba
72	Caruaru	Caruaru
73	Pelotas	Pelotas
74	Franca	Franca
75	Petrolina	Petrolina
76	Uberaba	Uberaba
77	Ribeirão das Neves	Ribeirao das Neves
78	São José dos Pinhais	Sao Jose dos Pinhais
79	Boa Vista	Boa Vista
80	Caucaia	Caucaia
81	Vitória da Conquista	Vitoria da Conquista
82	Guarujá	Guaruja
83	Blumenau	Blumenau
84	Paulista	Paulista
85	Taubaté	Taubate
86	Praia Grande	Praia Grande
87	Mossoró	Mossoro
88	Petrópolis	Petropolis
89	Limeira	Limeira
90	Camaçari	Camacari
91	Suzano	Suzano
92	Crato	Crato
93	Santa Maria	Santa Maria
94	Taboão da Serra	Taboao da Serra
95	Marabá	Maraba
96	Governador Valadares	Governador Valadares
97	Juazeiro do Norte	Juazeiro do Norte
98	Crato	Crato
99	Palmas	Palmas
100	Parnamirim	Parnamirim
101	Sumaré	Sumare
102	Ipatinga	Ipatinga
103	Volta Redonda	Volta Redonda
104	Barueri	Barueri
105	Cascavel	Cascavel
106	Imperatriz	Imperatriz
107	Foz do Iguaçu	Foz do Iguacu
108	Viamão	Viamao
109	Gravataí	Gravatai
110	Várzea Grande	Varzea Grande
111	Novo Hamburgo	Novo Hamburgo
112	Magé	Mage
113	Colombo	Colombo
114	Itaboraí	Itaborai
115	Sete Lagoas	Sete Lagoas
116	São Carlos	Sao Carlos
117	São Leopoldo	Sao Leopoldo
118	Divinópolis	Divinopolis
119	Macaé	Macae
120	Santarém	Santarem
