	city	city_ascii
0	Sofia	Sofia
1	Varna	Varna
2	Plovdiv	Plovdiv
3	Burgas	Burgas
4	Ruse	Ruse
5	Stara Zagora	Stara Zagora
6	Pleven	Pleven
7	Sliven	Sliven
8	Dobrich	Dobrich
9	Shumen	Shumen
10	Haskovo	Haskovo
11	Yambol	Yambol
12	Pazardzhik	Pazardzhik
13	Pernik	Pernik
14	Blagoevgrad	Blagoevgrad
15	Veliko Tarnovo	Veliko Tarnovo
16	Vratsa	Vratsa
17	Kardzhali	Kardzhali
18	Kyustendil	Kyustendil
19	Gabrovo	Gabrovo
20	Vidin	Vidin
21	Montana	Montana
22	Targovishte	Targovishte
23	Silistra	Silistra
24	Lovech	Lovech
25	Razgrad	Razgrad
26	Smolyan	Smolyan
27	Asenovgrad	Asenovgrad
28	Kazanlak	Kazanlak
29	Dimitrovgrad	Dimitrovgrad
30	Petrich	Petrich
31	Dupnitsa	Dupnitsa
32	Gorna Oryahovitsa	Gorna Oryahovitsa
33	Sandanski	Sandanski
34	Samokov	Samokov
35	Nova Zagora	Nova Zagora
36	Karlovo	Karlovo
37	Velingrad	Velingrad
38	Sevlievo	Sevlievo
39	Lom	Lom
40	Aytos	Aytos
41	Svishtov	Svishtov
42	Harmanli	Harmanli
43	Troyan	Troyan
44	Botevgrad	Botevgrad
45	Peshtera	Peshtera
46	Gotse Delchev	Gotse Delchev
47	Karnobat	Karnobat
48	Svilengrad	Svilengrad
49	Momchilgrad	Momchilgrad
50	Panagyurishte	Panagyurishte
51	Popovo	Popovo
52	Chirpan	Chirpan
53	Rakovski	Rakovski
54	Parvomay	Parvomay
55	Provadia	Provadia
56	Berkovitsa	Berkovitsa
57	Novi Pazar	Novi Pazar
58	Radomir	Radomir
59	Novi Iskar	Novi Iskar
60	Pomorie	Pomorie
61	Ihtiman	Ihtiman
62	Radnevo	Radnevo
63	Nesebar	Nesebar
64	Balchik	Balchik
65	Razlog	Razlog
66	Stamboliyski	Stamboliyski
67	Byala Slatina	Byala Slatina
68	Kozloduy	Kozloduy
69	Kavarna	Kavarna
70	Bankya	Bankya
71	Pavlikeni	Pavlikeni
72	Isperih	Isperih
73	Mezdra	Mezdra
74	Kostinbrod	Kostinbrod
75	Etropole	Etropole
76	Knezha	Knezha
77	Elhovo	Elhovo
78	Omurtag	Omurtag
79	Tutrakan	Tutrakan
80	Ardino	Ardino
81	Lukovit	Lukovit
82	Teteven	Teteven
83	Kubrat	Kubrat
84	Tryavna	Tryavna
85	Bansko	Bansko
86	Krichim	Krichim
87	Sredets	Sredets
88	Veliki Preslav	Veliki Preslav
89	Devnya	Devnya
90	Rakitovo	Rakitovo
91	Septemvri	Septemvri
92	Lyaskovets	Lyaskovets
93	Krumovgrad	Krumovgrad
94	Belo Pole	Belo Pole
95	Aksakovo	Aksakovo
96	Simeonovgrad	Simeonovgrad
97	Dzhebel	Dzhebel
98	Dulovo	Dulovo
99	Belene	Belene
100	Beloslav	Beloslav
101	Svoge	Svoge
102	Lyubimets	Lyubimets
103	Dryanovo	Dryanovo
104	Zlatograd	Zlatograd
105	Tervel	Tervel
106	Dolni Chiflik	Dolni Chiflik
107	Simitli	Simitli
108	Pirdop	Pirdop
109	Slivnitsa	Slivnitsa
110	Kuklen	Kuklen
111	Elin Pelin	Elin Pelin
112	General Toshevo	General Toshevo
113	Lozen	Lozen
114	Devin	Devin
115	Aydemir	Aydemir
116	Kostenets	Kostenets
117	Tvarditsa	Tvarditsa
118	Straldzha	Straldzha
119	Varshets	Varshets
120	Tsarevo	Tsarevo
121	Kotel	Kotel
122	Yakoruda	Yakoruda
123	Kameno	Kameno
124	Belogradchik	Belogradchik
125	Vetovo	Vetovo
126	Elena	Elena
127	Bobov Dol	Bobov Dol
128	Topolovgrad	Topolovgrad
129	Strazhitsa	Strazhitsa
130	Riltsi	Riltsi
131	Oryahovo	Oryahovo
132	Benkovski	Benkovski
133	Suvorovo	Suvorovo
134	Chepelare	Chepelare
135	Perushtitsa	Perushtitsa
136	Zlatitsa	Zlatitsa
137	Bozhurishte	Bozhurishte
138	Yablanovo	Yablanovo
139	Draginovo	Draginovo
