	city	city_ascii
0	Ouagadougou	Ouagadougou
1	Bobo-Dioulasso	Bobo-Dioulasso
2	Koudougou	Koudougou
3	Ouahigouya	Ouahigouya
4	Banfora	Banfora
5	Kaya	Kaya
6	Dédougou	Dedougou
7	Tenkodogo	Tenkodogo
8	Dori	Dori
9	Fada Ngourma	Fada Ngourma
10	Manga	Manga
11	Ziniaré	Ziniare
12	Gaoua	Gaoua
13	Réo	Reo
14	Léo	Leo
15	Koupéla	Koupela
16	Kombissiri	Kombissiri
17	Nouna	Nouna
18	Gaoua	Gaoua
19	Diapaga	Diapaga
20	Yako	Yako
21	Djibo	Djibo
22	Zorgo	Zorgo
23	Orodara	Orodara
24	Pô	Po
25	Tougan	Tougan
26	Boulsa	Boulsa
27	Diébougou	Diebougou
28	Salanso	Salanso
29	Bogandé	Bogande
30	Gorom-Gorom	Gorom-Gorom
31	Sapouy	Sapouy
32	Sebba	Sebba
