	city	city_ascii
0	Praia	Praia
1	Mindelo	Mindelo
2	São Filipe	Sao Filipe
3	Ribeira Grande	Ribeira Grande
4	Tarrafal	Tarrafal
5	Assomada	Assomada
6	Pedra Badejo	Pedra Badejo
7	Sal Rei	Sal Rei
8	Espargos	Espargos
9	Calheta de São Miguel	Calheta de Sao Miguel
10	Porto Inglês	Porto Ingles
11	São Domingos	Sao Domingos
12	Cidade Velha	Cidade Velha
13	Picos	Picos
14	Ponta do Sol	Ponta do Sol
15	Pombas	Pombas
16	Tarrafal	Tarrafal
17	João Teves	Joao Teves
18	Igreja	Igreja
19	Nova Sintra	Nova Sintra
20	Cova Figueira	Cova Figueira
21	Ribeira Brava	Ribeira Brava
22	Porto Novo	Porto Novo
