	city	city_ascii
0	Phnom Penh	Phnom Penh
1	Siem Reap	Siem Reap
2	Battambang	Battambang
3	Kampong Cham	Kampong Cham
4	Prey Veng	Prey Veng
5	Kratie	Kratie
6	Pursat	Pursat
7	Takeo	Takeo
8	Sisophon	Sisophon
9	Kampong Chhnang	Kampong Chhnang
10	Kampot	Kampot
11	Krong Kep	Krong Kep
12	Kampong Thom	Kampong Thom
13	Kampong Speu	Kampong Speu
14	Koh Kong	Koh Kong
15	Stung Treng	Stung Treng
16	Svay Rieng	Svay Rieng
17	Tbeng Meanchey	Tbeng Meanchey
18	Sen Monorom	Sen Monorom
19	Ta Khmau	Ta Khmau
20	Banlung	Banlung
21	Sihanoukville	Sihanoukville
22	Suong	Suong
23	Samraong	Samraong
24	Pailin	Pailin
25	Kampong Thum	Kampong Thum
26	Lumphat	Lumphat
