	city	city_ascii
0	Yaoundé	Yaounde
1	Douala	Douala
2	Maroua	Maroua
3	Bafoussam	Bafoussam
4	Bamenda	Bamenda
5	Garoua	Garoua
6	Limbe	Limbe
7	Ngaoundéré	Ngaoundere
8	Bertoua	Bertoua
9	Kumba	Kumba
10	Buea	Buea
11	Kumbo	Kumbo
12	Edéa	Edea
13	Nkongsamba	Nkongsamba
14	Kousséri	Kousseri
15	Ébolowa	Ebolowa
16	Bogo	Bogo
17	Bafang	Bafang
18	Foumban	Foumban
19	Guider	Guider
20	Mbalmayo	Mbalmayo
21	Meïganga	Meiganga
22	Dschang	Dschang
23	Tibati	Tibati
24	Bafia	Bafia
25	Wum	Wum
26	Kribi	Kribi
27	Batouri	Batouri
28	Kalfou	Kalfou
29	Bélabo	Belabo
30	Eséka	Eseka
31	Abong Mbang	Abong Mbang
32	Bandjoun	Bandjoun
33	Kontcha	Kontcha
34	Aiyomojok	Aiyomojok
35	Mbé	Mbe
