	city	city_ascii
0	Toronto	Toronto
1	Montréal	Montreal
2	Vancouver	Vancouver
3	Calgary	Calgary
4	Edmonton	Edmonton
5	Ottawa	Ottawa
6	Winnipeg	Winnipeg
7	Quebec City	Quebec City
8	Kitchener	Kitchener
9	Halifax	Halifax
10	Victoria	Victoria
11	Mississauga	Mississauga
12	Hamilton	Hamilton
13	Brampton	Brampton
14	Surrey	Surrey
15	Laval	Laval
16	London	London
17	Markham	Markham
18	St. Catharines	St. Catharines
19	Niagara Falls	Niagara Falls
20	Vaughan	Vaughan
21	Gatineau	Gatineau
22	Windsor	Windsor
23	Saskatoon	Saskatoon
24	Longueuil	Longueuil
25	Burnaby	Burnaby
26	Regina	Regina
27	Richmond	Richmond
28	Richmond Hill	Richmond Hill
29	Oakville	Oakville
30	Burlington	Burlington
31	Barrie	Barrie
32	Oshawa	Oshawa
33	Sherbrooke	Sherbrooke
34	Saguenay	Saguenay
35	Lévis	Levis
36	Kelowna	Kelowna
37	Abbotsford	Abbotsford
38	Coquitlam	Coquitlam
39	Trois-Rivières	Trois-Rivieres
40	Guelph	Guelph
41	Cambridge	Cambridge
42	Whitby	Whitby
43	Ajax	Ajax
44	Langley	Langley
45	Saanich	Saanich
46	Terrebonne	Terrebonne
47	Milton	Milton
48	St. John's	St. John's
49	Moncton	Moncton
50	Thunder Bay	Thunder Bay
51	Dieppe	Dieppe
52	Waterloo	Waterloo
53	Delta	Delta
54	Chatham	Chatham
55	Red Deer	Red Deer
56	Kamloops	Kamloops
57	Newmarket	Newmarket
58	White Rock	White Rock
59	New Westminster	New Westminster
60	Port Coquitlam	Port Coquitlam
61	Dollard-des-Ormeaux	Dollard-des-Ormeaux
62	Duncan	Duncan
63	Côte-Saint-Luc	Cote-Saint-Luc
64	Sainte-Thérèse	Sainte-Therese
65	Saint-Lambert	Saint-Lambert
66	Kirkland	Kirkland
67	Westmount	Westmount
68	Mont-Royal	Mont-Royal
69	Sainte-Marthe-sur-le-Lac	Sainte-Marthe-sur-le-Lac
70	Esquimalt	Esquimalt
71	Deux-Montagnes	Deux-Montagnes
72	L’Ancienne-Lorette	L'Ancienne-Lorette
73	Pincourt	Pincourt
74	Sidney	Sidney
75	Bois-des-Filion	Bois-des-Filion
76	Hampstead	Hampstead
77	Charlemagne	Charlemagne
78	L’Epiphanie	L'Epiphanie
79	Montréal-Ouest	Montreal-Ouest
80	Brantford	Brantford
81	Cape Breton	Cape Breton
82	Lethbridge	Lethbridge
83	Saint-Jean-sur-Richelieu	Saint-Jean-sur-Richelieu
84	Clarington	Clarington
85	Pickering	Pickering
86	Nanaimo	Nanaimo
87	Sudbury	Sudbury
88	North Vancouver	North Vancouver
89	Brossard	Brossard
90	Repentigny	Repentigny
91	Chilliwack	Chilliwack
92	Maple Ridge	Maple Ridge
93	Peterborough	Peterborough
94	Kawartha Lakes	Kawartha Lakes
95	Prince George	Prince George
96	Sault Ste. Marie	Sault Ste. Marie
97	Sarnia	Sarnia
98	Wood Buffalo	Wood Buffalo
99	Châteauguay	Chateauguay
100	Saint-Jérôme	Saint-Jerome
101	Drummondville	Drummondville
102	Saint John	Saint John
103	Caledon	Caledon
104	St. Albert	St. Albert
105	Granby	Granby
106	Medicine Hat	Medicine Hat
107	Grande Prairie	Grande Prairie
108	St. Thomas	St. Thomas
109	Airdrie	Airdrie
110	Halton Hills	Halton Hills
111	Saint-Hyacinthe	Saint-Hyacinthe
112	Lac-Brome	Lac-Brome
113	Fredericton	Fredericton
114	Blainville	Blainville
115	Aurora	Aurora
116	Welland	Welland
117	North Bay	North Bay
118	Beloeil	Beloeil
119	Belleville	Belleville
120	Mirabel	Mirabel
121	Shawinigan	Shawinigan
122	Brandon	Brandon
123	Rimouski	Rimouski
124	Cornwall	Cornwall
125	Stouffville	Stouffville
126	Georgina	Georgina
127	Victoriaville	Victoriaville
128	Vernon	Vernon
129	Saint-Eustache	Saint-Eustache
130	Quinte West	Quinte West
131	Charlottetown	Charlottetown
132	Mascouche	Mascouche
133	West Vancouver	West Vancouver
134	Salaberry-de-Valleyfield	Salaberry-de-Valleyfield
135	Rouyn-Noranda	Rouyn-Noranda
136	Timmins	Timmins
137	Sorel-Tracy	Sorel-Tracy
138	New Tecumseth	New Tecumseth
139	Woodstock	Woodstock
140	Boucherville	Boucherville
141	Mission	Mission
142	Vaudreuil-Dorion	Vaudreuil-Dorion
143	Brant	Brant
144	Lakeshore	Lakeshore
145	Innisfil	Innisfil
146	Prince Albert	Prince Albert
147	Langford Station	Langford Station
148	Bradford West Gwillimbury	Bradford West Gwillimbury
149	Campbell River	Campbell River
150	Spruce Grove	Spruce Grove
151	Moose Jaw	Moose Jaw
152	Penticton	Penticton
153	Port Moody	Port Moody
154	Leamington	Leamington
155	East Kelowna	East Kelowna
156	Val-d’Or	Val-d'Or
157	Owen Sound	Owen Sound
158	Stratford	Stratford
159	Lloydminster	Lloydminster
160	Pointe-Claire	Pointe-Claire
161	Orillia	Orillia
162	Alma	Alma
163	Orangeville	Orangeville
164	Fort Erie	Fort Erie
165	LaSalle	LaSalle
166	Sainte-Julie	Sainte-Julie
167	Leduc	Leduc
168	North Cowichan	North Cowichan
169	Chambly	Chambly
170	Okotoks	Okotoks
171	Sept-Îles	Sept-Iles
172	Centre Wellington	Centre Wellington
173	Saint-Constant	Saint-Constant
174	Grimsby	Grimsby
175	Boisbriand	Boisbriand
176	Conception Bay South	Conception Bay South
177	Saint-Bruno-de-Montarville	Saint-Bruno-de-Montarville
178	Cochrane	Cochrane
179	Thetford Mines	Thetford Mines
180	Courtenay	Courtenay
181	Magog	Magog
182	Whitehorse	Whitehorse
183	Woolwich	Woolwich
184	Clarence-Rockland	Clarence-Rockland
185	Fort Saskatchewan	Fort Saskatchewan
186	East Gwillimbury	East Gwillimbury
187	Lincoln	Lincoln
188	La Prairie	La Prairie
189	Tecumseh	Tecumseh
190	Mount Pearl Park	Mount Pearl Park
191	Amherstburg	Amherstburg
192	Brockville	Brockville
193	Collingwood	Collingwood
194	Scugog	Scugog
195	Kingsville	Kingsville
196	Baie-Comeau	Baie-Comeau
197	Paradise	Paradise
198	Uxbridge	Uxbridge
199	Essa	Essa
200	Candiac	Candiac
201	Oro-Medonte	Oro-Medonte
202	Varennes	Varennes
203	Strathroy-Caradoc	Strathroy-Caradoc
204	Wasaga Beach	Wasaga Beach
205	New Glasgow	New Glasgow
206	Wilmot	Wilmot
207	Essex	Essex
208	Fort St. John	Fort St. John
209	L’Assomption	L'Assomption
210	Saint-Lazare	Saint-Lazare
211	Chestermere	Chestermere
212	Huntsville	Huntsville
213	Corner Brook	Corner Brook
214	Riverview	Riverview
215	Lloydminster	Lloydminster
216	Joliette	Joliette
217	Yellowknife	Yellowknife
218	Squamish	Squamish
219	Rivière-du-Loup	Riviere-du-Loup
220	Cobourg	Cobourg
221	Cranbrook	Cranbrook
222	Beaconsfield	Beaconsfield
223	Springwater	Springwater
224	Dorval	Dorval
225	Thorold	Thorold
226	Camrose	Camrose
227	South Frontenac	South Frontenac
228	Pitt Meadows	Pitt Meadows
229	Port Colborne	Port Colborne
230	Quispamsis	Quispamsis
231	Mont-Saint-Hilaire	Mont-Saint-Hilaire
232	Bathurst	Bathurst
233	Saint-Augustin-de-Desmaures	Saint-Augustin-de-Desmaures
234	Oak Bay	Oak Bay
235	Salmon Arm	Salmon Arm
236	Port Alberni	Port Alberni
237	Miramichi	Miramichi
238	Niagara-on-the-Lake	Niagara-on-the-Lake
239	Saint-Lin--Laurentides	Saint-Lin--Laurentides
240	Beaumont	Beaumont
241	Middlesex Centre	Middlesex Centre
242	Inverness	Inverness
243	Stony Plain	Stony Plain
244	Petawawa	Petawawa
245	Pelham	Pelham
246	Selwyn	Selwyn
247	Loyalist	Loyalist
248	Midland	Midland
249	Colwood	Colwood
250	Central Saanich	Central Saanich
251	Sainte-Catherine	Sainte-Catherine
252	Port Hope	Port Hope
253	Saint-Basile-le-Grand	Saint-Basile-le-Grand
254	Swift Current	Swift Current
255	Edmundston	Edmundston
256	Russell	Russell
257	North Grenville	North Grenville
258	Yorkton	Yorkton
259	Tracadie	Tracadie
260	Bracebridge	Bracebridge
261	Greater Napanee	Greater Napanee
262	Tillsonburg	Tillsonburg
263	Steinbach	Steinbach
264	Hanover	Hanover
265	Terrace	Terrace
266	Springfield	Springfield
267	Gaspé	Gaspe
268	Kenora	Kenora
269	Cold Lake	Cold Lake
270	Summerside	Summerside
271	Comox	Comox
272	Sylvan Lake	Sylvan Lake
273	West Lincoln	West Lincoln
274	Matane	Matane
275	Brooks	Brooks
276	Sainte-Anne-des-Plaines	Sainte-Anne-des-Plaines
277	West Nipissing / Nipissing Ouest	West Nipissing / Nipissing Ouest
278	Rosemère	Rosemere
279	Mistassini	Mistassini
280	Grand Falls	Grand Falls
281	Clearview	Clearview
282	St. Clair	St. Clair
283	Canmore	Canmore
284	North Battleford	North Battleford
285	Pembroke	Pembroke
286	Mont-Laurier	Mont-Laurier
287	Strathmore	Strathmore
288	Saugeen Shores	Saugeen Shores
289	Thompson	Thompson
290	Lavaltrie	Lavaltrie
291	High River	High River
292	Severn	Severn
293	Sainte-Sophie	Sainte-Sophie
294	Saint-Charles-Borromée	Saint-Charles-Borromee
295	Portage La Prairie	Portage La Prairie
296	Thames Centre	Thames Centre
297	Mississippi Mills	Mississippi Mills
298	Powell River	Powell River
299	South Glengarry	South Glengarry
300	North Perth	North Perth
301	Mercier	Mercier
302	South Stormont	South Stormont
303	Saint-Colomban	Saint-Colomban
304	Lacombe	Lacombe
305	Sooke	Sooke
306	Dawson Creek	Dawson Creek
307	Lake Country	Lake Country
308	Trent Hills	Trent Hills
309	Sainte-Marie	Sainte-Marie
310	Guelph/Eramosa	Guelph/Eramosa
311	Truro	Truro
312	Amos	Amos
313	The Nation / La Nation	The Nation / La Nation
314	Ingersoll	Ingersoll
315	Winkler	Winkler
316	Wetaskiwin	Wetaskiwin
317	Central Elgin	Central Elgin
318	Lachute	Lachute
319	West Grey	West Grey
320	Parksville	Parksville
321	Cowansville	Cowansville
322	Bécancour	Becancour
323	Gravenhurst	Gravenhurst
324	Perth East	Perth East
325	Prince Rupert	Prince Rupert
326	Prévost	Prevost
327	Sainte-Adèle	Sainte-Adele
328	Kentville	Kentville
329	Beauharnois	Beauharnois
330	Les Îles-de-la-Madeleine	Les Iles-de-la-Madeleine
331	Wellington North	Wellington North
332	St. Andrews	St. Andrews
333	Carleton Place	Carleton Place
334	Whistler	Whistler
335	Brighton	Brighton
336	Tiny	Tiny
337	Gander	Gander
338	Rothesay	Rothesay
339	Brock	Brock
340	Summerland	Summerland
341	Val-des-Monts	Val-des-Monts
342	Taché	Tache
343	Montmagny	Montmagny
344	Erin	Erin
345	Kincardine	Kincardine
346	North Dundas	North Dundas
347	Wellesley	Wellesley
348	Estevan	Estevan
349	North Saanich	North Saanich
350	Warman	Warman
351	La Tuque	La Tuque
352	Norwich	Norwich
353	Meaford	Meaford
354	Adjala-Tosorontio	Adjala-Tosorontio
355	Hamilton Township	Hamilton Township
356	St. Clements	St. Clements
357	Saint-Amable	Saint-Amable
358	Weyburn	Weyburn
359	South Dundas	South Dundas
