	city	city_ascii
0	Shanghai	Shanghai
1	Guangzhou	Guangzhou
2	Beijing	Beijing
3	Shenzhen	Shenzhen
4	Nanyang	Nanyang
5	Baoding	Baoding
6	Chengdu	Chengdu
7	Linyi	Linyi
8	Tianjin	Tianjin
9	Shijiazhuang	Shijiazhuang
10	Zhoukou	Zhoukou
11	Handan	Handan
12	Weifang	Weifang
13	Wuhan	Wuhan
14	Heze	Heze
15	Ganzhou	Ganzhou
16	Tongshan	Tongshan
17	Changsha	Changsha
18	Fuyang	Fuyang
19	Jining	Jining
20	Dongguan	Dongguan
21	Jinan	Jinan
22	Foshan	Foshan
23	Chongqing	Chongqing
24	Changchun	Changchun
25	Zhumadian	Zhumadian
26	Ningbo	Ningbo
27	Cangzhou	Cangzhou
28	Nanjing	Nanjing
29	Hefei	Hefei
30	Zhanjiang	Zhanjiang
31	Shaoyang	Shaoyang
32	Hengyang	Hengyang
33	Nantong	Nantong
34	Yancheng	Yancheng
35	Nanning	Nanning
36	Xi’an	Xi'an
37	Shenyang	Shenyang
38	Tangshan	Tangshan
39	Zhengzhou	Zhengzhou
40	Shangqiu	Shangqiu
41	Yantai	Yantai
42	Xinyang	Xinyang
43	Shangrao	Shangrao
44	Luoyang	Luoyang
45	Bijie	Bijie
46	Quanzhou	Quanzhou
47	Hangzhou	Hangzhou
48	Huanggang	Huanggang
49	Maoming	Maoming
50	Kunming	Kunming
51	Nanchong	Nanchong
52	Zunyi	Zunyi
53	Jieyang	Jieyang
54	Lu’an	Lu'an
55	Yichun	Yichun
56	Changde	Changde
57	Taizhou	Taizhou
58	Liaocheng	Liaocheng
59	Qujing	Qujing
60	Qingdao	Qingdao
61	Dazhou	Dazhou
62	Suzhou	Suzhou
63	Xiangyang	Xiangyang
64	Nangandao	Nangandao
65	Tai’an	Tai'an
66	Yulin	Yulin
67	Dezhou	Dezhou
68	Yongzhou	Yongzhou
69	Suihua	Suihua
70	Qiqihar	Qiqihar
71	Jinhua	Jinhua
72	Shantou	Shantou
73	Weinan	Weinan
74	Suqian	Suqian
75	Suzhou	Suzhou
76	Fuzhou	Fuzhou
77	Zhaotong	Zhaotong
78	Pudong	Pudong
79	Zhangzhou	Zhangzhou
80	Bozhou	Bozhou
81	Nanchang	Nanchang
82	Xianyang	Xianyang
83	Taizhou	Taizhou
84	Huaihua	Huaihua
85	Ji’an	Ji'an
86	Mianyang	Mianyang
87	Xiaoganzhan	Xiaoganzhan
88	Shaoxing	Shaoxing
89	Yuncheng	Yuncheng
90	Pingdingshan	Pingdingshan
91	Huizhou	Huizhou
92	Huai’an	Huai'an
93	Xinpu	Xinpu
94	Chenzhou	Chenzhou
95	Guilin	Guilin
96	Jiujiang	Jiujiang
97	Anqing	Anqing
98	Huanglongsi	Huanglongsi
