	city	city_ascii
0	Bogotá	Bogota
1	Medellín	Medellin
2	Cali	Cali
3	Barranquilla	Barranquilla
4	Cartagena	Cartagena
5	Soacha	Soacha
6	Palermo	Palermo
7	Cúcuta	Cucuta
8	Soledad	Soledad
9	Pereira	Pereira
10	Bucaramanga	Bucaramanga
11	Valledupar	Valledupar
12	Ibagué	Ibague
13	Villavicencio	Villavicencio
14	Santa Marta	Santa Marta
15	Montería	Monteria
16	Manizales	Manizales
17	Buenaventura	Buenaventura
18	Pasto	Pasto
19	Bello	Bello
20	Neiva	Neiva
21	Armenia	Armenia
22	Popayán	Popayan
23	Sincelejo	Sincelejo
24	Floridablanca	Floridablanca
25	Itagüí	Itagui
26	Envigado	Envigado
27	Tuluá	Tulua
28	Tumaco	Tumaco
29	Tunja	Tunja
30	Barrancabermeja	Barrancabermeja
31	Zipaquirá	Zipaquira
32	Dosquebradas	Dosquebradas
33	Turbo	Turbo
34	Yopal	Yopal
35	Ríohacha	Riohacha
36	Girón	Giron
37	Florencia	Florencia
38	Fusagasugá	Fusagasuga
39	Cartago	Cartago
40	Pitalito	Pitalito
41	Sogamoso	Sogamoso
42	Ciénaga	Cienaga
43	Quibdó	Quibdo
44	Girardot	Girardot
45	Duitama	Duitama
46	Magangué	Magangue
47	Maicao	Maicao
48	Facatativá	Facatativa
49	Uribia	Uribia
50	Piedecuesta	Piedecuesta
51	Guadalajara de Buga	Guadalajara de Buga
52	Madrid	Madrid
53	Santander de Quilichao	Santander de Quilichao
54	Aguachica	Aguachica
55	Ipiales	Ipiales
56	Arauca	Arauca
57	San Andrés	San Andres
58	San José del Guaviare	San Jose del Guaviare
59	Sabaneta	Sabaneta
60	Leticia	Leticia
61	Mitú	Mitu
62	Mocoa	Mocoa
63	Inírida	Inirida
64	Puerto Carreño	Puerto Carreno
65	Chía	Chia
66	Jamundí	Jamundi
67	Yumbo	Yumbo
68	Mosquera	Mosquera
69	Fundación	Fundacion
70	Ocaña	Ocana
71	Montelíbano	Montelibano
72	Chiquinquirá	Chiquinquira
73	Sabanalarga	Sabanalarga
74	Chigorodó	Chigorodo
75	Cereté	Cerete
76	Funza	Funza
77	Caldas	Caldas
78	Los Patios	Los Patios
