	city	city_ascii
0	Kinshasa	Kinshasa
1	Kananga	Kananga
2	Lubumbashi	Lubumbashi
3	Mbuji-Mayi	Mbuji-Mayi
4	Kisangani	Kisangani
5	Kikwit	Kikwit
6	Bukavu	Bukavu
7	Likasi	Likasi
8	Kolwezi	Kolwezi
9	Beni	Beni
10	Matadi	Matadi
11	Mbandaka	Mbandaka
12	Tshikapa	Tshikapa
13	Kindu	Kindu
14	Goma	Goma
15	Butembo	Butembo
16	Kalemie	Kalemie
17	Gemena	Gemena
18	Mbanza-Ngungu	Mbanza-Ngungu
19	Mwene-Ditu	Mwene-Ditu
20	Boma	Boma
21	Uvira	Uvira
22	Isiro	Isiro
23	Gandajika	Gandajika
24	Moanda	Moanda
25	Wamba	Wamba
26	Kamina	Kamina
27	Bandundu	Bandundu
28	Kipushi	Kipushi
29	Ilebo	Ilebo
30	Kongolo	Kongolo
31	Bumba	Bumba
32	Bunia	Bunia
33	Lisala	Lisala
34	Kabinda	Kabinda
35	Gbadolite	Gbadolite
36	Buta	Buta
37	Lusambo	Lusambo
38	Inongo	Inongo
39	Luebo	Luebo
40	Boende	Boende
41	Kenge	Kenge
42	Lodja	Lodja
43	Binga	Binga
44	Kasongo	Kasongo
45	Idiofa	Idiofa
46	Aketi	Aketi
47	Basankusu	Basankusu
48	Mweka	Mweka
49	Kahemba	Kahemba
50	Bulungu	Bulungu
51	Manono	Manono
52	Basoko	Basoko
53	Lubao	Lubao
54	Tshela	Tshela
55	Bukama	Bukama
56	Mangai	Mangai
57	Kampene	Kampene
58	Kambove	Kambove
59	Kaniama	Kaniama
60	Yangambi	Yangambi
61	Businga	Businga
62	Mushie	Mushie
63	Kabalo	Kabalo
64	Kasangulu	Kasangulu
65	Bolobo	Bolobo
66	Libenge	Libenge
67	Watsa	Watsa
68	Bondo	Bondo
69	Demba	Demba
70	Kasongo-Lunda	Kasongo-Lunda
71	Zongo	Zongo
72	Nyunzu	Nyunzu
73	Bosobolo	Bosobolo
74	Kasaji	Kasaji
75	Kimpese	Kimpese
76	Moba	Moba
77	Dilolo	Dilolo
78	Mangbwalu	Mangbwalu
79	Ikela	Ikela
80	Bongandanga	Bongandanga
81	Mwenga	Mwenga
82	Lubutu	Lubutu
83	Buluko	Buluko
84	Luanza	Luanza
85	Dibaya	Dibaya
86	Kalima	Kalima
87	Lusanga	Lusanga
88	Bafwasende	Bafwasende
