	city	city_ascii
0	Zagreb	Zagreb
1	Split	Split
2	Rijeka	Rijeka
3	Osijek	Osijek
4	Zadar	Zadar
5	Slavonski Brod	Slavonski Brod
6	Šibenik	Sibenik
7	Dubrovnik	Dubrovnik
8	Bjelovar	Bjelovar
9	Sisak	Sisak
10	Čakovec	Cakovec
11	Vukovar	Vukovar
12	Virovitica	Virovitica
13	Gospić	Gospic
14	Varaždin	Varazdin
15	Koprivnica	Koprivnica
16	Požega	Pozega
17	Krapina	Krapina
18	Pazin	Pazin
19	Velika Gorica	Velika Gorica
20	Pula	Pula
21	Karlovac	Karlovac
22	Kaštel Stari	Kastel Stari
23	Samobor	Samobor
24	Vrbovec	Vrbovec
25	Ivanić-Grad	Ivanic-Grad
26	Rovinj	Rovinj
27	Trogir	Trogir
28	Županja	Zupanja
29	Nova Gradiška	Nova Gradiska
30	Opatija	Opatija
31	Labin	Labin
32	Crikvenica	Crikvenica
33	Kastav	Kastav
34	Križevci	Krizevci
35	Knin	Knin
36	Slatina	Slatina
37	Daruvar	Daruvar
38	Čepin	Cepin
39	Bedekovčina	Bedekovcina
40	Našice	Nasice
41	Poreč	Porec
42	Križ	Kriz
43	Čavle	Cavle
44	Novska	Novska
45	Belišće	Belisce
46	Ploče	Ploce
47	Krk	Krk
48	Ivankovo	Ivankovo
49	Donji Miholjac	Donji Miholjac
50	Cestica	Cestica
51	Darda	Darda
52	Buje	Buje
53	Ilok	Ilok
