	city	city_ascii
0	Havana	Havana
1	Santiago de Cuba	Santiago de Cuba
2	Holguín	Holguin
3	Camagüey	Camaguey
4	Bayamo	Bayamo
5	Guantánamo	Guantanamo
6	Carlos Manuel de Céspedes	Carlos Manuel de Cespedes
7	Arroyo Naranjo	Arroyo Naranjo
8	Santa Clara	Santa Clara
9	Las Tunas	Las Tunas
10	Pinar del Río	Pinar del Rio
11	Cienfuegos	Cienfuegos
12	Manzanillo	Manzanillo
13	Centro Habana	Centro Habana
14	Matanzas	Matanzas
15	Ciego de Ávila	Ciego de Avila
16	Sancti Spíritus	Sancti Spiritus
17	Contramaestre	Contramaestre
18	Mayarí	Mayari
19	Artemisa	Artemisa
20	Nueva Gerona	Nueva Gerona
21	San José de las Lajas	San Jose de las Lajas
22	San Luis	San Luis
23	Jagüey Grande	Jaguey Grande
24	Consolación del Sur	Consolacion del Sur
25	Baracoa	Baracoa
26	Palma Soriano	Palma Soriano
27	Moa	Moa
28	Colón	Colon
29	Florida	Florida
30	Placetas	Placetas
31	Gibara	Gibara
32	Güines	Guines
33	Yara	Yara
34	Morón	Moron
35	Jovellanos	Jovellanos
36	Bartolomé Masó	Bartolome Maso
37	Sagua la Grande	Sagua la Grande
38	Jobabo	Jobabo
39	Salvador	Salvador
40	Remedios	Remedios
41	San Juan y Martínez	San Juan y Martinez
42	Bahía Honda	Bahia Honda
43	Jatibonico	Jatibonico
44	Mariel	Mariel
45	Niquero	Niquero
46	Chambas	Chambas
47	Nuevitas	Nuevitas
48	Los Palacios	Los Palacios
49	Caibarién	Caibarien
50	Güira de Melena	Guira de Melena
51	Caimito	Caimito
52	Guane	Guane
53	Guamá Abajo	Guama Abajo
54	La Palma	La Palma
55	Banes	Banes
56	San Antonio de los Baños	San Antonio de los Banos
57	Mella	Mella
58	San Luis	San Luis
59	Baraguá	Baragua
60	Cabaiguán	Cabaiguan
61	Alquízar	Alquizar
62	Quivicán	Quivican
63	Primero de Enero	Primero de Enero
64	San Cristóbal	San Cristobal
65	Venezuela	Venezuela
66	Ciro Redondo	Ciro Redondo
67	Viñales	Vinales
68	Majagua	Majagua
69	San Antonio del Sur	San Antonio del Sur
70	Surgidero de Batabanó	Surgidero de Batabano
71	Nueva Paz	Nueva Paz
72	Bauta	Bauta
73	Abreus	Abreus
74	Guanajay	Guanajay
75	Lajas	Lajas
76	San Nicolás	San Nicolas
77	Varadero	Varadero
78	Manuel Tames	Manuel Tames
79	Florencia	Florencia
80	Melena del Sur	Melena del Sur
81	Candelaria	Candelaria
82	Najasa	Najasa
83	Imías	Imias
84	Caimanera	Caimanera
