	city	city_ascii
0	Prague	Prague
1	Brno	Brno
2	Ostrava	Ostrava
3	Plzeň	Plzen
4	Liberec	Liberec
5	Olomouc	Olomouc
6	České Budějovice	Ceske Budejovice
7	Hradec Králové	Hradec Kralove
8	Ústí nad Labem	Usti nad Labem
9	Pardubice	Pardubice
10	Zlín	Zlin
11	Havířov	Havirov
12	Teplice	Teplice
13	Jihlava	Jihlava
14	Karlovy Vary	Karlovy Vary
15	Břevnov	Brevnov
16	Kladno	Kladno
17	Most	Most
18	Opava	Opava
19	Frýdek-Místek	Frydek-Mistek
20	Karviná	Karvina
21	Chomutov	Chomutov
22	Děčín	Decin
23	Jablonec nad Nisou	Jablonec nad Nisou
24	Mladá Boleslav	Mlada Boleslav
25	Prostějov	Prostejov
26	Přerov	Prerov
27	Česká Lípa	Ceska Lipa
28	Třebíč	Trebic
29	Třinec	Trinec
30	Tábor	Tabor
31	Znojmo	Znojmo
32	Kolín	Kolin
33	Příbram	Pribram
34	Cheb	Cheb
35	Písek	Pisek
36	Trutnov	Trutnov
37	Orlová	Orlova
38	Kroměříž	Kromeriz
39	Líšeň	Lisen
40	Šumperk	Sumperk
41	Vsetín	Vsetin
42	Uherské Hradiště	Uherske Hradiste
43	Litoměřice	Litomerice
44	Břeclav	Breclav
45	Český Těšín	Cesky Tesin
46	Hodonín	Hodonin
47	Litvínov	Litvinov
48	Sokolov	Sokolov
49	Chrudim	Chrudim
50	Nový Jičín	Novy Jicin
51	Krnov	Krnov
52	Havlíčkŭv Brod	Havlickuv Brod
53	Strakonice	Strakonice
54	Valašské Meziříčí	Valasske Mezirici
55	Kopřivnice	Koprivnice
56	Klatovy	Klatovy
57	Kutná Hora	Kutna Hora
58	Jindřichŭv Hradec	Jindrichuv Hradec
59	Vyškov	Vyskov
60	Žďár nad Sázavou	Zd'ar nad Sazavou
61	Bohumín	Bohumin
62	Blansko	Blansko
63	Beroun	Beroun
64	Mělník	Melnik
65	Jirkov	Jirkov
66	Náchod	Nachod
67	Brandýs nad Labem-Stará Boleslav	Brandys nad Labem-Stara Boleslav
68	Kralupy nad Vltavou	Kralupy nad Vltavou
69	Žatec	Zatec
70	Louny	Louny
71	Otrokovice	Otrokovice
72	Kadaň	Kadan
73	Hranice	Hranice
74	Bílina	Bilina
75	Jičín	Jicin
76	Benešov	Benesov
77	Svitavy	Svitavy
78	Neratovice	Neratovice
79	Ostrov	Ostrov
80	Říčany	Ricany
81	Uherský Brod	Uhersky Brod
82	Rožnov pod Radhoštěm	Roznov pod Radhostem
83	Rakovník	Rakovnik
84	Slaný	Slany
85	Bruntál	Bruntal
86	Pelhřimov	Pelhrimov
87	Dvůr Králové nad Labem	Dvur Kralove nad Labem
88	Nymburk	Nymburk
89	Varnsdorf	Varnsdorf
90	Česká Třebová	Ceska Trebova
91	Turnov	Turnov
92	Poděbrady	Podebrady
93	Rokycany	Rokycany
94	Klášterec nad Ohří	Klasterec nad Ohri
95	Ústí nad Orlicí	Usti nad Orlici
96	Hlučín	Hlucin
97	Chodov	Chodov
98	Zábřeh	Zabreh
99	Šternberk	Sternberk
100	Roudnice nad Labem	Roudnice nad Labem
101	Tachov	Tachov
102	Český Krumlov	Cesky Krumlov
103	Aš	As
104	Čelákovice	Celakovice
105	Mariánské Lázně	Marianske Lazne
106	Jaroměř	Jaromer
107	Krupka	Krupka
108	Vrchlabí	Vrchlabi
109	Milovice	Milovice
110	Vysoké Mýto	Vysoke Myto
111	Nový Bor	Novy Bor
112	Boskovice	Boskovice
113	Holešov	Holesov
114	Vlašim	Vlasim
115	Velké Meziříčí	Velke Mezirici
116	Frenštát pod Radhoštěm	Frenstat pod Radhostem
117	Kuřim	Kurim
118	Uničov	Unicov
119	Domažlice	Domazlice
120	Kyjov	Kyjov
121	Rumburk	Rumburk
122	Jeseník	Jesenik
123	Rychnov nad Kněžnou	Rychnov nad Kneznou
124	Sušice	Susice
125	Humpolec	Humpolec
126	Veselí nad Moravou	Veseli nad Moravou
127	Prachatice	Prachatice
128	Čáslav	Caslav
129	Králŭv Dvŭr	Kraluv Dvur
130	Jesenice	Jesenice
131	Litomyšl	Litomysl
132	Frýdlant nad Ostravicí	Frydlant nad Ostravici
133	Lanškroun	Lanskroun
134	Přelouč	Prelouc
135	Nové Město na Moravě	Nove Mesto na Morave
136	Lysá nad Labem	Lysa nad Labem
137	Ivančice	Ivancice
138	Moravská Třebová	Moravska Trebova
139	Hlinsko	Hlinsko
140	Litovel	Litovel
141	Roztoky	Roztoky
142	Tišnov	Tisnov
143	Studénka	Studenka
144	Nové Město nad Metují	Nove Mesto nad Metuji
145	Hostivice	Hostivice
146	Mohelnice	Mohelnice
147	Lovosice	Lovosice
148	Nová Paka	Nova Paka
149	Chotěboř	Chotebor
150	Duchcov	Duchcov
151	Mnichovo Hradiště	Mnichovo Hradiste
152	Polička	Policka
153	Dobříš	Dobris
154	Choceň	Chocen
155	Hořice	Horice
156	Semily	Semily
157	Příbor	Pribor
158	Štětí	Steti
159	Červený Kostelec	Cerveny Kostelec
160	Bystřice pod Hostýnem	Bystrice pod Hostynem
161	Milevsko	Milevsko
162	Třeboň	Trebon
163	Šlapanice	Slapanice
164	Rýmařov	Rymarov
165	Lipník nad Bečvou	Lipnik nad Becvou
166	Černošice	Cernosice
167	Bystřice nad Pernštejnem	Bystrice nad Pernstejnem
168	Týn nad Vltavou	Tyn nad Vltavou
169	Dubí	Dubi
170	Sezimovo Ústí	Sezimovo Usti
171	Rychvald	Rychvald
172	Nejdek	Nejdek
173	Hrádek nad Nisou	Hradek nad Nisou
174	Vratimov	Vratimov
175	Petřvald	Petrvald
176	Stříbro	Stribro
177	Benátky nad Jizerou	Benatky nad Jizerou
178	Frýdlant	Frydlant
179	Hořovice	Horovice
180	Úvaly	Uvaly
181	Mikulov	Mikulov
182	Broumov	Broumov
183	Bílovec	Bilovec
184	Slavkov u Brna	Slavkov u Brna
185	Vimperk	Vimperk
186	Napajedla	Napajedla
187	Moravské Budějovice	Moravske Budejovice
188	Český Brod	Cesky Brod
189	Kaplice	Kaplice
190	Odry	Odry
191	Přeštice	Prestice
192	Dačice	Dacice
193	Nýřany	Nyrany
194	Soběslav	Sobeslav
195	Vodňany	Vodnany
196	Nový Bydžov	Novy Bydzov
197	Sedlčany	Sedlcany
198	Kravaře	Kravare
199	Holice	Holice
200	Hulín	Hulin
201	Staré Město	Stare Mesto
202	Rosice	Rosice
203	Letovice	Letovice
204	Dobruška	Dobruska
205	Šenov	Senov
206	Kraslice	Kraslice
207	Mimoň	Mimon
208	Odolena Voda	Odolena Voda
209	Letohrad	Letohrad
210	Bučovice	Bucovice
211	Blatná	Blatna
212	Tanvald	Tanvald
213	Dubňany	Dubnany
214	Světlá nad Sázavou	Svetla nad Sazavou
215	Veselí nad Lužnicí	Veseli nad Luznici
216	Chrastava	Chrastava
217	Slavičín	Slavicin
218	Podbořany	Podborany
219	Kostelec nad Orlicí	Kostelec nad Orlici
220	Žamberk	Zamberk
221	Hronov	Hronov
222	Dobřany	Dobrany
223	Mníšek pod Brdy	Mnisek pod Brdy
224	Železný Brod	Zelezny Brod
225	Hustopeče	Hustopece
226	Týniště nad Orlicí	Tyniste nad Orlici
227	Kojetín	Kojetin
228	Nové Strašecí	Nove Straseci
229	Úpice	Upice
230	Třebechovice pod Orebem	Trebechovice pod Orebem
231	Rousínov	Rousinov
232	Jablunkov	Jablunkov
233	Modřice	Modrice
234	Týnec nad Sázavou	Tynec nad Sazavou
235	Chlumec nad Cidlinou	Chlumec nad Cidlinou
236	Šluknov	Sluknov
237	Jilemnice	Jilemnice
238	Třešť	Trest'
239	Moravský Krumlov	Moravsky Krumlov
240	Rudná	Rudna
241	Lomnice nad Popelkou	Lomnice nad Popelkou
242	Zubří	Zubri
243	Vítkov	Vitkov
244	Kunovice	Kunovice
245	Bystřice	Bystrice
246	Fulnek	Fulnek
247	Strážnice	Straznice
248	Kosmonosy	Kosmonosy
249	Františkovy Lázně	Frantiskovy Lazne
250	Hradec nad Moravici	Hradec nad Moravici
251	Stochov	Stochov
252	Horní Slavkov	Horni Slavkov
253	Dolní Lutyně	Dolni Lutyne
254	Hluboká nad Vltavou	Hluboka nad Vltavou
255	Planá	Plana
256	Telč	Telc
257	Starý Plzenec	Stary Plzenec
258	Třemošná	Tremosna
259	Trhové Sviny	Trhove Sviny
260	Pohořelice	Pohorelice
261	Polná	Polna
262	Velká Bíteš	Velka Bites
263	Horažďovice	Horazd'ovice
264	Bakov nad Jizerou	Bakov nad Jizerou
265	Česká Kamenice	Ceska Kamenice
266	Holýšov	Holysov
267	Kdyně	Kdyne
268	Česká Skalice	Ceska Skalice
269	Jílové	Jilove
270	Doksy	Doksy
271	Luhačovice	Luhacovice
272	Skuteč	Skutec
