	city	city_ascii
0	Abidjan	Abidjan
1	Yamoussoukro	Yamoussoukro
2	Bouaké	Bouake
3	Korhogo	Korhogo
4	Daloa	Daloa
5	San-Pédro	San-Pedro
6	Man	Man
7	Divo	Divo
8	Gagnoa	Gagnoa
9	Soubré	Soubre
10	Abengourou	Abengourou
11	Dabou	Dabou
12	Dimbokro	Dimbokro
13	Bondoukou	Bondoukou
14	Séguéla	Seguela
15	Odienné	Odienne
16	Bangolo	Bangolo
17	Agboville	Agboville
18	Grand-Bassam	Grand-Bassam
19	Bouaflé	Bouafle
20	Guiglo	Guiglo
21	Ferkessédougou	Ferkessedougou
22	Toumodi	Toumodi
23	Sassandra	Sassandra
24	Aboisso	Aboisso
25	Touba	Touba
