	city	city_ascii
0	Santo Domingo	Santo Domingo
1	Santiago	Santiago
2	Puerto Plata	Puerto Plata
3	San Cristóbal	San Cristobal
4	Villa Altagracia	Villa Altagracia
5	La Vega	La Vega
6	San Pedro de Macorís	San Pedro de Macoris
7	La Romana	La Romana
8	San Francisco de Macorís	San Francisco de Macoris
9	Moca	Moca
10	San Juan	San Juan
11	Higüey	Higuey
12	Bajos de Haina	Bajos de Haina
13	Bonao	Bonao
14	Baní	Bani
15	Boca Chica	Boca Chica
16	Barahona	Barahona
17	Azua	Azua
18	Samaná	Samana
19	Mao	Mao
20	Santo Domingo Este	Santo Domingo Este
21	Sabaneta	Sabaneta
22	El Seibo	El Seibo
23	Cotuí	Cotui
24	Nagua	Nagua
25	Hato Mayor	Hato Mayor
26	Sosúa	Sosua
27	Jarabacoa	Jarabacoa
28	Dajabón	Dajabon
29	Constanza	Constanza
30	San José de Ocoa	San Jose de Ocoa
31	Neiba	Neiba
32	Salcedo	Salcedo
33	Pantanal	Pantanal
34	Comendador	Comendador
35	San Gregorio de Nigua	San Gregorio de Nigua
36	Piedra Blanca	Piedra Blanca
37	Monte Cristi	Monte Cristi
38	Yayas de Viajama	Yayas de Viajama
39	Las Terrenas	Las Terrenas
40	Monte Plata	Monte Plata
41	Jimaní	Jimani
42	Pedernales	Pedernales
43	Guananico	Guananico
44	Bávaro	Bavaro
