	city	city_ascii
0	Guayaquil	Guayaquil
1	Quito	Quito
2	Cuenca	Cuenca
3	Santo Domingo de los Colorados	Santo Domingo de los Colorados
4	Machala	Machala
5	Eloy Alfaro	Eloy Alfaro
6	Manta	Manta
7	Portoviejo	Portoviejo
8	Loja	Loja
9	Ambato	Ambato
10	Esmeraldas	Esmeraldas
11	Quevedo	Quevedo
12	Riobamba	Riobamba
13	Milagro	Milagro
14	Ibarra	Ibarra
15	Babahoyo	Babahoyo
16	Latacunga	Latacunga
17	Tulcán	Tulcan
18	Nueva Loja	Nueva Loja
19	Puerto Francisco de Orellana	Puerto Francisco de Orellana
20	Santa Elena	Santa Elena
21	Azogues	Azogues
22	Puyo	Puyo
23	Guaranda	Guaranda
24	Tena	Tena
25	Macas	Macas
26	Puerto Ayora	Puerto Ayora
27	Zamora	Zamora
28	Puerto Baquerizo Moreno	Puerto Baquerizo Moreno
29	Sangolquí	Sangolqui
30	Pelileo	Pelileo
31	Daule	Daule
32	Pasaje	Pasaje
33	Chone	Chone
34	Santa Rosa	Santa Rosa
35	Huaquillas	Huaquillas
36	Montecristi	Montecristi
37	Samborondón	Samborondon
38	Jipijapa	Jipijapa
39	Otavalo	Otavalo
40	Cayambe	Cayambe
41	Ventanas	Ventanas
42	San Jacinto de Buena Fe	San Jacinto de Buena Fe
43	Salinas	Salinas
44	Velasco Ibarra	Velasco Ibarra
45	La Troncal	La Troncal
46	Vinces	Vinces
47	La Concordia	La Concordia
48	Rosa Zarate	Rosa Zarate
49	Balzar	Balzar
50	Naranjito	Naranjito
51	Naranjal	Naranjal
52	La Maná	La Mana
53	San Lorenzo de Esmeraldas	San Lorenzo de Esmeraldas
54	Catamayo	Catamayo
55	Atuntaqui	Atuntaqui
56	Pedernales	Pedernales
57	Bahía de Caráquez	Bahia de Caraquez
58	Puerto Quito	Puerto Quito
59	Pedro Carbo	Pedro Carbo
60	Yaguachi Nuevo	Yaguachi Nuevo
61	Piñas	Pinas
62	Valencia	Valencia
63	San Gabriel	San Gabriel
64	Atacames	Atacames
65	Alausí	Alausi
66	Lomas de Sargentillo	Lomas de Sargentillo
67	Muisne	Muisne
68	Baños	Banos
69	Macará	Macara
70	San Miguel de Salcedo	San Miguel de Salcedo
71	Valdez	Valdez
72	Santa Cruz	Santa Cruz
73	Tosagua	Tosagua
74	Píllaro	Pillaro
75	Pedro Vicente Maldonado	Pedro Vicente Maldonado
76	Archidona	Archidona
77	Puerto Villamil	Puerto Villamil
78	Yaupi	Yaupi
