	city	city_ascii
0	Cairo	Cairo
1	Giza	Giza
2	Alexandria	Alexandria
3	Madīnat as Sādis min Uktūbar	Madinat as Sadis min Uktubar
4	Shubrā al Khaymah	Shubra al Khaymah
5	Al Manşūrah	Al Mansurah
6	Ḩalwān	Halwan
7	Al Maḩallah al Kubrá	Al Mahallah al Kubra
8	Port Said	Port Said
9	Suez	Suez
10	Ţanţā	Tanta
11	Asyūţ	Asyut
12	Al Fayyūm	Al Fayyum
13	Az Zaqāzīq	Az Zaqaziq
14	Ismailia	Ismailia
15	Kafr ad Dawwār	Kafr ad Dawwar
16	Aswān	Aswan
17	Damanhūr	Damanhur
18	Al Minyā	Al Minya
19	Damietta	Damietta
20	Qinā	Qina
21	Banī Suwayf	Bani Suwayf
22	Luxor	Luxor
23	Sūhāj	Suhaj
24	Shibīn al Kawm	Shibin al Kawm
25	Al ‘Arīsh	Al `Arish
26	Banhā	Banha
27	Al Ghardaqah	Al Ghardaqah
28	Kafr ash Shaykh	Kafr ash Shaykh
29	Mallawī	Mallawi
30	Disūq	Disuq
31	Bilbays	Bilbays
32	Idfū	Idfu
33	Mīt Ghamr	Mit Ghamr
34	Munūf	Munuf
35	Jirjā	Jirja
36	Akhmīm	Akhmim
37	Ziftá	Zifta
38	Manfalūţ	Manfalut
39	Maghāghah	Maghaghah
40	Al Qūşīyah	Al Qusiyah
41	Abnūb	Abnub
42	Samannūd	Samannud
43	Abū Qīr	Abu Qir
44	Al Khārjah	Al Kharjah
45	Al Balyanā	Al Balyana
46	Naj‘ Ḩammādī	Naj` Hammadi
47	Al Karnak	Al Karnak
48	Qiman al ‘Arūs	Qiman al `Arus
49	Qahā	Qaha
50	Hirrīyat Raznah	Hirriyat Raznah
51	Mīt Namā	Mit Nama
52	Kafr Shukr	Kafr Shukr
53	Shārūnah	Sharunah
54	Banī Murr	Bani Murr
55	Sunbāţ	Sunbat
56	Banī Ḩasan ash Shurūq	Bani Hasan ash Shuruq
57	Biyahmū	Biyahmu
58	Al Madāmūd	Al Madamud
59	Birqāsh	Birqash
60	Mīt Damsīs	Mit Damsis
61	Aţ Ţūr	At Tur
62	Qufādah	Qufadah
63	Shanhūr	Shanhur
64	Dayr al Jarnūs	Dayr al Jarnus
65	Samālūţ	Samalut
66	Banī Mazār	Bani Mazar
67	Armant	Armant
68	Kawm Umbū	Kawm Umbu
69	Būr Fu’ād	Bur Fu'ad
70	Rosetta	Rosetta
71	Isnā	Isna
72	Hihyā	Hihya
73	Maţrūḩ	Matruh
74	Dandarah	Dandarah
75	Maţāy	Matay
76	Şān al Ḩajar al Qiblīyah	San al Hajar al Qibliyah
77	Dayr Mawās	Dayr Mawas
78	Ihnāsyā al Madīnah	Ihnasya al Madinah
79	Fāraskūr	Faraskur
80	Darāw	Daraw
81	Ra’s Ghārib	Ra's Gharib
82	Al Ḩusaynīyah	Al Husayniyah
83	Safājā	Safaja
84	Al Quşayr	Al Qusayr
85	Qifţ	Qift
86	Kafr Sa‘d	Kafr Sa`d
87	Sīwah	Siwah
88	Fāyīd	Fayid
89	Naqādah	Naqadah
90	Dayr Abū Ḩinnis	Dayr Abu Hinnis
91	Al Ḩībah	Al Hibah
92	Sakhā	Sakha
93	Qantīr	Qantir
94	Sidmant al Jabal	Sidmant al Jabal
95	Dayr al Barshā	Dayr al Barsha
96	Aḑ Ḑab‘ah	Ad Dab`ah
97	Dishāshah	Dishashah
98	Burj al ‘Arab	Burj al `Arab
99	Sawādah	Sawadah
100	Abjīj	Abjij
101	Dayr as Sanqūrīyah	Dayr as Sanquriyah
102	Ţihnā al Jabal	Tihna al Jabal
103	As Sallūm	As Sallum
104	Al ‘Alamayn	Al `Alamayn
105	Mandīshah	Mandishah
106	Qaşr al Farāfirah	Qasr al Farafirah
107	Al Qaşr	Al Qasr
108	Barnīs	Barnis
