	city	city_ascii
0	San Salvador	San Salvador
1	Usulután	Usulutan
2	Santa Ana	Santa Ana
3	Soyapango	Soyapango
4	San Miguel	San Miguel
5	Mejicanos	Mejicanos
6	Santa Tecla	Santa Tecla
7	Apopa	Apopa
8	Delgado	Delgado
9	Sonsonate	Sonsonate
10	Ahuachapán	Ahuachapan
11	Ilopango	Ilopango
12	Tonacatepeque	Tonacatepeque
13	Zacatecoluca	Zacatecoluca
14	Cuscatancingo	Cuscatancingo
15	San Marcos	San Marcos
16	San Vicente	San Vicente
17	Cojutepeque	Cojutepeque
18	Ayutuxtepeque	Ayutuxtepeque
19	Sonzacate	Sonzacate
20	La Unión	La Union
21	Chalatenango	Chalatenango
22	Sensuntepeque	Sensuntepeque
23	San Francisco	San Francisco
24	Colón	Colon
25	Acajutla	Acajutla
26	Chalchuapa	Chalchuapa
27	San Juan Opico	San Juan Opico
28	San Martín	San Martin
29	Metapán	Metapan
30	Quezaltepeque	Quezaltepeque
31	Nahuizalco	Nahuizalco
32	Jiquilisco	Jiquilisco
33	San Pedro Perulapán	San Pedro Perulapan
34	Panchimalco	Panchimalco
35	Ciudad Barrios	Ciudad Barrios
36	Santiago Nonualco	Santiago Nonualco
37	Nejapa	Nejapa
38	La Libertad	La Libertad
39	Armenia	Armenia
40	Antiguo Cuscatlán	Antiguo Cuscatlan
41	Atiquizaya	Atiquizaya
42	Tacuba	Tacuba
43	Santo Tomás	Santo Tomas
44	Juayúa	Juayua
45	San Pablo Tacachico	San Pablo Tacachico
46	Guaymango	Guaymango
47	Santiago Texacuangos	Santiago Texacuangos
48	Puerto El Triunfo	Puerto El Triunfo
49	Santiago de María	Santiago de Maria
50	Concepción de Ataco	Concepcion de Ataco
51	Texistepeque	Texistepeque
52	San Alejo	San Alejo
53	Anamorós	Anamoros
54	Jayaque	Jayaque
55	El Paisnal	El Paisnal
56	Huizúcar	Huizucar
57	Tepecoyo	Tepecoyo
58	Sacacoyo	Sacacoyo
59	Cuisnahuat	Cuisnahuat
60	Teotepeque	Teotepeque
61	Comasagua	Comasagua
62	Chiltiupán	Chiltiupan
63	Jocoro	Jocoro
64	Nueva Guadalupe	Nueva Guadalupe
65	Caluco	Caluco
66	Estanzuelas	Estanzuelas
67	Talnique	Talnique
68	San Juan Talpa	San Juan Talpa
69	El Porvenir	El Porvenir
70	Agua Caliente	Agua Caliente
71	El Divisadero	El Divisadero
72	Nuevo Cuscatlán	Nuevo Cuscatlan
73	Santo Domingo de Guzmán	Santo Domingo de Guzman
74	El Triunfo	El Triunfo
75	San Gerardo	San Gerardo
76	Jicalapa	Jicalapa
