	city	city_ascii
0	Addis Ababa	Addis Ababa
1	Nazrēt	Nazret
2	Gonder	Gonder
3	Mekele	Mekele
4	Āwasa	Awasa
5	Dire Dawa	Dire Dawa
6	Bahir Dar	Bahir Dar
7	Desē	Dese
8	Jīma	Jima
9	Harar	Harar
10	Jijiga	Jijiga
11	Shashemenē	Shashemene
12	Giyon	Giyon
13	Āsela	Asela
14	Ādīgrat	Adigrat
15	Nek’emtē	Nek'emte
16	Debre Mark’os	Debre Mark'os
17	Ārba Minch’	Arba Minch'
18	Āksum	Aksum
19	Debre Birhan	Debre Birhan
20	Hāgere Hiywet	Hagere Hiywet
21	Goba	Goba
22	Āsosa	Asosa
23	Negēlē	Negele
24	Gambēla	Gambela
25	Semera	Semera
26	Debre Zeyit	Debre Zeyit
27	Hosaina	Hosaina
28	Godē	Gode
29	Sodo	Sodo
30	Dīla	Dila
31	Yirga ‘Alem	Yirga `Alem
32	Gīmbī	Gimbi
33	Āreka	Areka
34	Degeh Bur	Degeh Bur
35	Dembī Dolo	Dembi Dolo
36	Ādēt	Adet
37	Welench’ītī	Welench'iti
38	Batī	Bati
39	Bichena	Bichena
40	Gīdolē	Gidole
41	Lalībela	Lalibela
42	Dolo Bay	Dolo Bay
43	Gorē	Gore
44	Gewanē	Gewane
