	city	city_ascii
0	Tórshavn	Torshavn
1	Klaksvík	Klaksvik
2	Hvalba	Hvalba
3	Skopun	Skopun
4	Hvannasund	Hvannasund
5	Toftir	Toftir
6	Porkeri	Porkeri
7	Saltangará	Saltangara
8	Strendur	Strendur
9	Tvøroyri	Tvoroyri
10	Fuglafjørður	Fuglafjordhur
11	Fámjin	Famjin
12	Vágur	Vagur
13	Norðragøta	Nordhragota
14	Sørvágur	Sorvagur
15	Eiði	Eidhi
16	Oyrarbakki	Oyrarbakki
17	Vestmanna	Vestmanna
18	Sumba	Sumba
19	Kvívík	Kvivik
20	Sandavágur	Sandavagur
21	Hov	Hov
22	Viðareiði	Vidhareidhi
23	Sandur	Sandur
24	Húsavík	Husavik
25	Skálavík	Skalavik
26	Kunoy	Kunoy
27	Kirkja	Kirkja
28	Skúvoy	Skuvoy
