	city	city_ascii
0	Helsinki	Helsinki
1	Espoo	Espoo
2	Tampere	Tampere
3	Vantaa	Vantaa
4	Oulu	Oulu
5	Turku	Turku
6	Jyväskylä	Jyvaskyla
7	Kuopio	Kuopio
8	Lahti	Lahti
9	Kouvola	Kouvola
10	Pori	Pori
11	Joensuu	Joensuu
12	Lappeenranta	Lappeenranta
13	Hämeenlinna	Hameenlinna
14	Vaasa	Vaasa
15	Rovaniemi	Rovaniemi
16	Seinäjoki	Seinajoki
17	Mikkeli	Mikkeli
18	Kokkola	Kokkola
19	Kajaani	Kajaani
20	Mariehamn	Mariehamn
21	Kotka	Kotka
22	Salo	Salo
23	Porvoo	Porvoo
24	Lohja	Lohja
25	Hyvinkää	Hyvinkaa
26	Nurmijärvi	Nurmijarvi
27	Järvenpää	Jarvenpaa
28	Rauma	Rauma
29	Tuusula	Tuusula
30	Kirkkonummi	Kirkkonummi
31	Kerava	Kerava
32	Jyväskylän Maalaiskunta	Jyvaskylan Maalaiskunta
33	Savonlinna	Savonlinna
34	Nokia	Nokia
35	Kaarina	Kaarina
36	Ylöjärvi	Ylojarvi
37	Kangasala	Kangasala
38	Riihimäki	Riihimaki
39	Vihti	Vihti
40	Raseborg	Raseborg
41	Imatra	Imatra
42	Sastamala	Sastamala
43	Raahe	Raahe
44	Raisio	Raisio
45	Hollola	Hollola
46	Lempäälä	Lempaala
47	Kemi	Kemi
48	Iisalmi	Iisalmi
49	Tornio	Tornio
50	Siilinjärvi	Siilinjarvi
51	Kurikka	Kurikka
52	Jämsä	Jamsa
53	Varkaus	Varkaus
54	Kuusankoski	Kuusankoski
55	Valkeakoski	Valkeakoski
56	Mäntsälä	Mantsala
57	Äänekoski	Aanekoski
58	Hamina	Hamina
59	Jakobstad	Jakobstad
60	Heinola	Heinola
61	Sipoo	Sipoo
62	Lieto	Lieto
63	Korsholm	Korsholm
64	Pirkkala	Pirkkala
65	Haukipudas	Haukipudas
66	Naantali	Naantali
67	Laukaa	Laukaa
68	Klaukkala	Klaukkala
69	Pieksämäki	Pieksamaki
70	Forssa	Forssa
71	Kempele	Kempele
72	Toijala	Toijala
73	Janakkala	Janakkala
74	Kauhava	Kauhava
75	Vammala	Vammala
76	Loimaa	Loimaa
77	Orimattila	Orimattila
78	Kuusamo	Kuusamo
79	Uusikaupunki	Uusikaupunki
80	Pargas	Pargas
81	Loviisa	Loviisa
82	Ylivieska	Ylivieska
83	Nastola	Nastola
84	Kontiolahti	Kontiolahti
85	Ekenäs	Ekenas
86	Lapua	Lapua
87	Kauhajoki	Kauhajoki
88	Kiiminki	Kiiminki
89	Ulvila	Ulvila
