	city	city_ascii
0	Paris	Paris
1	Nice	Nice
2	Toulouse	Toulouse
3	Marseille	Marseille
4	Rennes	Rennes
5	Grenoble	Grenoble
6	Nantes	Nantes
7	Montpellier	Montpellier
8	Lyon	Lyon
9	Rouen	Rouen
10	Strasbourg	Strasbourg
11	Nancy	Nancy
12	Metz	Metz
13	Brest	Brest
14	Mulhouse	Mulhouse
15	Orléans	Orleans
16	Limoges	Limoges
17	Bordeaux	Bordeaux
18	Lille	Lille
19	Le Havre	Le Havre
20	Reims	Reims
21	Toulon	Toulon
22	Saint-Étienne	Saint-Etienne
23	Dijon	Dijon
24	Villeurbanne	Villeurbanne
25	Angers	Angers
26	Nîmes	Nimes
27	Clermont-Ferrand	Clermont-Ferrand
28	Le Mans	Le Mans
29	Aix-en-Provence	Aix-en-Provence
30	Boulogne-Billancourt	Boulogne-Billancourt
31	Tours	Tours
32	Amiens	Amiens
33	Boulogne-sur-Mer	Boulogne-sur-Mer
34	Annecy	Annecy
35	Montreuil	Montreuil
36	Perpignan	Perpignan
37	Saint-Denis	Saint-Denis
38	Besançon	Besancon
39	Belfort	Belfort
40	Argenteuil	Argenteuil
41	Caen	Caen
42	Roubaix	Roubaix
43	Courbevoic	Courbevoic
44	Tourcoing	Tourcoing
45	Nanterre	Nanterre
46	Vitry-sur-Seine	Vitry-sur-Seine
47	Créteil	Creteil
48	Aubervilliers	Aubervilliers
49	Colombes	Colombes
50	Levallois-Perret	Levallois-Perret
51	Aulnay-sous-Bois	Aulnay-sous-Bois
52	Poitiers	Poitiers
53	Versailles	Versailles
54	Carrières-sur-Seine	Carrieres-sur-Seine
55	Issy-les-Moulineaux	Issy-les-Moulineaux
56	Champigny-sur-Marne	Champigny-sur-Marne
57	Clichy	Clichy
58	Rueil-Malmaison	Rueil-Malmaison
59	Saint-Maur-des-Fossés	Saint-Maur-des-Fosses
60	Drancy	Drancy
61	Pau	Pau
62	La Rochelle	La Rochelle
63	Cannes	Cannes
64	Calais	Calais
65	Montrouge	Montrouge
66	Antibes	Antibes
67	Vincennes	Vincennes
68	Neuilly-sur-Seine	Neuilly-sur-Seine
69	Noisy-le-Grand	Noisy-le-Grand
70	Ivry-sur-Seine	Ivry-sur-Seine
71	Ajaccio	Ajaccio
72	Courcouronnes	Courcouronnes
73	Cergy	Cergy
74	Vénissieux	Venissieux
75	Pantin	Pantin
76	Antony	Antony
77	Épinay-sur-Seine	Epinay-sur-Seine
78	La Seyne-sur-Mer	La Seyne-sur-Mer
79	Troyes	Troyes
80	Maisons-Alfort	Maisons-Alfort
81	Sarcelles	Sarcelles
82	Villejuif	Villejuif
83	Le Blanc-Mesnil	Le Blanc-Mesnil
84	Cherbourg	Cherbourg
85	Bondy	Bondy
86	Saint-Ouen	Saint-Ouen
87	Fontenay-sous-Bois	Fontenay-sous-Bois
88	Suresnes	Suresnes
89	Chambéry	Chambery
90	Bobigny	Bobigny
91	Lorient	Lorient
92	Évry	Evry
93	Puteaux	Puteaux
94	Clamart	Clamart
95	Meaux	Meaux
96	Chelles	Chelles
97	Sartrouville	Sartrouville
98	Sevran	Sevran
99	Alfortville	Alfortville
100	Saint-Quentin	Saint-Quentin
101	Massy	Massy
102	Corbeil-Essonnes	Corbeil-Essonnes
103	Rosny-sous-Bois	Rosny-sous-Bois
104	Choisy-le-Roi	Choisy-le-Roi
105	Cagnes-sur-Mer	Cagnes-sur-Mer
106	Bayonne	Bayonne
107	Noisy-le-Sec	Noisy-le-Sec
108	Vaulx-en-Velin	Vaulx-en-Velin
109	Gennevilliers	Gennevilliers
110	Bagneux	Bagneux
111	Garges-lès-Gonesse	Garges-les-Gonesse
112	Livry-Gargan	Livry-Gargan
113	Meudon	Meudon
114	La Garenne-Colombes	La Garenne-Colombes
115	Bagnolet	Bagnolet
116	Mantes-la-Jolie	Mantes-la-Jolie
117	La Courneuve	La Courneuve
118	Châtillon	Chatillon
119	Bastia	Bastia
120	Chalon-sur-Saône	Chalon-sur-Saone
121	Talence	Talence
122	Caluire-et-Cuire	Caluire-et-Cuire
123	Charenton-le-Pont	Charenton-le-Pont
124	Malakoff	Malakoff
125	Le Cannet	Le Cannet
126	Valenciennes	Valenciennes
127	Saint-Brieuc	Saint-Brieuc
128	Stains	Stains
129	Vanves	Vanves
130	Bron	Bron
131	Gagny	Gagny
132	Melun	Melun
133	Bois-Colombes	Bois-Colombes
134	Nogent-sur-Marne	Nogent-sur-Marne
135	Arras	Arras
136	Rezé	Reze
137	Tarbes	Tarbes
138	Wattrelos	Wattrelos
139	Le Kremlin-Bicêtre	Le Kremlin-Bicetre
140	Annemasse	Annemasse
141	Franconville	Franconville
142	Saint-Martin-d’Hères	Saint-Martin-d'Heres
