	city	city_ascii
0	Tbilisi	Tbilisi
1	Batumi	Batumi
2	Kutaisi	Kutaisi
3	Rustavi	Rustavi
4	Sokhumi	Sokhumi
5	Gori	Gori
6	Zugdidi	Zugdidi
7	Telavi	Telavi
8	Akhaltsikhe	Akhaltsikhe
9	Ozurgeti	Ozurgeti
10	Mtskheta	Mtskheta
11	Ambrolauri	Ambrolauri
12	Rustavi	Rustavi
13	Poti	Poti
14	Tskhinvali	Tskhinvali
15	Khashuri	Khashuri
16	Samtredia	Samtredia
17	Senaki	Senaki
18	Marneuli	Marneuli
19	Gardabani	Gardabani
20	Kaspi	Kaspi
21	Chiatura	Chiatura
22	Tsqaltubo	Tsqaltubo
23	Sagarejo	Sagarejo
24	Borjomi	Borjomi
25	T’q’ibuli	T'q'ibuli
26	Bolnisi	Bolnisi
27	Khoni	Khoni
28	Akhalkalaki	Akhalkalaki
29	Gurjaani	Gurjaani
30	Q’vareli	Q'vareli
31	Gali	Gali
32	Akhmeta	Akhmeta
33	Lanchkhuti	Lanchkhuti
34	Sachkhere	Sachkhere
35	Dusheti	Dusheti
36	Lagodekhi	Lagodekhi
37	Dedoplists’q’aro	Dedoplists'q'aro
38	Ochamchire	Ochamchire
39	Ninotsminda	Ninotsminda
40	Algeti	Algeti
