	city	city_ascii
0	Berlin	Berlin
1	Hamburg	Hamburg
2	Munich	Munich
3	Cologne	Cologne
4	Frankfurt	Frankfurt
5	Bremen	Bremen
6	Düsseldorf	Dusseldorf
7	Stuttgart	Stuttgart
8	Leipzig	Leipzig
9	Dortmund	Dortmund
10	Essen	Essen
11	Dresden	Dresden
12	Hannover	Hannover
13	Nuremberg	Nuremberg
14	Duisburg	Duisburg
15	Bochum	Bochum
16	Wuppertal	Wuppertal
17	Bielefeld	Bielefeld
18	Bonn	Bonn
19	Münster	Munster
20	Karlsruhe	Karlsruhe
21	Mannheim	Mannheim
22	Augsburg	Augsburg
23	Kassel	Kassel
24	Wiesbaden	Wiesbaden
25	Gelsenkirchen	Gelsenkirchen
26	Mönchengladbach	Monchengladbach
27	Braunschweig	Braunschweig
28	Aachen	Aachen
29	Kiel	Kiel
30	Chemnitz	Chemnitz
31	Halle	Halle
32	Magdeburg	Magdeburg
33	Freiburg im Breisgau	Freiburg im Breisgau
34	Krefeld	Krefeld
35	Mainz	Mainz
36	Lübeck	Lubeck
37	Oberhausen	Oberhausen
38	Rostock	Rostock
39	Erfurt	Erfurt
40	Hagen	Hagen
41	Potsdam	Potsdam
42	Saarbrücken	Saarbrucken
43	Hamm	Hamm
44	Ludwigshafen	Ludwigshafen
45	Mülheim	Mulheim
46	Oldenburg	Oldenburg
47	Osnabrück	Osnabruck
48	Leverkusen	Leverkusen
49	Heidelberg	Heidelberg
50	Solingen	Solingen
51	Darmstadt	Darmstadt
52	Herne	Herne
53	Neuss	Neuss
54	Regensburg	Regensburg
55	Paderborn	Paderborn
56	Ingolstadt	Ingolstadt
57	Fürth	Furth
58	Würzburg	Wurzburg
59	Ulm	Ulm
60	Heilbronn	Heilbronn
61	Pforzheim	Pforzheim
62	Wolfsburg	Wolfsburg
63	Göttingen	Gottingen
64	Bottrop	Bottrop
65	Reutlingen	Reutlingen
66	Koblenz	Koblenz
67	Bremerhaven	Bremerhaven
68	Recklinghausen	Recklinghausen
69	Erlangen	Erlangen
70	Bergisch Gladbach	Bergisch Gladbach
71	Remscheid	Remscheid
72	Jena	Jena
73	Trier	Trier
74	Moers	Moers
75	Salzgitter	Salzgitter
76	Siegen	Siegen
77	Hildesheim	Hildesheim
78	Gütersloh	Gutersloh
79	Cottbus	Cottbus
80	Kaiserslautern	Kaiserslautern
81	Schwerin	Schwerin
82	Ludwigsburg	Ludwigsburg
83	Esslingen	Esslingen
84	Gladbeck	Gladbeck
85	Hilden	Hilden
86	Elmshorn	Elmshorn
87	Pinneberg	Pinneberg
88	Kornwestheim	Kornwestheim
89	Weingarten	Weingarten
90	Ottobrunn	Ottobrunn
91	Gröbenzell	Grobenzell
92	Wolfratshausen	Wolfratshausen
93	Eppelheim	Eppelheim
94	Eilendorf	Eilendorf
95	Neubiberg	Neubiberg
96	Asperg	Asperg
97	Kronshagen	Kronshagen
98	Steinbach am Taunus	Steinbach am Taunus
99	Weißenthurm	Weissenthurm
100	Neulußheim	Neulussheim
101	Eichwalde	Eichwalde
102	Witten	Witten
103	Hanau	Hanau
104	Gera	Gera
105	Iserlohn	Iserlohn
106	Düren	Duren
107	Flensburg	Flensburg
108	Tübingen	Tubingen
109	Zwickau	Zwickau
110	Gießen	Giessen
111	Ratingen	Ratingen
112	Lünen	Lunen
113	Konstanz	Konstanz
114	Villingen-Schwenningen	Villingen-Schwenningen
115	Marl	Marl
116	Worms	Worms
117	Velbert	Velbert
118	Minden	Minden
119	Dessau-Roßlau	Dessau-Rosslau
120	Neumünster	Neumunster
121	Norderstedt	Norderstedt
122	Bamberg	Bamberg
123	Delmenhorst	Delmenhorst
124	Viersen	Viersen
125	Marburg	Marburg
126	Wilhelmshaven	Wilhelmshaven
127	Rheine	Rheine
128	Troisdorf	Troisdorf
129	Bayreuth	Bayreuth
130	Lüneburg	Luneburg
131	Dorsten	Dorsten
132	Castrop-Rauxel	Castrop-Rauxel
133	Detmold	Detmold
134	Arnsberg	Arnsberg
135	Lüdenscheid	Ludenscheid
136	Landshut	Landshut
137	Brandenburg	Brandenburg
138	Bocholt	Bocholt
139	Aschaffenburg	Aschaffenburg
140	Celle	Celle
141	Kempten	Kempten
142	Fulda	Fulda
143	Dinslaken	Dinslaken
144	Aalen	Aalen
145	Lippstadt	Lippstadt
146	Herford	Herford
147	Kerpen	Kerpen
148	Rüsselsheim	Russelsheim
149	Sindelfingen	Sindelfingen
150	Weimar	Weimar
151	Plauen	Plauen
152	Neuwied	Neuwied
153	Dormagen	Dormagen
154	Rosenheim	Rosenheim
155	Neubrandenburg	Neubrandenburg
156	Grevenbroich	Grevenbroich
157	Herten	Herten
158	Bergheim	Bergheim
159	Friedrichshafen	Friedrichshafen
160	Schwäbisch Gmünd	Schwabisch Gmund
161	Garbsen	Garbsen
162	Hürth	Hurth
163	Stralsund	Stralsund
164	Wesel	Wesel
165	Greifswald	Greifswald
166	Offenburg	Offenburg
167	Langenfeld	Langenfeld
168	Neu-Ulm	Neu-Ulm
169	Unna	Unna
170	Göppingen	Goppingen
171	Euskirchen	Euskirchen
172	Frankfurt (Oder)	Frankfurt (Oder)
173	Hameln	Hameln
174	Sankt Augustin	Sankt Augustin
175	Stolberg	Stolberg
176	Görlitz	Gorlitz
177	Eschweiler	Eschweiler
178	Langenhagen	Langenhagen
179	Meerbusch	Meerbusch
180	Waiblingen	Waiblingen
181	Schweinfurt	Schweinfurt
182	Baden-Baden	Baden-Baden
183	Hattingen	Hattingen
184	Bad Homburg	Bad Homburg
185	Pulheim	Pulheim
186	Lingen	Lingen
187	Bad Salzuflen	Bad Salzuflen
188	Nordhorn	Nordhorn
189	Wetzlar	Wetzlar
190	Frechen	Frechen
191	Neustadt	Neustadt
192	Passau	Passau
193	Ahlen	Ahlen
194	Wolfenbüttel	Wolfenbuttel
195	Ibbenbüren	Ibbenburen
196	Kleve	Kleve
197	Bad Kreuznach	Bad Kreuznach
198	Speyer	Speyer
199	Böblingen	Boblingen
200	Willich	Willich
201	Gummersbach	Gummersbach
202	Ravensburg	Ravensburg
203	Goslar	Goslar
204	Rastatt	Rastatt
205	Lörrach	Lorrach
206	Peine	Peine
207	Emden	Emden
208	Erftstadt	Erftstadt
209	Heidenheim	Heidenheim
210	Bergkamen	Bergkamen
211	Leonberg	Leonberg
212	Bad Oeynhausen	Bad Oeynhausen
213	Freising	Freising
214	Rheda-Wiedenbrück	Rheda-Wiedenbruck
215	Bornheim	Bornheim
216	Dachau	Dachau
217	Gronau	Gronau
218	Cuxhaven	Cuxhaven
219	Alsdorf	Alsdorf
220	Straubing	Straubing
