	city	city_ascii
0	Athens	Athens
1	Thessaloníki	Thessaloniki
2	Piraeus	Piraeus
3	Pátra	Patra
4	Peristéri	Peristeri
5	Lárisa	Larisa
6	Irákleio	Irakleio
7	Kallithéa	Kallithea
8	Níkaia	Nikaia
9	Glyfáda	Glyfada
10	Vólos	Volos
11	Chaniá	Chania
12	Néa Ionía	Nea Ionia
13	Chalándri	Chalandri
14	Palaió Fáliro	Palaio Faliro
15	Galátsi	Galatsi
16	Výronas	Vyronas
17	Agía Paraskeví	Agia Paraskevi
18	Ioánnina	Ioannina
19	Ródos	Rodos
20	Lamía	Lamia
21	Komotiní	Komotini
22	Kozáni	Kozani
23	Vrilíssia	Vrilissia
24	Néa Filadélfeia	Nea Filadelfeia
25	Péfki	Pefki
26	Mytilíni	Mytilini
27	Trípoli	Tripoli
28	Kaisarianí	Kaisariani
29	Kérkyra	Kerkyra
30	Lykóvrysi	Lykovrysi
31	Zefýri	Zefyri
32	Psychikó	Psychiko
33	Ermoúpoli	Ermoupoli
34	Kalamáta	Kalamata
35	Tríkala	Trikala
36	Chalkída	Chalkida
37	Kavála	Kavala
38	Sérres	Serres
39	Alexandroúpoli	Alexandroupoli
40	Xánthi	Xanthi
41	Kateríni	Katerini
42	Chaïdári	Chaidari
43	Agrínio	Agrinio
44	Dráma	Drama
45	Véroia	Veroia
46	Kardítsa	Karditsa
47	Réthymno	Rethymno
48	Kórinthos	Korinthos
49	Giannitsá	Giannitsa
50	Chíos	Chios
51	Elefsína	Elefsina
52	Salamína	Salamina
53	Pýrgos	Pyrgos
54	Mégara	Megara
55	Kilkís	Kilkis
56	Thebes	Thebes
57	Lefkáda	Lefkada
58	Áno Sýros	Ano Syros
59	Livadeiá	Livadeia
60	Kos	Kos
61	Préveza	Preveza
62	Orestiáda	Orestiada
63	Spárti	Sparti
64	Thérmi	Thermi
65	Alexándreia	Alexandreia
66	Paianía	Paiania
67	Náfplio	Nafplio
68	Néa Alikarnassós	Nea Alikarnassos
69	Náfpaktos	Nafpaktos
70	Kastoriá	Kastoria
71	Kálymnos	Kalymnos
72	Anatolí	Anatoli
73	Kiáto	Kiato
74	Týrnavos	Tyrnavos
75	Diavatá	Diavata
76	Néa Moudaniá	Nea Moudania
77	Pórto Ráfti	Porto Rafti
78	Néa Artáki	Nea Artaki
79	Argostóli	Argostoli
80	Síndos	Sindos
81	Fársala	Farsala
82	Spáta	Spata
83	Néa Péramos	Nea Peramos
84	Siteía	Siteia
85	Didymóteicho	Didymoteicho
86	Epanomí	Epanomi
87	Chrysoúpoli	Chrysoupoli
88	Mourniés	Mournies
89	Kalampáka	Kalampaka
90	Giánnouli	Giannouli
91	Lagkadás	Lagkadas
92	Almyrós	Almyros
93	Koufália	Koufalia
94	Néa Kallikráteia	Nea Kallikrateia
95	Elassóna	Elassona
96	Chalástra	Chalastra
97	Lávrio	Lavrio
98	Karpenísi	Karpenisi
99	Marathónas	Marathonas
100	Polýkastro	Polykastro
101	Káto Achaḯa	Kato Achaia
102	Aígina	Aigina
103	Litóchoro	Litochoro
104	Néo Karlovási	Neo Karlovasi
105	Aridaía	Aridaia
106	Néoi Epivátes	Neoi Epivates
107	Soúda	Souda
108	Kounoupidianá	Kounoupidiana
109	Anávyssos	Anavyssos
110	Agriá	Agria
111	Messíni	Messini
112	Mýrina	Myrina
113	Polýgyros	Polygyros
114	Megalópoli	Megalopoli
115	Filiatrá	Filiatra
116	Nerokoúros	Nerokouros
117	Diónysos	Dionysos
118	Psachná	Psachna
119	Xylókastro	Xylokastro
120	Fílyro	Filyro
121	Kremastí	Kremasti
122	Siátista	Siatista
123	Féres	Feres
124	Tympáki	Tympaki
125	Vrontádos	Vrontados
126	Archángelos	Archangelos
127	Skýdra	Skydra
128	Kyparissía	Kyparissia
129	Néa Anchiálos	Nea Anchialos
130	Orchomenós	Orchomenos
131	Gargaliánoi	Gargalianoi
