	city	city_ascii
0	Nuuk	Nuuk
1	Sisimiut	Sisimiut
2	Ilulissat	Ilulissat
3	Aasiaat	Aasiaat
4	Qaqortoq	Qaqortoq
5	Tasiilaq	Tasiilaq
6	Qasigiannguit	Qasigiannguit
7	Qaanaaq	Qaanaaq
8	Uummannaq	Uummannaq
9	Paamiut	Paamiut
10	Upernavik	Upernavik
11	Kullorsuaq	Kullorsuaq
12	Godhavn	Godhavn
13	Scoresbysund	Scoresbysund
14	Tasiusaq	Tasiusaq
15	Kulusuk	Kulusuk
16	Kangersuatsiaq	Kangersuatsiaq
17	Kraulshavn	Kraulshavn
18	Narsarsuaq	Narsarsuaq
19	Savissivik	Savissivik
20	Nord	Nord
21	Timmiarmiut	Timmiarmiut
