	city	city_ascii
0	Guatemala City	Guatemala City
1	Villa Nueva	Villa Nueva
2	Cobán	Coban
3	Coatepeque	Coatepeque
4	San Pedro Carchá	San Pedro Carcha
5	Quetzaltenango	Quetzaltenango
6	San Juan Sacatepéquez	San Juan Sacatepequez
7	Jutiapa	Jutiapa
8	Flores	Flores
9	Momostenango	Momostenango
10	San Luis	San Luis
11	Nueva Concepción	Nueva Concepcion
12	Petapa	Petapa
13	Santa Lucía Cotzumalguapa	Santa Lucia Cotzumalguapa
14	Amatitlán	Amatitlan
15	Jalapa	Jalapa
16	Puerto Barrios	Puerto Barrios
17	Totonicapán	Totonicapan
18	Escuintla	Escuintla
19	Chichicastenango	Chichicastenango
20	Malacatán	Malacatan
21	Mazatenango	Mazatenango
22	Morales	Morales
23	Chiquimula	Chiquimula
24	Zacapa	Zacapa
25	San Marcos	San Marcos
26	Sololá	Solola
27	Antigua Guatemala	Antigua Guatemala
28	Huehuetenango	Huehuetenango
29	Salamá	Salama
30	Chimaltenango	Chimaltenango
31	Retalhuleu	Retalhuleu
32	Santa Cruz del Quiché	Santa Cruz del Quiche
33	Santiago Sacatepéquez	Santiago Sacatepequez
34	Cuilapa	Cuilapa
35	Guastatoya	Guastatoya
36	Tacaná	Tacana
37	Chinautla	Chinautla
38	Villa Canales	Villa Canales
39	Lívingston	Livingston
40	San Juan Chamelco	San Juan Chamelco
41	Chisec	Chisec
42	San Pedro Sacatepéquez	San Pedro Sacatepequez
43	San Francisco El Alto	San Francisco El Alto
44	Esquipulas	Esquipulas
45	Santa Catarina Pinula	Santa Catarina Pinula
46	Palín	Palin
47	Senahú	Senahu
48	Nahualá	Nahuala
49	Panzos	Panzos
50	Iztapa	Iztapa
51	Tecpán Guatemala	Tecpan Guatemala
52	Comitancillo	Comitancillo
53	Sayaxché	Sayaxche
54	Concepción Tutuapa	Concepcion Tutuapa
55	Santa María Chiquimula	Santa Maria Chiquimula
56	La Gomera	La Gomera
57	Santa Cruz Verapaz	Santa Cruz Verapaz
58	Los Amates	Los Amates
59	Tiquisate	Tiquisate
60	San Cristóbal Verapaz	San Cristobal Verapaz
61	Tajumulco	Tajumulco
62	Nebaj	Nebaj
63	Cuyotenango	Cuyotenango
64	Gualán	Gualan
65	Palencia	Palencia
66	Santa Catarina Ixtahuacán	Santa Catarina Ixtahuacan
67	San Francisco	San Francisco
68	San José Pinula	San Jose Pinula
69	Cubulco	Cubulco
70	Fray Bartolomé de Las Casas	Fray Bartolome de Las Casas
71	Santiago Atitlán	Santiago Atitlan
72	San Pedro Ayampuc	San Pedro Ayampuc
73	Rabinal	Rabinal
74	San Cristóbal Totonicapán	San Cristobal Totonicapan
75	Poptún	Poptun
76	Uspantán	Uspantan
77	El Tumbador	El Tumbador
78	Asunción Mita	Asuncion Mita
79	San Agustín Acasaguastlán	San Agustin Acasaguastlan
80	Dolores	Dolores
81	La Unión	La Union
82	San Miguel Ixtahuacán	San Miguel Ixtahuacan
83	Champerico	Champerico
84	Raxruhá	Raxruha
85	Todos Santos Cuchumatán	Todos Santos Cuchumatan
86	Cantel	Cantel
87	Ciudad Tecún Umán	Ciudad Tecun Uman
88	Fraijanes	Fraijanes
89	Sanarate	Sanarate
90	Mataquescuintla	Mataquescuintla
91	Olintepeque	Olintepeque
92	San Andrés Itzapa	San Andres Itzapa
93	Santo Domingo Suchitepéquez	Santo Domingo Suchitepequez
94	Chajul	Chajul
95	San Pedro Sacatepéquez	San Pedro Sacatepequez
96	San Andrés Xecul	San Andres Xecul
97	Santa María La Pila	Santa Maria La Pila
98	Ciudad Vieja	Ciudad Vieja
99	Tactic	Tactic
100	Nentón	Nenton
101	Tucurú	Tucuru
102	Sibinal	Sibinal
103	Ixchiguán	Ixchiguan
104	Colotenango	Colotenango
105	San Lucas Sacatepéquez	San Lucas Sacatepequez
106	San Juan Ixcoy	San Juan Ixcoy
107	San Lucas Tolimán	San Lucas Toliman
108	Santa Lucia La Reforma	Santa Lucia La Reforma
109	La Blanca	La Blanca
110	San Martín Sacatepéquez	San Martin Sacatepequez
111	Cabricán	Cabrican
112	Puerto San José	Puerto San Jose
113	Comapa	Comapa
114	Olopa	Olopa
