	city	city_ascii
0	Conakry	Conakry
1	Guéckédou	Gueckedou
2	Siguiri	Siguiri
3	N’Zérékoré	N'Zerekore
4	Kindia	Kindia
5	Boké	Boke
6	Kankan	Kankan
7	Labé	Labe
8	Mamou	Mamou
9	Faranah	Faranah
10	Forécariah	Forecariah
11	Kamsar	Kamsar
12	Kissidougou	Kissidougou
13	Macenta	Macenta
14	Dabola	Dabola
15	Télimélé	Telimele
16	Tougué	Tougue
17	Fria	Fria
18	Pita	Pita
19	Kérouané	Kerouane
20	Koundara	Koundara
21	Kouroussa	Kouroussa
22	Beyla	Beyla
23	Gaoual	Gaoual
24	Dalaba	Dalaba
25	Dinguiraye	Dinguiraye
26	Mali	Mali
27	Yomou	Yomou
28	Boffa	Boffa
