	city	city_ascii
0	Comayagüela	Comayaguela
1	Tegucigalpa	Tegucigalpa
2	San Pedro Sula	San Pedro Sula
3	Choloma	Choloma
4	La Ceiba	La Ceiba
5	Puerto Cortés	Puerto Cortes
6	Villanueva	Villanueva
7	Comayagua	Comayagua
8	El Progreso	El Progreso
9	Ciudad Choluteca	Ciudad Choluteca
10	Yoro	Yoro
11	Santa Rosa de Copán	Santa Rosa de Copan
12	Gracias	Gracias
13	La Paz	La Paz
14	Juticalpa	Juticalpa
15	Trujillo	Trujillo
16	Santa Bárbara	Santa Barbara
17	La Esperanza	La Esperanza
18	Nacaome	Nacaome
19	Yuscarán	Yuscaran
20	Roatán	Roatan
21	Nueva Ocotepeque	Nueva Ocotepeque
22	Puerto Lempira	Puerto Lempira
23	Tela	Tela
24	La Lima	La Lima
25	Tocoa	Tocoa
26	Catacamas	Catacamas
27	San Lorenzo	San Lorenzo
28	Siguatepeque	Siguatepeque
29	Olanchito	Olanchito
30	Cofradía	Cofradia
31	Yorito	Yorito
32	San Marcos	San Marcos
33	La Entrada	La Entrada
34	Talanga	Talanga
35	San Francisco	San Francisco
36	La Alianza	La Alianza
37	Brus Laguna	Brus Laguna
