	city	city_ascii
0	Budapest	Budapest
1	Debrecen	Debrecen
2	Szeged	Szeged
3	Miskolc	Miskolc
4	Pécs	Pecs
5	Győr	Gyor
6	Nyíregyháza	Nyiregyhaza
7	Kecskemét	Kecskemet
8	Székesfehérvár	Szekesfehervar
9	Szombathely	Szombathely
10	Szolnok	Szolnok
11	Tatabánya	Tatabanya
12	Sopron	Sopron
13	Kaposvár	Kaposvar
14	Veszprém	Veszprem
15	Békéscsaba	Bekescsaba
16	Zalaegerszeg	Zalaegerszeg
17	Eger	Eger
18	Nagykanizsa	Nagykanizsa
19	Dunaújváros	Dunaujvaros
20	Hódmezővásárhely	Hodmezovasarhely
21	Salgótarján	Salgotarjan
22	Szekszárd	Szekszard
23	Érd	Erd
24	Dunakeszi	Dunakeszi
25	Szigetszentmiklós	Szigetszentmiklos
26	Vác	Vac
27	Cegléd	Cegled
28	Baja	Baja
29	Mosonmagyaróvár	Mosonmagyarovar
30	Ózd	Ozd
31	Gödöllő	Godollo
32	Hajdúböszörmény	Hajduboszormeny
33	Pápa	Papa
34	Budaörs	Budaors
35	Gyöngyös	Gyongyos
36	Gyula	Gyula
37	Kiskunfélegyháza	Kiskunfelegyhaza
38	Esztergom	Esztergom
39	Ajka	Ajka
40	Orosháza	Oroshaza
41	Jászberény	Jaszbereny
42	Szentes	Szentes
43	Kiskunhalas	Kiskunhalas
44	Kazincbarcika	Kazincbarcika
45	Szentendre	Szentendre
46	Siófok	Siofok
47	Gyál	Gyal
48	Hajdúszoboszló	Hajduszoboszlo
49	Nagykőrös	Nagykoros
50	Tata	Tata
51	Komló	Komlo
52	Dunaharaszti	Dunaharaszti
53	Makó	Mako
54	Vecsés	Vecses
55	Hatvan	Hatvan
56	Fót	Fot
57	Törökszentmiklós	Torokszentmiklos
58	Karcag	Karcag
59	Várpalota	Varpalota
60	Keszthely	Keszthely
61	Szigethalom	Szigethalom
62	Veresegyház	Veresegyhaz
63	Komárom	Komarom
64	Göd	God
65	Gyömrő	Gyomro
66	Paks	Paks
67	Százhalombatta	Szazhalombatta
68	Békés	Bekes
69	Monor	Monor
70	Oroszlány	Oroszlany
71	Dombóvár	Dombovar
72	Pomáz	Pomaz
73	Mohács	Mohacs
74	Balmazújváros	Balmazujvaros
75	Dabas	Dabas
76	Mátészalka	Mateszalka
77	Hajdúnánás	Hajdunanas
78	Kisvárda	Kisvarda
79	Pécel	Pecel
80	Mezőkövesd	Mezokovesd
81	Mezőtúr	Mezotur
82	Csongrád	Csongrad
83	Kalocsa	Kalocsa
84	Tiszaújváros	Tiszaujvaros
85	Szarvas	Szarvas
86	Balassagyarmat	Balassagyarmat
87	Tapolca	Tapolca
88	Sárvár	Sarvar
89	Berettyóújfalu	Berettyoujfalu
90	Pilisvörösvár	Pilisvorosvar
91	Budakeszi	Budakeszi
92	Abony	Abony
93	Püspökladány	Puspokladany
94	Biatorbágy	Biatorbagy
95	Sátoraljaújhely	Satoraljaujhely
96	Törökbálint	Torokbalint
97	Mór	Mor
98	Kiskőrös	Kiskoros
99	Kerepestarcsa	Kerepestarcsa
100	Balatonfüred	Balatonfured
101	Bonyhád	Bonyhad
102	Hajdúsámson	Hajdusamson
103	Dorog	Dorog
104	Maglód	Maglod
105	Újfehértó	Ujfeherto
106	Gyomaendrőd	Gyomaendrod
107	Hajdúhadház	Hajduhadhaz
108	Albertirsa	Albertirsa
109	Tiszavasvári	Tiszavasvari
110	Nagykáta	Nagykata
111	Diósd	Diosd
112	Üllő	Ullo
113	Bicske	Bicske
114	Tiszakécske	Tiszakecske
115	Kőszeg	Koszeg
116	Sajószentpéter	Sajoszentpeter
117	Nyírbátor	Nyirbator
118	Sárbogárd	Sarbogard
119	Bátonyterenye	Batonyterenye
120	Pilis	Pilis
121	Sárospatak	Sarospatak
122	Halásztelek	Halasztelek
123	Isaszeg	Isaszeg
124	Budakalász	Budakalasz
125	Körmend	Kormend
126	Lajosmizse	Lajosmizse
127	Gárdony	Gardony
128	Marcali	Marcali
129	Tolna	Tolna
130	Kiskunmajsa	Kiskunmajsa
131	Solymár	Solymar
132	Kisújszállás	Kisujszallas
133	Celldömölk	Celldomolk
134	Tiszaföldvár	Tiszafoldvar
135	Tiszafüred	Tiszafured
136	Ráckeve	Rackeve
137	Szigetvár	Szigetvar
138	Barcs	Barcs
139	Kapuvár	Kapuvar
140	Tököl	Tokol
141	Heves	Heves
142	Nagyatád	Nagyatad
143	Csorna	Csorna
144	Csömör	Csomor
145	Tárnok	Tarnok
146	Mezőberény	Mezobereny
147	Sarkad	Sarkad
148	Edelény	Edeleny
149	Ócsa	Ocsa
150	Erdőkertes	Erdokertes
151	Nagykálló	Nagykallo
152	Pásztó	Paszto
153	Siklós	Siklos
154	Szentgotthárd	Szentgotthard
155	Kiskunlacháza	Kiskunlachaza
156	Szerencs	Szerencs
157	Piliscsaba	Piliscsaba
158	Balatonalmádi	Balatonalmadi
159	Hajdúdorog	Hajdudorog
160	Vásárosnamény	Vasarosnameny
161	Szeghalom	Szeghalom
162	Nádudvar	Nadudvar
163	Dunaföldvár	Dunafoldvar
164	Üröm	Urom
165	Dunavarsány	Dunavarsany
166	Túrkeve	Turkeve
167	Derecske	Derecske
168	Kecel	Kecel
169	Jászapáti	Jaszapati
170	Jánoshalma	Janoshalma
171	Kunszentmiklós	Kunszentmiklos
172	Ercsi	Ercsi
173	Nagykovácsi	Nagykovacsi
174	Fehérgyarmat	Fehergyarmat
175	Kunszentmárton	Kunszentmarton
176	Tamási	Tamasi
177	Polgár	Polgar
178	Tura	Tura
179	Sándorfalva	Sandorfalva
180	Jászárokszállás	Jaszarokszallas
181	Nyíradony	Nyiradony
182	Páty	Paty
183	Őrbottyán	Orbottyan
184	Füzesabony	Fuzesabony
185	Kunhegyes	Kunhegyes
186	Lenti	Lenti
187	Nyergesújfalu	Nyergesujfalu
188	Soltvadkert	Soltvadkert
