	city	city_ascii
0	Delhi	Delhi
1	Mumbai	Mumbai
2	Kolkāta	Kolkata
3	Bangalore	Bangalore
4	Chennai	Chennai
5	Hyderābād	Hyderabad
6	Pune	Pune
7	Ahmedabad	Ahmedabad
8	Sūrat	Surat
9	Lucknow	Lucknow
10	Jaipur	Jaipur
11	Cawnpore	Cawnpore
12	Mirzāpur	Mirzapur
13	Nāgpur	Nagpur
14	Ghāziābād	Ghaziabad
15	Indore	Indore
16	Vadodara	Vadodara
17	Vishākhapatnam	Vishakhapatnam
18	Bhopāl	Bhopal
19	Chinchvad	Chinchvad
20	Patna	Patna
21	Ludhiāna	Ludhiana
22	Āgra	Agra
23	Kalyān	Kalyan
24	Madurai	Madurai
25	Jamshedpur	Jamshedpur
26	Nāsik	Nasik
27	Farīdābād	Faridabad
28	Aurangābād	Aurangabad
29	Rājkot	Rajkot
30	Meerut	Meerut
31	Jabalpur	Jabalpur
32	Thāne	Thane
33	Dhanbād	Dhanbad
34	Allahābād	Allahabad
35	Vārānasi	Varanasi
36	Srīnagar	Srinagar
37	Amritsar	Amritsar
38	Alīgarh	Aligarh
39	Bhiwandi	Bhiwandi
40	Gwalior	Gwalior
41	Bhilai	Bhilai
42	Hāora	Haora
43	Rānchi	Ranchi
44	Bezwāda	Bezwada
45	Chandīgarh	Chandigarh
46	Mysore	Mysore
47	Raipur	Raipur
48	Kota	Kota
49	New Delhi	New Delhi
50	Bareilly	Bareilly
51	Jodhpur	Jodhpur
52	Dispur	Dispur
53	Coimbatore	Coimbatore
54	Guwāhāti	Guwahati
55	Solāpur	Solapur
56	Trichinopoly	Trichinopoly
57	Hubli	Hubli
58	Jalandhar	Jalandhar
59	Bhubaneshwar	Bhubaneshwar
60	Bhayandar	Bhayandar
61	Morādābād	Moradabad
62	Kolhāpur	Kolhapur
63	Thiruvananthapuram	Thiruvananthapuram
64	Sahāranpur	Saharanpur
65	Warangal	Warangal
66	Salem	Salem
67	Mālegaon	Malegaon
68	Kochi	Kochi
69	Gorakhpur	Gorakhpur
70	Shimoga	Shimoga
71	Guntūr	Guntur
72	Tiruppūr	Tiruppur
73	Raurkela	Raurkela
74	Mangalore	Mangalore
75	Nānded	Nanded
76	Cuttack	Cuttack
77	Chānda	Chanda
78	Dehra Dūn	Dehra Dun
79	Durgāpur	Durgapur
80	Āsansol	Asansol
81	Bhāvnagar	Bhavnagar
82	Nellore	Nellore
83	Amrāvati	Amravati
84	Ajmer	Ajmer
85	Tinnevelly	Tinnevelly
86	Bīkaner	Bikaner
87	Agartala	Agartala
88	Ujjain	Ujjain
89	Ulhāsnagar	Ulhasnagar
90	Jhānsi	Jhansi
91	Davangere	Davangere
92	Jammu	Jammu
93	Belgaum	Belgaum
94	Gulbarga	Gulbarga
95	Jāmnagar	Jamnagar
96	Dhūlia	Dhulia
97	Gaya	Gaya
98	Jalgaon	Jalgaon
99	Kurnool	Kurnool
100	Udaipur	Udaipur
101	Bellary	Bellary
102	Sāngli	Sangli
103	Tuticorin	Tuticorin
104	Calicut	Calicut
105	Akola	Akola
106	Bhāgalpur	Bhagalpur
107	Quilon	Quilon
108	Sīkar	Sikar
109	Tumkūr	Tumkur
110	Bhātpāra	Bhatpara
111	Muzaffarnagar	Muzaffarnagar
112	Kākināda	Kakinada
113	Bhīlwāra	Bhilwara
114	Nizāmābād	Nizamabad
115	Pānihāti	Panihati
116	Parbhani	Parbhani
117	Rohtak	Rohtak
118	Lātūr	Latur
119	Rājapālaiyam	Rajapalaiyam
120	Ahmadnagar	Ahmadnagar
121	Rājahmundry	Rajahmundry
122	Cuddapah	Cuddapah
123	Muzaffarpur	Muzaffarpur
124	Alwar	Alwar
125	Brahmapur	Brahmapur
126	Kāmārhāti	Kamarhati
127	Bilāspur	Bilaspur
128	Mathura	Mathura
129	Patiāla	Patiala
130	Saugor	Saugor
131	Bijāpur	Bijapur
132	Kulti	Kulti
133	Shāhjānpur	Shahjanpur
