	city	city_ascii
0	Jakarta	Jakarta
1	Surabaya	Surabaya
2	Bandung	Bandung
3	Bekasi	Bekasi
4	Tangerang	Tangerang
5	Medan	Medan
6	Makassar	Makassar
7	Depok	Depok
8	Semarang	Semarang
9	Palembang	Palembang
10	Cilacap	Cilacap
11	Bandar Lampung	Bandar Lampung
12	Bogor	Bogor
13	Patam	Patam
14	Padang	Padang
15	Pekanbaru	Pekanbaru
16	Denpasar	Denpasar
17	Malang	Malang
18	Samarinda	Samarinda
19	Banjarmasin	Banjarmasin
20	Tasikmalaya	Tasikmalaya
21	Pontianak	Pontianak
22	Serang	Serang
23	Jambi	Jambi
24	Cimahi	Cimahi
25	Balikpapan	Balikpapan
26	Surakarta	Surakarta
27	Manado	Manado
28	Kupang	Kupang
29	Yogyakarta	Yogyakarta
30	Mataram	Mataram
31	Jayapura	Jayapura
32	Cilegon	Cilegon
33	Ambon	Ambon
34	Bengkulu	Bengkulu
35	Palu	Palu
36	Kendari	Kendari
37	Sukabumi	Sukabumi
38	Cirebon	Cirebon
39	Pekalongan	Pekalongan
40	Jember	Jember
41	Tegal	Tegal
42	Pematangsiantar	Pematangsiantar
43	Sorong	Sorong
44	Majene	Majene
45	Binjai	Binjai
46	Dumai	Dumai
47	Kediri	Kediri
48	Palangkaraya	Palangkaraya
49	Banda Aceh	Banda Aceh
50	Singaraja	Singaraja
51	Singkawang	Singkawang
52	Probolinggo	Probolinggo
53	Padangsidempuan	Padangsidempuan
54	Bitung	Bitung
55	Banjarbaru	Banjarbaru
56	Lubuklinggau	Lubuklinggau
57	Ternate	Ternate
58	Tanjungpinang	Tanjungpinang
59	Tarakan	Tarakan
60	Martapura	Martapura
61	Gorontalo	Gorontalo
62	Madiun	Madiun
63	Pasuruan	Pasuruan
64	Batu	Batu
65	Prabumulih	Prabumulih
66	Banjar	Banjar
67	Pinrang	Pinrang
68	Lhokseumawe	Lhokseumawe
69	Palopo	Palopo
70	Salatiga	Salatiga
71	Langsa	Langsa
72	Tebingtinggi	Tebingtinggi
73	Banyuwangi	Banyuwangi
74	Tanjungbalai	Tanjungbalai
75	Metro	Metro
76	Bontang	Bontang
77	Baubau	Baubau
78	Mojokerto	Mojokerto
79	Gunungsitoli	Gunungsitoli
80	Bima	Bima
81	Pageralam	Pageralam
82	Blitar	Blitar
83	Parepare	Parepare
84	Payakumbuh	Payakumbuh
85	Pangkalpinang	Pangkalpinang
86	Magelang	Magelang
87	Indramayu	Indramayu
88	Pati	Pati
89	Kotamobagu	Kotamobagu
90	Bukittinggi	Bukittinggi
91	Raba	Raba
92	Maumere	Maumere
93	Biak	Biak
94	Sungai Penuh	Sungai Penuh
95	Sibolga	Sibolga
96	Manokwari	Manokwari
97	Padangpanjang	Padangpanjang
98	Sofifi	Sofifi
99	Mamuju	Mamuju
100	Tanjung Selor	Tanjung Selor
101	Tomohon	Tomohon
102	Sampit	Sampit
103	Pariaman	Pariaman
104	Sumenep	Sumenep
105	Tual	Tual
106	Watampone	Watampone
107	Subulussalam	Subulussalam
108	Ende	Ende
109	Tuban	Tuban
110	Solok	Solok
111	Lahat	Lahat
112	Tanjungpandan	Tanjungpandan
113	Sawahlunto	Sawahlunto
114	Soasio	Soasio
115	Ruteng	Ruteng
116	Waingapu	Waingapu
117	Luwuk	Luwuk
118	Amahai	Amahai
119	Poso	Poso
120	Pemangkat	Pemangkat
121	Nabire	Nabire
122	Rantepao	Rantepao
123	Kotabumi	Kotabumi
124	Sabang	Sabang
125	Praya	Praya
126	Kuala Kapuas	Kuala Kapuas
127	Merauke	Merauke
128	Kulat	Kulat
129	Tinipuka	Tinipuka
130	Makale	Makale
131	Tarutung	Tarutung
132	Buton	Buton
