	city	city_ascii
0	Tehran	Tehran
1	Mashhad	Mashhad
2	Eşfahān	Esfahan
3	Karaj	Karaj
4	Tabrīz	Tabriz
5	Shīrāz	Shiraz
6	Qom	Qom
7	Ahvāz	Ahvaz
8	Kermānshāh	Kermanshah
9	Orūmīyeh	Orumiyeh
10	Rasht	Rasht
11	Kermān	Kerman
12	Zāhedān	Zahedan
13	Eslāmshahr	Eslamshahr
14	Hamadān	Hamadan
15	Yazd	Yazd
16	Arāk	Arak
17	Ardabīl	Ardabil
18	Bandar ‘Abbās	Bandar `Abbas
19	Zanjān	Zanjan
20	Kāshān	Kashan
21	Qazvīn	Qazvin
22	Sanandaj	Sanandaj
23	Madan	Madan
24	Khorramābād	Khorramabad
25	Shahr-e Qods	Shahr-e Qods
26	Gorgān	Gorgan
27	Shahrīār	Shahriar
28	Malārd	Malard
29	Sartā	Sarta
30	Dezfūl	Dezful
31	Bābol	Babol
32	Būkān	Bukan
33	Sabzevār	Sabzevar
34	Āmol	Amol
35	Pākdasht	Pakdasht
36	Najafābād	Najafabad
37	Borūjerd	Borujerd
38	Qarchak	Qarchak
39	Varāmīn	Varamin
40	Neyshābūr	Neyshabur
41	Sāveh	Saveh
42	Khomeynī Shahr	Khomeyni Shahr
43	Nasīm Shahr	Nasim Shahr
44	Qā’em Shahr	Qa'em Shahr
45	Bojnūrd	Bojnurd
46	Bandar-e Būshehr	Bandar-e Bushehr
47	Semnān	Semnan
48	Fardīs	Fardis
49	Khowy	Khowy
50	Bīrjand	Birjand
51	Marāgheh	Maragheh
52	Sīrjān	Sirjan
53	Shāhīn Shahr	Shahin Shahr
54	Malāyer	Malayer
55	Mahābād	Mahabad
56	Saqqez	Saqqez
57	Bandar-e Māhshahr	Bandar-e Mahshahr
58	Rafsanjān	Rafsanjan
59	Shahr-e Kord	Shahr-e Kord
60	Golmeh	Golmeh
61	Gonbad-e Kāvūs	Gonbad-e Kavus
62	Shāhrūd	Shahrud
63	Marvdasht	Marvdasht
64	Qūchān	Quchan
65	Kamālshahr	Kamalshahr
66	Jahrom	Jahrom
67	Torbat-e Ḩeydarīyeh	Torbat-e Heydariyeh
68	Pīrānshahr	Piranshahr
69	Marīvān	Marivan
70	Andīmeshk	Andimeshk
71	Shahreẕā	Shahreza
72	Zābol	Zabol
73	Khorramshahr	Khorramshahr
74	Marand	Marand
75	Jīroft	Jiroft
76	Salmās	Salmas
77	Bam	Bam
78	Behbahān	Behbahan
79	Dorūd	Dorud
80	Moḩammad Shahr	Mohammad Shahr
81	Naz̧arābād	Nazarabad
82	Bandar-e Anzalī	Bandar-e Anzali
83	Fasā	Fasa
84	Borāzjān	Borazjan
85	Bāneh	Baneh
86	Yāsūj	Yasuj
87	Chābahār	Chabahar
