	city	city_ascii
0	Baghdad	Baghdad
1	Mosul	Mosul
2	Al Başrah	Al Basrah
3	Kirkuk	Kirkuk
4	Erbil	Erbil
5	An Najaf	An Najaf
6	Karbalā’	Karbala'
7	As Sulaymānīyah	As Sulaymaniyah
8	An Nāşirīyah	An Nasiriyah
9	Al Ḩillah	Al Hillah
10	Ba‘qūbah	Ba`qubah
11	Ar Ramādī	Ar Ramadi
12	Ad Dīwānīyah	Ad Diwaniyah
13	Az Zubayr	Az Zubayr
14	Al ‘Amārah	Al `Amarah
15	Dahūk	Dahuk
16	Al Fallūjah	Al Fallujah
17	Al Kūt	Al Kut
18	As Samāwah	As Samawah
19	Al Kūfah	Al Kufah
20	Ash Shaţrah	Ash Shatrah
21	Sāmarrā’	Samarra'
22	Zākhū	Zakhu
23	Umm Qaşr	Umm Qasr
24	Tikrīt	Tikrit
25	Al Fāw	Al Faw
26	Nāḩiyat al Karmah	Nahiyat al Karmah
27	Sinjār	Sinjar
28	Al Ḩayy	Al Hayy
29	Tall ‘Afar	Tall `Afar
30	Balad	Balad
31	Al Musayyib	Al Musayyib
32	Az Zubaydīyah	Az Zubaydiyah
33	Hīt	Hit
34	Ḩalabjah	Halabjah
35	Qalādizay	Qaladizay
36	Mandalī	Mandali
37	Shaqlāwah	Shaqlawah
38	Ar Ruţbah	Ar Rutbah
39	Kūysinjaq	Kuysinjaq
40	Rāwah	Rawah
41	Ḩammām al ‘Alīl	Hammam al `Alil
42	Al ‘Amādīyah	Al `Amadiyah
