	city	city_ascii
0	Dublin	Dublin
1	Cork	Cork
2	Galway	Galway
3	Limerick	Limerick
4	Waterford	Waterford
5	Drogheda	Drogheda
6	Dún Dealgan	Dun Dealgan
7	Swords	Swords
8	Blackrock	Blackrock
9	Tralee	Tralee
10	Dunleary	Dunleary
11	Ennis	Ennis
12	Carlow	Carlow
13	Naas	Naas
14	Kilkenny	Kilkenny
15	Sligo	Sligo
16	Monaghan	Monaghan
17	Ros Comáin	Ros Comain
18	Mullingar	Mullingar
19	Tallaght	Tallaght
20	Wicklow	Wicklow
21	Clonmel	Clonmel
22	Wexford	Wexford
23	Longford	Longford
24	Trim	Trim
25	Carrick on Shannon	Carrick on Shannon
26	Tullamore	Tullamore
27	Nenagh	Nenagh
28	An Cabhán	An Cabhan
29	Port Laoise	Port Laoise
30	Castlebar	Castlebar
31	Lifford	Lifford
32	Leixlip	Leixlip
33	Cobh	Cobh
34	Killarney	Killarney
35	Shannon	Shannon
36	Dungarvan	Dungarvan
37	Kildare	Kildare
38	Carrigtohill	Carrigtohill
39	Dunboyne	Dunboyne
40	Donegal	Donegal
