	city	city_ascii
0	Jerusalem	Jerusalem
1	Tel Aviv-Yafo	Tel Aviv-Yafo
2	Haifa	Haifa
3	Rishon LeẔiyyon	Rishon LeZiyyon
4	Petaẖ Tiqwa	Petah Tiqwa
5	Ashdod	Ashdod
6	Netanya	Netanya
7	Beersheba	Beersheba
8	Bené Beraq	Bene Beraq
9	Holon	Holon
10	Ramat Gan	Ramat Gan
11	Bat Yam	Bat Yam
12	Ashqelon	Ashqelon
13	Reẖovot	Rehovot
14	Bet Shemesh	Bet Shemesh
15	Kefar Sava	Kefar Sava
16	Herẕliyya	Herzliyya
17	Nazareth	Nazareth
18	Ra‘ananna	Ra`ananna
19	Ramla	Ramla
20	Givatayim	Givatayim
21	Hod HaSharon	Hod HaSharon
22	Qiryat Ata	Qiryat Ata
23	Rosh Ha‘Ayin	Rosh Ha`Ayin
24	Umm el Faḥm	Umm el Fahm
25	Nes Ẕiyyona	Nes Ziyyona
26	El‘ad	El`ad
27	Ramat HaSharon	Ramat HaSharon
28	Karmiel	Karmiel
29	Qiryat Ono	Qiryat Ono
30	Qiryat Bialik	Qiryat Bialik
31	Or Yehuda	Or Yehuda
32	Yehud	Yehud
33	Giv‘at Shemu’él	Giv`at Shemu'el
34	Kafr Qāsim	Kafr Qasim
35	Gan Yavne	Gan Yavne
36	Qalansuwa	Qalansuwa
37	Hadera	Hadera
38	Modi‘in Makkabbim Re‘ut	Modi`in Makkabbim Re`ut
39	Lod	Lod
40	Rahat	Rahat
41	Nahariyya	Nahariyya
42	Qiryat Gat	Qiryat Gat
43	Eilat	Eilat
44	‘Akko	`Akko
45	Afula	Afula
46	Tiberias	Tiberias
47	Eṭ Ṭaiyiba	Et Taiyiba
48	Qiryat Yam	Qiryat Yam
49	Qiryat Moẕqin	Qiryat Mozqin
50	Ma‘alot Tarshīḥā	Ma`alot Tarshiha
51	Ẕefat	Zefat
52	Tamra	Tamra
53	Dimona	Dimona
54	Sakhnīn	Sakhnin
55	Netivot	Netivot
56	Ofaqim	Ofaqim
57	Migdal Ha‘Emeq	Migdal Ha`Emeq
58	Nesher	Nesher
59	Arad	Arad
60	Kefar Yona	Kefar Yona
61	Tirat Karmel	Tirat Karmel
62	Sederot	Sederot
63	Qiryat Mal’akhi	Qiryat Mal'akhi
64	Qiryat Shemona	Qiryat Shemona
65	Yoqne‘am ‘Illit	Yoqne`am `Illit
66	Or ‘Aqiva	Or `Aqiva
67	Bet She’an	Bet She'an
68	Pardés H̱anna Karkur	Pardes Hanna Karkur
69	Jisr ez Zarqā	Jisr ez Zarqa
70	Majdal Shams	Majdal Shams
71	Eṭ Ṭīra	Et Tira
72	Omer	Omer
73	Buq‘ātā	Buq`ata
74	Shefar‘am	Shefar`am
