	city	city_ascii
0	Tokyo	Tokyo
1	Ōsaka	Osaka
2	Nagoya	Nagoya
3	Yokohama	Yokohama
4	Fukuoka	Fukuoka
5	Sapporo	Sapporo
6	Kyōto	Kyoto
7	Kōbe	Kobe
8	Kawanakajima	Kawanakajima
9	Saitama	Saitama
10	Hiroshima	Hiroshima
11	Sendai	Sendai
12	Kitaku	Kitaku
13	Chiba	Chiba
14	Niigata	Niigata
15	Hamamatsu	Hamamatsu
16	Kumamoto	Kumamoto
17	Sagamihara	Sagamihara
18	Okayama	Okayama
19	Edogawa	Edogawa
20	Adachi	Adachi
21	Shizuoka	Shizuoka
22	Kagoshima	Kagoshima
23	Hachiōji	Hachioji
24	Utsunomiya	Utsunomiya
25	Matsuyama	Matsuyama
26	Matsudo	Matsudo
27	Higashi-ōsaka	Higashi-osaka
28	Nishinomiya-hama	Nishinomiya-hama
29	Ōita	Oita
30	Kanazawa	Kanazawa
31	Fukuyama	Fukuyama
32	Machida	Machida
33	Toyota	Toyota
34	Takamatsu	Takamatsu
35	Toyama	Toyama
36	Nagasaki	Nagasaki
37	Gifu	Gifu
38	Miyazaki	Miyazaki
39	Okazaki	Okazaki
40	Ichinomiya	Ichinomiya
41	Toyohashi	Toyohashi
42	Nagano	Nagano
43	Wakayama	Wakayama
44	Nara	Nara
45	Koshigaya	Koshigaya
46	Tokorozawa	Tokorozawa
47	Ōtsu	Otsu
48	Kawagoe	Kawagoe
49	Tamuramachi-moriyama	Tamuramachi-moriyama
50	Iwaki	Iwaki
51	Maebashi	Maebashi
52	Asahikawa	Asahikawa
53	Kōchi	Kochi
54	Naha	Naha
55	Toshima	Toshima
56	Yokkaichi	Yokkaichi
57	Kasugai	Kasugai
58	Ōakashichō	Oakashicho
59	Akita	Akita
60	Morioka	Morioka
61	Fukushima	Fukushima
62	Tsu	Tsu
63	Aomori	Aomori
64	Minato	Minato
65	Fuchū	Fuchu
66	Mito	Mito
67	Ichihara	Ichihara
68	Hiratsuka	Hiratsuka
69	Fukui	Fukui
70	Sōka	Soka
71	Tokushima	Tokushima
72	Shinozaki	Shinozaki
73	Hakodate	Hakodate
74	Chōfugaoka	Chofugaoka
75	Chigasaki	Chigasaki
76	Yato	Yato
77	Yamagata	Yamagata
78	Tsukuba-kenkyūgakuen-toshi	Tsukuba-kenkyugakuen-toshi
79	Fuji	Fuji
80	Arakawa	Arakawa
81	Hachimanchō	Hachimancho
82	Sato	Sato
83	Neya	Neya
84	Saga	Saga
85	Ageoshimo	Ageoshimo
86	Taitō	Taito
87	Minamiōzuma	Minamiozuma
88	Kure	Kure
89	Kamirenjaku	Kamirenjaku
90	Yachiyo	Yachiyo
91	Matsue	Matsue
92	Ashino	Ashino
93	Higashi-Hiroshima	Higashi-Hiroshima
94	Hino	Hino
95	Suzuka	Suzuka
96	Naka	Naka
97	Kumagaya	Kumagaya
98	Anjōmachi	Anjomachi
99	Tachikawa	Tachikawa
100	Kōfu	Kofu
101	Tottori	Tottori
102	Jōetsu	Joetsu
103	Izuo	Izuo
104	Narashino	Narashino
105	Ōbiraki	Obiraki
106	Takaoka	Takaoka
107	Beppuchō	Beppucho
108	Hitachi	Hitachi
109	Izumo	Izumo
110	Niiza	Niiza
111	Nishio	Nishio
112	Iwata	Iwata
113	Takaoka	Takaoka
114	Ube	Ube
115	Higashimurayama	Higashimurayama
116	Ōgaki	Ogaki
117	Matsuzaka	Matsuzaka
118	Kariya	Kariya
119	Hitachi-Naka	Hitachi-Naka
120	Tama	Tama
121	Tochigi	Tochigi
122	Ueda	Ueda
123	Kukichūō	Kukichuo
124	Sayama	Sayama
125	Komaki	Komaki
126	Shimotoda	Shimotoda
127	Iruma	Iruma
128	Yonago	Yonago
129	Misato	Misato
130	Kusatsu	Kusatsu
131	Kakamigahara	Kakamigahara
132	Fukayachō	Fukayacho
133	Kokubunji	Kokubunji
134	Kuwana	Kuwana
135	Koga	Koga
136	Ishizaki	Ishizaki
137	Zama	Zama
138	Kisarazu	Kisarazu
139	Yaizu	Yaizu
140	Inazawa	Inazawa
141	Ōme	Ome
142	Abiko	Abiko
143	Narita	Narita
144	Onomichi	Onomichi
145	Seto	Seto
146	Kadoma	Kadoma
147	Ōmiyachō	Omiyacho
148	Iizuka	Iizuka
149	Honchō	Honcho
150	Daitōchō	Daitocho
151	Ise	Ise
152	Kashiwara	Kashiwara
153	Tsuruoka	Tsuruoka
154	Ebetsu	Ebetsu
155	Fujimino	Fujimino
156	Kasuga	Kasuga
157	Akishima	Akishima
158	Kōnosu	Konosu
159	Ikoma	Ikoma
160	Nobeoka	Nobeoka
161	Beppu	Beppu
162	Shibuya	Shibuya
163	Nasushiobara	Nasushiobara
164	Kōenchō	Koencho
165	Niihama	Niihama
166	Sano	Sano
167	Hatsukaichi	Hatsukaichi
168	Kamagaya	Kamagaya
169	Hōfu	Hofu
170	Hikone	Hikone
171	Otaru	Otaru
172	Higashiōmi	Higashiomi
173	Ōshū	Oshu
174	Habikino	Habikino
175	Tondabayashichō	Tondabayashicho
176	Shirayamamachi	Shirayamamachi
177	Sandachō	Sandacho
178	Mineshita	Mineshita
179	Ikeda	Ikeda
180	Tajimi	Tajimi
181	Toride	Toride
182	Inzai	Inzai
183	Ginowan	Ginowan
184	Saijō	Saijo
185	Isehara	Isehara
186	Sakado	Sakado
187	Kōnan	Konan
188	Yashio	Yashio
189	Yotsukaidō	Yotsukaido
190	Nisshin	Nisshin
191	Ōbu	Obu
192	Kitanagoya	Kitanagoya
193	Higashiyamato	Higashiyamato
194	Owariasahi	Owariasahi
195	Nagaoka	Nagaoka
196	Kunitachi	Kunitachi
197	Chiryū	Chiryu
198	Musashimurayama	Musashimurayama
199	Hekinan	Hekinan
200	Yoshikawa	Yoshikawa
201	Tsurugashima	Tsurugashima
202	Yawata-shimizui	Yawata-shimizui
203	Toyoake	Toyoake
204	Hatogaya-honchō	Hatogaya-honcho
205	Kitamoto	Kitamoto
206	Tomigusuku	Tomigusuku
207	Tago	Tago
208	Hasuda	Hasuda
209	Mukōchō	Mukocho
210	Tsushima	Tsushima
211	Fussa	Fussa
212	Koja	Koja
213	Zushi	Zushi
214	Hamura	Hamura
215	Shiraoka	Shiraoka
216	Iwakura	Iwakura
217	Takahama	Takahama
218	Suzukawa	Suzukawa
219	Inuma	Inuma
220	Katsuren-haebaru	Katsuren-haebaru
221	Nakama	Nakama
222	Miyoshidai	Miyoshidai
223	Kanie	Kanie
224	Minamishiro	Minamishiro
225	Kaita	Kaita
226	Ninomiya	Ninomiya
227	Chatan	Chatan
228	Kasamatsuchō	Kasamatsucho
229	Kanmaki	Kanmaki
230	Yonabaru	Yonabaru
231	Kitagata	Kitagata
232	Tadaoka-higashi	Tadaoka-higashi
233	Yamaguchi	Yamaguchi
234	Kani	Kani
235	Chikusei	Chikusei
236	Sakata	Sakata
237	Saku	Saku
238	Iida	Iida
239	Kamisu	Kamisu
240	Kanuma	Kanuma
241	Azumino	Azumino
242	Higashi-Matsuyama	Higashi-Matsuyama
243	Hanamaki Onsen	Hanamaki Onsen
244	Kitakami	Kitakami
245	Imizuchō	Imizucho
246	Mihara	Mihara
247	Fukuroi	Fukuroi
248	Mobara	Mobara
249	Gotenba	Gotenba
250	Kitakōriyamachō	Kitakoriyamacho
251	Ushiku	Ushiku
252	Sekimachi	Sekimachi
253	Chita	Chita
254	Moriyama	Moriyama
255	Yokotemachi	Yokotemachi
256	Nakatsu	Nakatsu
257	Ōmihachiman	Omihachiman
258	Muroran	Muroran
259	Kaneyama	Kaneyama
260	Kimitsu	Kimitsu
261	Akiruno	Akiruno
262	Natori-shi	Natori-shi
263	Gyōda	Gyoda
264	Hannō	Hanno
265	Iwamizawa	Iwamizawa
266	Mooka	Mooka
267	Maizuru	Maizuru
268	Nikkō	Nikko
269	Ryūgasaki	Ryugasaki
270	Daisen	Daisen
271	Fukuchiyama	Fukuchiyama
272	Nakatsugawa	Nakatsugawa
273	Tatebayashi	Tatebayashi
274	Tatsunochō-tominaga	Tatsunocho-tominaga
275	Yurihonjō	Yurihonjo
276	Kasama	Kasama
277	Shibukawa	Shibukawa
278	Ōtawara	Otawara
279	Ishioka	Ishioka
280	Rittō	Ritto
281	Uwajima	Uwajima
282	Kashima	Kashima
283	Hashima	Hashima
284	Yachimata	Yachimata
285	Saiki	Saiki
286	Ina	Ina
287	Asahi	Asahi
288	Kurihara	Kurihara
289	Shiroi	Shiroi
290	Nago	Nago
291	Tendō	Tendo
292	Itoman	Itoman
293	Aisai	Aisai
294	Koga	Koga
295	Shimotsuke	Shimotsuke
296	Jōsō	Joso
297	Tahara	Tahara
298	Chichibu	Chichibu
299	Tokoname	Tokoname
300	Ishikari	Ishikari
301	Kosai	Kosai
302	Tōgane	Togane
303	Minokamo	Minokamo
304	Kudamatsu	Kudamatsu
305	Tama	Tama
306	Nōgata	Nogata
307	Hidaka	Hidaka
308	Toki	Toki
309	Chino	Chino
310	Funato	Funato
311	Sakurai	Sakurai
312	Annaka	Annaka
313	Tomiya	Tomiya
314	Minami-Sōma	Minami-Soma
315	Bandō	Bando
316	Tsukubamirai	Tsukubamirai
317	Arao	Arao
318	Satte	Satte
319	Sakaidechō	Sakaidecho
320	Yūki	Yuki
321	Yasu	Yasu
322	Miyoshi	Miyoshi
323	Nichinan	Nichinan
324	Suzaka	Suzaka
325	Tomisato	Tomisato
326	Tōkamachi	Tokamachi
327	Hikari	Hikari
328	Nomimachi	Nomimachi
329	Omitama	Omitama
330	Suwa	Suwa
331	Ami	Ami
332	Sanmu	Sanmu
333	Ishigaki	Ishigaki
334	Shimotsuchō-kominami	Shimotsucho-kominami
335	Ena	Ena
336	Tonami	Tonami
337	Higashine	Higashine
338	Hitachi-ota	Hitachi-ota
339	Tomioka	Tomioka
340	Noboribetsu	Noboribetsu
341	Nakai	Nakai
342	Shimeo	Shimeo
343	Tamagawa	Tamagawa
344	Kurayoshi	Kurayoshi
345	Kasaoka	Kasaoka
346	Takashima	Takashima
347	Hokota	Hokota
348	Shima	Shima
349	Kariya	Kariya
350	Hokuto	Hokuto
351	Sugito	Sugito
352	Taketoyo	Taketoyo
353	Masuda	Masuda
354	Hagi	Hagi
355	Otofuke	Otofuke
356	Himi	Himi
357	Taniyama-chūō	Taniyama-chuo
358	Shinshiro	Shinshiro
359	Makinohara	Makinohara
360	Kobayashi	Kobayashi
361	Obita	Obita
362	Futtsu	Futtsu
363	Shimotsuma	Shimotsuma
364	Nanbei	Nanbei
365	Yuzawa	Yuzawa
366	Kitaibaraki	Kitaibaraki
367	Komono	Komono
368	Ōzu	Ozu
369	Itoigawa	Itoigawa
370	Kasumigaura	Kasumigaura
371	Kurobeshin	Kurobeshin
372	Mibu	Mibu
373	Takikawa	Takikawa
374	Higashimatsushima	Higashimatsushima
375	Ōmagari	Omagari
376	Inashiki	Inashiki
377	Umi	Umi
378	Hitachiomiya	Hitachiomiya
379	Sakuragawa	Sakuragawa
380	Gujō	Gujo
381	Ibara	Ibara
382	Katsuragi	Katsuragi
383	Kannan	Kannan
384	Tsubata	Tsubata
385	Komatsushimachō	Komatsushimacho
386	Kanada	Kanada
387	Morohongō	Morohongo
388	Rifu	Rifu
389	Miyajima	Miyajima
390	Usuki	Usuki
391	Minami-Bōsō	Minami-Boso
392	Kahoku	Kahoku
393	Kamata	Kamata
394	Ōzu	Ozu
395	Iyo	Iyo
396	Shingū	Shingu
397	Abashiri	Abashiri
398	Uonuma	Uonuma
399	Sakaiminato	Sakaiminato
400	Shōbara	Shobara
401	Shimotoba	Shimotoba
402	Kamaishi	Kamaishi
403	Mashiki	Mashiki
404	Wakabadai	Wakabadai
405	Ōiso	Oiso
406	Kuji	Kuji
407	Yorii	Yorii
408	Tawaramoto	Tawaramoto
409	Zentsujichó	Zentsujicho
410	Shimizuchō	Shimizucho
411	Nagato	Nagato
412	Ōdachō-ōda	Odacho-oda
413	Namegata	Namegata
414	Komagane	Komagane
415	Sasaguri	Sasaguri
416	Katagami	Katagami
417	Kuroishi	Kuroishi
418	Ayabe	Ayabe
419	Yawatahama-shi	Yawatahama-shi
420	Kaminokawa	Kaminokawa
421	Yaita	Yaita
422	Masaki	Masaki
423	Motomiya	Motomiya
424	Hirakawachō	Hirakawacho
425	Togitsu	Togitsu
426	Tsuruno	Tsuruno
427	Matsubushi	Matsubushi
428	Sue	Sue
429	Hanawa	Hanawa
430	Ogawa	Ogawa
431	Oyabe	Oyabe
432	Aioi	Aioi
433	Izu	Izu
434	Hiji	Hiji
435	Obama	Obama
436	Honchō	Honcho
437	Tainai	Tainai
438	Kakuda	Kakuda
439	Ōuda-yamaguchi	Ouda-yamaguchi
440	Itako	Itako
441	Gojō	Gojo
442	Niimi	Niimi
443	Tarui	Tarui
444	Miyanaga	Miyanaga
445	Ōmachi	Omachi
446	Kunisakimachi-tsurugawa	Kunisakimachi-tsurugawa
447	Ishii	Ishii
448	Yamagata	Yamagata
449	Kamo	Kamo
450	Tōno	Tono
451	Sakai	Sakai
452	Oga	Oga
453	Nasukarasuyama	Nasukarasuyama
454	Wajimazakimachi	Wajimazakimachi
455	Nyūzen	Nyuzen
456	Hachimantai	Hachimantai
457	Nakashunbetsu	Nakashunbetsu
458	Uenohara	Uenohara
459	Takahata	Takahata
460	Murayama	Murayama
461	Honmachi	Honmachi
462	Fukuyoshi	Fukuyoshi
463	Mashiko	Mashiko
464	Shisui	Shisui
465	Ino	Ino
466	Shimogamo	Shimogamo
467	Bibai	Bibai
468	Tobe	Tobe
469	Takanabe	Takanabe
470	Rumoi	Rumoi
471	Hakui	Hakui
472	Shirahama	Shirahama
473	Kitatajima	Kitatajima
474	Karuizawa	Karuizawa
475	Gōdo	Godo
476	Kamiichi	Kamiichi
477	Iiyama	Iiyama
