	city	city_ascii
0	Almaty	Almaty
1	Nur-Sultan	Nur-Sultan
2	Shymkent	Shymkent
3	Qaraghandy	Qaraghandy
4	Taraz	Taraz
5	Aqtöbe	Aqtobe
6	Pavlodar	Pavlodar
7	Semey	Semey
8	Öskemen	Oskemen
9	Oral	Oral
10	Türkistan	Turkistan
11	Qostanay	Qostanay
12	Petropavl	Petropavl
13	Qyzylorda	Qyzylorda
14	Temirtaū	Temirtau
15	Aqtaū	Aqtau
16	Atyraū	Atyrau
17	Ekibastuz	Ekibastuz
18	Mangghystaū	Mangghystau
19	Kökshetaū	Kokshetau
20	Taldyqorghan	Taldyqorghan
21	Rudnyy	Rudnyy
22	Zhezqazghan	Zhezqazghan
23	Kentaū	Kentau
24	Balqash	Balqash
25	Sarqan	Sarqan
26	Aqsū	Aqsu
27	Sätbayev	Satbayev
28	Kapchagay	Kapchagay
29	Qaskeleng	Qaskeleng
30	Ridder	Ridder
31	Zyryanovsk	Zyryanovsk
32	Talghar	Talghar
33	Shchūchīnsk	Shchuchinsk
34	Zharkent	Zharkent
35	Shū	Shu
36	Qapshaghay	Qapshaghay
37	Soran	Soran
38	Ayagöz	Ayagoz
39	Arys	Arys
40	Baikonur	Baikonur
41	Shakhtīnsk	Shakhtinsk
42	Qulsary	Qulsary
43	Esik	Esik
44	Zhetisay	Zhetisay
45	Aksay	Aksay
46	Zhitiqara	Zhitiqara
47	Staryy Beyneu	Staryy Beyneu
48	Balyqshy	Balyqshy
49	Tekeli	Tekeli
50	Aral	Aral
51	Shiyeli	Shiyeli
52	Atbasar	Atbasar
53	Qarataū	Qaratau
54	Alga	Alga
55	Oktyabrsk	Oktyabrsk
56	Arqalyq	Arqalyq
57	Shalqar	Shalqar
58	Ereymentaū	Ereymentau
59	Khromtaū	Khromtau
60	Lengir	Lengir
61	Makīnsk	Makinsk
62	Oytal	Oytal
63	Qarazhal	Qarazhal
64	Boralday	Boralday
65	Üshtöbe	Ushtobe
66	Zhosaly	Zhosaly
67	Atasū	Atasu
68	Töle Bī	Tole Bi
69	Shemonaīkha	Shemonaikha
70	Emba	Emba
71	Zaysan	Zaysan
72	Derzhavīnsk	Derzhavinsk
73	Uryzhar	Uryzhar
74	Maqat	Maqat
75	Qazyqurt	Qazyqurt
76	Shamalgan	Shamalgan
77	Eski Īkan	Eski Ikan
78	Qulan	Qulan
79	Taiynsha	Taiynsha
80	Novoīshīmskīy	Novoishimskiy
81	Esil	Esil
82	Otar	Otar
83	Lūgovoy	Lugovoy
84	Makhambet	Makhambet
85	Būlaevo	Bulaevo
86	Zhänibek	Zhanibek
87	Ertis	Ertis
88	Sergeevka	Sergeevka
89	Mezhdūrechenskoye	Mezhdurechenskoye
90	Kishkeneköl	Kishkenekol
91	Astrakhan	Astrakhan
92	Qarabalyq	Qarabalyq
93	Aqadyr	Aqadyr
94	Saūmalköl	Saumalkol
95	Sholaqqorghan	Sholaqqorghan
96	Shar	Shar
97	Qashyr	Qashyr
98	Zhangaözen	Zhangaozen
99	Aqsū	Aqsu
100	Qarqaraly	Qarqaraly
101	Qusmuryn	Qusmuryn
102	Bayghanīn	Bayghanin
103	Osakarovka	Osakarovka
104	Bestöbe	Bestobe
105	Tobyl	Tobyl
106	Zholymbet	Zholymbet
107	Qazaly	Qazaly
108	Chapaev	Chapaev
109	Presnovka	Presnovka
110	Pavlodarskoe	Pavlodarskoe
111	Torghay	Torghay
112	Fort-Shevchenko	Fort-Shevchenko
113	Saryshaghan	Saryshaghan
114	Shongzhy	Shongzhy
115	Serebryansk	Serebryansk
116	Zhaltyr	Zhaltyr
117	Sharbaqty	Sharbaqty
118	Burubaytal	Burubaytal
