	city	city_ascii
0	Nairobi	Nairobi
1	Meru	Meru
2	Mombasa	Mombasa
3	Kisumu	Kisumu
4	Nakuru	Nakuru
5	Eldoret	Eldoret
6	Kisii	Kisii
7	Machakos	Machakos
8	Thika	Thika
9	Nyeri	Nyeri
10	Mumias	Mumias
11	Malindi	Malindi
12	Kakamega	Kakamega
13	Lodwar	Lodwar
14	Garissa	Garissa
15	Kitale	Kitale
16	Bungoma	Bungoma
17	Wajir	Wajir
18	Isiolo	Isiolo
19	Embu	Embu
20	Homa Bay	Homa Bay
21	Busia	Busia
22	Kericho	Kericho
23	Mandera	Mandera
24	Kitui	Kitui
25	Moyale	Moyale
26	Lamu	Lamu
27	Maralal	Maralal
28	Eldama Ravine	Eldama Ravine
29	Kapsabet	Kapsabet
30	Marsabit	Marsabit
31	Hola	Hola
32	Kiambu	Kiambu
33	Kabarnet	Kabarnet
34	Migori	Migori
35	Kerugoya	Kerugoya
36	Iten	Iten
37	Nyamira	Nyamira
38	Murang’a	Murang'a
39	Sotik Post	Sotik Post
40	Siaya	Siaya
41	Kapenguria	Kapenguria
42	Wote	Wote
43	Mwatate	Mwatate
44	Kajiado	Kajiado
45	Ol Kalou	Ol Kalou
46	Narok	Narok
47	Kwale	Kwale
48	Rumuruti	Rumuruti
49	Kendu Bay	Kendu Bay
50	Athi River	Athi River
51	Kilifi	Kilifi
52	Sotik	Sotik
53	Voi	Voi
54	Nanyuki	Nanyuki
55	Naivasha	Naivasha
56	Namanga	Namanga
57	Mwingi	Mwingi
58	Dadaab	Dadaab
59	Karungu	Karungu
60	Witu	Witu
61	Konza	Konza
62	Tsavo	Tsavo
