	city	city_ascii
0	Pyongyang	Pyongyang
1	Hŭngnam	Hungnam
2	Ch’ŏngjin	Ch'ongjin
3	Hamhŭng	Hamhung
4	Sunch’ŏn	Sunch'on
5	Wŏnsan	Wonsan
6	Sinŭiju	Sinuiju
7	Tanch’ŏn	Tanch'on
8	Kaesŏng	Kaesong
9	Kaech’ŏn	Kaech'on
10	Namp’o	Namp'o
11	Sariwŏn	Sariwon
12	Kanggye	Kanggye
13	Haeju	Haeju
14	Anju	Anju
15	P’yŏng-dong	P'yong-dong
16	Rajin	Rajin
17	Kusŏng	Kusong
18	Hyesan	Hyesan
19	Chŏngju	Chongju
20	Chaedŏk	Chaedok
21	Hŭich’ŏn	Huich'on
22	Hoeryŏng	Hoeryong
23	Sinpo	Sinpo
24	Songnim	Songnim
25	Munch’ŏn	Munch'on
26	Manpo	Manpo
27	P’yŏngsŏng	P'yongsong
28	Namsan	Namsan
29	Ongjang	Ongjang
30	P’yŏngsan	P'yongsan
31	Sŏnbong	Sonbong
32	Changyŏn	Changyon
33	Sil-li	Sil-li
34	Ch’osan-ŭp	Ch'osan-up
35	P’ungsan	P'ungsan
36	Taedong	Taedong
