	city	city_ascii
0	Seoul	Seoul
1	Busan	Busan
2	Incheon	Incheon
3	Daegu	Daegu
4	Gwangju	Gwangju
5	Daejeon	Daejeon
6	Suwon	Suwon
7	Ulsan	Ulsan
8	Goyang	Goyang
9	Changwon	Changwon
10	Sŏngnam	Songnam
11	Bucheon	Bucheon
12	Cheongju	Cheongju
13	Hwasu-dong	Hwasu-dong
14	Jeonju	Jeonju
15	Ansan	Ansan
16	Ch’ŏnan	Ch'onan
17	Yanggok	Yanggok
18	Anyang	Anyang
19	Pohang	Pohang
20	Pyeongtaek	Pyeongtaek
21	Jeju	Jeju
22	Masan	Masan
23	Uijeongbu	Uijeongbu
24	Paju	Paju
25	Gimpo	Gimpo
26	Yeosu	Yeosu
27	Chinju	Chinju
28	Wŏnju	Wonju
29	Gwangmyeongni	Gwangmyeongni
30	Asan	Asan
31	Iksan	Iksan
32	Yangsan	Yangsan
33	Kunp’o	Kunp'o
34	Chuncheon	Chuncheon
35	Gyeongsan	Gyeongsan
36	Kunsan	Kunsan
37	Yeosu	Yeosu
38	Suncheon	Suncheon
39	Kyŏngju	Kyongju
40	Mokpo	Mokpo
41	Gangneung	Gangneung
42	Osan	Osan
43	Chungju	Chungju
44	Ich’ŏn	Ich'on
45	Anseong	Anseong
46	Guri	Guri
47	Sŏsan	Sosan
48	Pocheon	Pocheon
49	Andong	Andong
50	Ŭiwang	Uiwang
51	Hanam	Hanam
52	Seogwipo	Seogwipo
53	Gwangyang	Gwangyang
54	Ch’ungmu	Ch'ungmu
55	Chech’ŏn	Chech'on
56	Noksan	Noksan
57	Sa-ch’on	Sa-ch'on
58	Yŏju	Yoju
59	Yŏngju	Yongju
60	Miryang	Miryang
61	Sangju	Sangju
62	Boryeong	Boryeong
63	Sejong	Sejong
64	Hongseong	Hongseong
65	Muan	Muan
66	Bakjagol	Bakjagol
67	Sokcho	Sokcho
68	Ulchin	Ulchin
69	Eumseong	Eumseong
