	city	city_ascii
0	Pristina	Pristina
1	Prizren	Prizren
2	Ferizaj	Ferizaj
3	Pejë	Peje
4	Gjakovë	Gjakove
5	Gjilan	Gjilan
6	Podujevë	Podujeve
7	Mitrovicë	Mitrovice
8	Vushtrri	Vushtrri
9	Suharekë	Suhareke
10	Lipjan	Lipjan
11	Rahovec	Rahovec
12	Malishevë	Malisheve
13	Skenderaj	Skenderaj
14	Viti	Viti
15	Deçan	Decan
16	Istog	Istog
17	Klinë	Kline
18	Kamenicë	Kamenice
19	Dragash	Dragash
20	Fushë Kosovë	Fushe Kosove
21	Kaçanik	Kacanik
22	Shtime	Shtime
23	Obiliq	Obiliq
24	Leposaviq	Leposaviq
25	Zveçan	Zvecan
26	Zubin Potok	Zubin Potok
27	Shtërpcë	Shterpce
28	Graçanicë	Gracanice
29	Novobërdë	Novoberde
30	Hani i Elezit	Hani i Elezit
31	Junik	Junik
32	Ranillug	Ranillug
33	Mamushë	Mamushe
34	Partesh	Partesh
35	Kllokot	Kllokot
36	Gllogovc	Gllogovc
37	Kojskë	Kojske
38	Vranjak	Vranjak
39	Matiçan	Matican
40	Pozharan	Pozharan
41	Dushanovë	Dushanove
42	Donje Žabare	Donje Zabare
43	Lubizhdë	Lubizhde
44	Zhur	Zhur
45	Bresje	Bresje
46	Korishë	Korishe
47	Vitomiricë	Vitomirice
48	Damjan	Damjan
