	city	city_ascii
0	Bishkek	Bishkek
1	Osh	Osh
2	Jalal-Abad	Jalal-Abad
3	Karakol	Karakol
4	Talas	Talas
5	Naryn	Naryn
6	Batken	Batken
7	Kara-Balta	Kara-Balta
8	Tokmok	Tokmok
9	Özgön	Ozgon
10	Balykchy	Balykchy
11	Kyzyl-Kyya	Kyzyl-Kyya
12	Toktogul	Toktogul
13	Kant	Kant
14	Kara-Suu	Kara-Suu
15	Belovodskoe	Belovodskoe
16	Jangy-Nookat	Jangy-Nookat
17	Lebedinovka	Lebedinovka
18	Mayluu-Suu	Mayluu-Suu
19	Tash-Kömür	Tash-Komur
20	Kara-Köl	Kara-Kol
21	Novopavlovka	Novopavlovka
22	Isfana	Isfana
23	At-Bashy	At-Bashy
24	Kochkor-Ata	Kochkor-Ata
25	Kök-Janggak	Kok-Janggak
26	Kerben	Kerben
27	Sülüktü	Suluktu
28	Alamedin	Alamedin
29	Cholpon-Ata	Cholpon-Ata
30	Aydarken	Aydarken
31	Shopokov	Shopokov
32	Bosteri	Bosteri
33	Chaek	Chaek
34	Klyuchevka	Klyuchevka
35	Grigor’evka	Grigor'evka
36	Tash-Döbö	Tash-Dobo
