	city	city_ascii
0	Riga	Riga
1	Daugavpils	Daugavpils
2	Liepāja	Liepaja
3	Jelgava	Jelgava
4	Jūrmala	Jurmala
5	Ventspils	Ventspils
6	Rēzekne	Rezekne
7	Valmiera	Valmiera
8	Ogre	Ogre
9	Jēkabpils	Jekabpils
10	Salaspils	Salaspils
11	Mārupe	Marupe
12	Tukums	Tukums
13	Cēsis	Cesis
14	Sigulda	Sigulda
15	Olaine	Olaine
16	Kuldīga	Kuldiga
17	Bauska	Bauska
18	Saldus	Saldus
19	Talsi	Talsi
20	Dobele	Dobele
21	Ludza	Ludza
22	Ikšķile	Ikskile
23	Krāslava	Kraslava
24	Ādaži	Adazi
25	Aizkraukle	Aizkraukle
26	Līvāni	Livani
27	Gulbene	Gulbene
28	Limbaži	Limbazi
29	Madona	Madona
30	Alūksne	Aluksne
31	Preiļi	Preili
32	Lielvārde	Lielvarde
33	Balvi	Balvi
34	Iecava	Iecava
35	Ķekava	Kekava
36	Smiltene	Smiltene
37	Carnikava	Carnikava
38	Valka	Valka
39	Ozolnieki	Ozolnieki
40	Aizpute	Aizpute
41	Piņķi	Pinki
42	Baldone	Baldone
43	Grobiņa	Grobina
44	Kandava	Kandava
45	Ulbroka	Ulbroka
46	Saulkrasti	Saulkrasti
47	Pļaviņas	Plavinas
48	Brocēni	Broceni
49	Viļāni	Vilani
50	Rūjiena	Rujiena
51	Salacgrīva	Salacgriva
52	Koknese	Koknese
53	Skrīveri	Skriveri
54	Auce	Auce
55	Priekuļi	Priekuli
56	Ilūkste	Ilukste
57	Roja	Roja
58	Ķegums	Kegums
59	Garkalne	Garkalne
60	Vecumnieki	Vecumnieki
61	Inčukalns	Incukalns
62	Kārsava	Karsava
63	Skrunda	Skrunda
64	Dagda	Dagda
65	Priekule	Priekule
66	Mālpils	Malpils
67	Jaunjelgava	Jaunjelgava
68	Varakļāni	Varaklani
69	Ērgļi	Ergli
70	Ropaži	Ropazi
71	Vaiņode	Vainode
72	Viesīte	Viesite
73	Lubāna	Lubana
74	Dundaga	Dundaga
75	Mērsrags	Mersrags
76	Zilupe	Zilupe
77	Cesvaine	Cesvaine
78	Rauna	Rauna
79	Viļaka	Vilaka
80	Ragana	Ragana
81	Mazsalaca	Mazsalaca
82	Aloja	Aloja
83	Līgatne	Ligatne
84	Aknīste	Akniste
85	Nereta	Nereta
86	Strenči	Strenci
87	Nīca	Nica
88	Kocēni	Koceni
89	Jaunpiebalga	Jaunpiebalga
90	Pāvilosta	Pavilosta
91	Aglona	Aglona
92	Ape	Ape
93	Jaunpils	Jaunpils
94	Riebiņi	Riebini
95	Pilsrundāle	Pilsrundale
96	Alsunga	Alsunga
97	Naukšēni	Naukseni
98	Smārde	Smarde
99	Rucava	Rucava
100	Rugāji	Rugaji
101	Vecpiebalga	Vecpiebalga
102	Mūrmuiža	Murmuiza
103	Baltinava	Baltinava
104	Burtnieki	Burtnieki
105	Lieģi	Liegi
106	Stalbe	Stalbe
107	Tērvete	Tervete
108	Loja	Loja
109	Cibla	Cibla
110	Vecvārkava	Vecvarkava
111	Drabeši	Drabesi
112	Sala	Sala
113	Baloži	Balozi
