	city	city_ascii
0	Tripoli	Tripoli
1	Benghazi	Benghazi
2	Mişrātah	Misratah
3	Al Bayḑā’	Al Bayda'
4	Al Khums	Al Khums
5	Az Zāwīyah	Az Zawiyah
6	Gharyān	Gharyan
7	Al Marj	Al Marj
8	Ajdābiyā	Ajdabiya
9	Tobruk	Tobruk
10	Darnah	Darnah
11	Sabhā	Sabha
12	Şabrātah	Sabratah
13	Zuwārah	Zuwarah
14	Surt	Surt
15	Nālūt	Nalut
16	Murzuq	Murzuq
17	Ghāt	Ghat
18	Hūn	Hun
19	Al ‘Azīzīyah	Al `Aziziyah
20	Awbārī	Awbari
21	Idrī	Idri
22	Al Kufrah	Al Kufrah
23	Yafran	Yafran
24	Banī Walīd	Bani Walid
25	Tājūrā’	Tajura'
26	Birāk	Birak
27	Shaḩḩāt	Shahhat
28	Mizdah	Mizdah
29	Al Jawf	Al Jawf
30	Ghadāmis	Ghadamis
31	Awjilah	Awjilah
32	Qamīnis	Qaminis
33	Tajarhī	Tajarhi
34	Al ‘Uqaylah	Al `Uqaylah
35	Marādah	Maradah
36	Al Jaghbūb	Al Jaghbub
37	Daraj	Daraj
38	Tmassah	Tmassah
39	Umm al ‘Abīd	Umm al `Abid
40	As Sidrah	As Sidrah
41	Zillah	Zillah
