	city	city_ascii
0	Vilnius	Vilnius
1	Kaunas	Kaunas
2	Klaipėda	Klaipeda
3	Šiauliai	Siauliai
4	Panevėžys	Panevezys
5	Alytus	Alytus
6	Marijampolė	Marijampole
7	Mažeikiai	Mazeikiai
8	Utena	Utena
9	Jonava	Jonava
10	Kėdainiai	Kedainiai
11	Telšiai	Telsiai
12	Tauragė	Taurage
13	Ukmergė	Ukmerge
14	Visaginas	Visaginas
15	Plungė	Plunge
16	Kretinga	Kretinga
17	Šilutė	Silute
18	Palanga	Palanga
19	Radviliškis	Radviliskis
20	Rokiškis	Rokiskis
21	Druskininkai	Druskininkai
22	Elektrėnai	Elektrenai
23	Biržai	Birzai
24	Jurbarkas	Jurbarkas
25	Vilkaviškis	Vilkaviskis
26	Joniškis	Joniskis
27	Anykščiai	Anyksciai
28	Varėna	Varena
29	Prienai	Prienai
30	Kelmė	Kelme
31	Naujoji Akmenė	Naujoji Akmene
32	Šalčininkai	Salcininkai
33	Pasvalys	Pasvalys
34	Zarasai	Zarasai
35	Kupiškis	Kupiskis
36	Kazlų Rūda	Kazlu Ruda
37	Molėtai	Moletai
38	Skuodas	Skuodas
39	Šakiai	Sakiai
40	Šilalė	Silale
41	Pakruojis	Pakruojis
42	Trakai	Trakai
43	Švenčionys	Svencionys
44	Kalvarija	Kalvarija
45	Lazdijai	Lazdijai
46	Rietavas	Rietavas
47	Nida	Nida
48	Birštonas	Birstonas
49	Širvintos	Sirvintos
50	Pagėgiai	Pagegiai
51	Kaišiadorys	Kaisiadorys
52	Raseiniai	Raseiniai
53	Ignalina	Ignalina
54	Gargždai	Gargzdai
55	Kuršėnai	Kursenai
56	Grigiškės	Grigiskes
57	Lentvaris	Lentvaris
58	Garliava	Garliava
59	Pabradė	Pabrade
60	Domeikava	Domeikava
