	city	city_ascii
0	Skopje	Skopje
1	Tetovo	Tetovo
2	Bitola	Bitola
3	Kumanovo	Kumanovo
4	Prilep	Prilep
5	Ohrid	Ohrid
6	Strumica	Strumica
7	Veles	Veles
8	Štip	Stip
9	Kavadarci	Kavadarci
10	Gostivar	Gostivar
11	Kočani	Kocani
12	Kičevo	Kicevo
13	Struga	Struga
14	Radoviš	Radovis
15	Gevgelija	Gevgelija
16	Debar	Debar
17	Kriva Palanka	Kriva Palanka
18	Sveti Nikole	Sveti Nikole
19	Negotino	Negotino
20	Delčevo	Delcevo
21	Vinica	Vinica
22	Probištip	Probistip
23	Aračinovo	Aracinovo
24	Berovo	Berovo
25	Kratovo	Kratovo
26	Sopište	Sopiste
27	Bogovinje	Bogovinje
28	Bogdanci	Bogdanci
29	Studeničani	Studenicani
30	Kruševo	Krusevo
31	Vrapčište	Vrapciste
32	Valandovo	Valandovo
33	Želino	Zelino
34	Tearce	Tearce
35	Makedonski Brod	Makedonski Brod
36	Demir Kapija	Demir Kapija
37	Pehčevo	Pehcevo
38	Brvenica	Brvenica
39	Novo Selo	Novo Selo
40	Petrovec	Petrovec
41	Vevčani	Vevcani
42	Lipkovo	Lipkovo
43	Demir Hisar	Demir Hisar
44	Plasnica	Plasnica
45	Rosoman	Rosoman
46	Mogila	Mogila
47	Krivogaštani	Krivogastani
48	Zrnovci	Zrnovci
49	Vasilevo	Vasilevo
50	Gradsko	Gradsko
51	Bosilovo	Bosilovo
52	Staro Nagoričane	Staro Nagoricane
53	Rankovce	Rankovce
54	Novaci	Novaci
55	Konče	Konce
56	Obleševo	Oblesevo
57	Jegunovce	Jegunovce
58	Belčišta	Belcista
59	Lozovo	Lozovo
60	Dolneni	Dolneni
61	Rostuša	Rostusa
62	Centar Župa	Centar Zupa
63	Zelenikovo	Zelenikovo
64	Čučer-Sandevo	Cucer-Sandevo
65	Karbinci	Karbinci
66	Star Dojran	Star Dojran
67	Ilinden	Ilinden
68	Makedonska Kamenica	Makedonska Kamenica
69	Resen	Resen
70	Dračevo	Dracevo
71	Radišani	Radisani
72	Čegrane	Cegrane
73	Labuništa	Labunista
74	Velešta	Velesta
75	Batinci	Batinci
76	Čelopek	Celopek
