	city	city_ascii
0	Antananarivo	Antananarivo
1	Antsirabe	Antsirabe
2	Toamasina	Toamasina
3	Fianarantsoa	Fianarantsoa
4	Mahajanga	Mahajanga
5	Toliara	Toliara
6	Antsiranana	Antsiranana
7	Antalaha	Antalaha
8	Sambava	Sambava
9	Ambatondrazaka	Ambatondrazaka
10	Maroantsetra	Maroantsetra
11	Morondava	Morondava
12	Marovoay	Marovoay
13	Ambanja	Ambanja
14	Mananjary	Mananjary
15	Farafangana	Farafangana
16	Andoany	Andoany
17	Antsohihy	Antsohihy
18	Miandrivazo	Miandrivazo
19	Tôlan̈aro	Tolanaro
20	Ihosy	Ihosy
21	Morombe	Morombe
22	Iharan̈a	Iharana
23	Maintirano	Maintirano
24	Mandritsara	Mandritsara
25	Bekily	Bekily
26	Manja	Manja
27	Besalampy	Besalampy
28	Androka	Androka
