	city	city_ascii
0	Blantyre	Blantyre
1	Lilongwe	Lilongwe
2	Mzuzu	Mzuzu
3	Zomba	Zomba
4	Salima	Salima
5	Nkhotakota	Nkhotakota
6	Mangochi	Mangochi
7	Karonga	Karonga
8	Nkhata Bay	Nkhata Bay
9	Mzimba	Mzimba
10	Mulanje	Mulanje
11	Nsanje	Nsanje
12	Mchinji	Mchinji
13	Dedza	Dedza
14	Chitipa	Chitipa
15	Mwanza	Mwanza
16	Ntcheu	Ntcheu
17	Thyolo	Thyolo
18	Rumphi	Rumphi
19	Balaka	Balaka
20	Chiradzulu	Chiradzulu
21	Phalombe	Phalombe
22	Machinga	Machinga
23	Chikwawa	Chikwawa
24	Kasungu	Kasungu
25	Dowa	Dowa
26	Neno	Neno
27	Ntchisi	Ntchisi
28	Chiromo	Chiromo
