	city	city_ascii
0	Kuala Lumpur	Kuala Lumpur
1	Klang	Klang
2	Ipoh	Ipoh
3	Butterworth	Butterworth
4	Johor Bahru	Johor Bahru
5	George Town	George Town
6	Petaling Jaya	Petaling Jaya
7	Kuantan	Kuantan
8	Shah Alam	Shah Alam
9	Kota Bharu	Kota Bharu
10	Melaka	Melaka
11	Kota Kinabalu	Kota Kinabalu
12	Seremban	Seremban
13	Sandakan	Sandakan
14	Sungai Petani	Sungai Petani
15	Kuching	Kuching
16	Kuala Terengganu	Kuala Terengganu
17	Sibu	Sibu
18	Taiping	Taiping
19	Miri	Miri
20	Alor Setar	Alor Setar
21	Bukit Mertajam	Bukit Mertajam
22	Lahad Datu	Lahad Datu
23	Muar	Muar
24	Kluang	Kluang
25	Bintulu	Bintulu
26	Batu Pahat	Batu Pahat
27	Tawau	Tawau
28	Teluk Intan	Teluk Intan
29	Cukai	Cukai
30	Putrajaya	Putrajaya
31	Kangar	Kangar
32	Labuan	Labuan
33	Raub	Raub
34	Kuala Lipis	Kuala Lipis
